id,eta_logka_SAEM,eta_logV_SAEM,eta_logVm_SAEM,eta_logKm_SAEM,eta_logka_mean,eta_logV_mean,eta_logVm_mean,eta_logKm_mean,eta_logka_mode,eta_logV_mode,eta_logVm_mode,eta_logKm_mode,eta_logka_sd,eta_logV_sd,eta_logVm_sd,eta_logKm_sd
1,0.00729208,0.111491,0.235683,0.00131517,0.0440037,0.14234,0.195109,-0.0680961,0.0310633,0.145433,0.125047,-0.164444,0.131484,0.0567342,0.0836667,0.122225
2,-0.0809593,0.0303683,-0.0236599,-0.313744,-0.0253626,0.0550005,-0.0467026,-0.371301,-0.0745868,0.0408866,-0.0356451,-0.34964,0.13218,0.0394187,0.0321762,0.07577
3,-0.0643016,-0.441632,-0.0971506,-0.0277084,-0.0520965,-0.442275,-0.0980005,-0.0454817,-0.0972864,-0.456494,-0.0721622,-0.0917056,0.121852,0.0510853,0.113143,0.302079
4,0.134022,-0.183323,0.0932416,0.0382382,0.137932,-0.186028,0.101676,0.0651014,0.116274,-0.191163,0.102166,-0.00222564,0.142196,0.0432452,0.0827586,0.246173
5,-0.194588,0.522704,0.459758,0.134247,-0.194206,0.527166,0.315224,-0.0523994,-0.208657,0.526727,0.30431,-0.0650092,0.108539,0.0452947,0.120261,0.153117
6,0.148441,-0.133313,-0.217357,0.133516,0.153522,-0.130951,-0.225603,0.113011,0.10753,-0.14666,-0.208942,0.129294,0.150236,0.0493867,0.063347,0.125695
7,0.41133,-0.310716,0.0978623,0.125683,0.431105,-0.319792,0.11946,0.17811,0.376392,-0.32849,0.128615,0.189398,0.157884,0.0440748,0.0593918,0.145093
8,0.118254,-0.0149994,-0.186088,-0.150779,0.123765,-0.0093308,-0.189614,-0.150161,0.0893166,-0.0237848,-0.165404,-0.128748,0.142298,0.0494331,0.0843817,0.20872
9,-0.272672,0.186132,0.171364,-0.146819,-0.27943,0.189946,0.167264,-0.155507,-0.303774,0.173076,0.181381,-0.125493,0.12756,0.043003,0.0524868,0.106057
10,0.0202719,-0.359709,-0.101805,0.0991978,0.0172154,-0.364189,-0.0949381,0.108325,0.0172761,-0.363891,-0.0933431,0.10285,0.135485,0.0424932,0.0448876,0.101608
11,0.313803,0.363275,-0.0846359,-0.0352053,0.346655,0.384393,-0.165686,-0.0901169,0.293997,0.36188,-0.0906606,-0.0879634,0.147685,0.0559717,0.143723,0.278504
12,0.0793716,-0.359328,0.190876,-0.194509,0.102943,-0.356657,0.196319,-0.188402,0.0841562,-0.355573,0.197747,-0.194353,0.125608,0.0395377,0.0362164,0.0927695
13,0.0636433,-0.500009,-0.610008,0.0882647,0.0596692,-0.50344,-0.598808,0.129757,0.0607133,-0.501204,-0.577742,0.132068,0.120298,0.0445332,0.150978,0.297172
14,-0.546758,0.235843,0.464333,-0.249441,-0.453905,0.295119,0.270031,-0.523511,-0.456314,0.30064,0.272717,-0.525711,0.12972,0.066611,0.105154,0.162806
15,0.0116662,-0.173109,-0.251206,0.00687537,0.0195816,-0.176578,-0.230447,0.0675056,-0.0149416,-0.183533,-0.238767,0.00161701,0.137104,0.0482005,0.0897861,0.233649
16,-0.0752366,0.376442,0.317367,0.0696543,-0.10353,0.355029,0.391605,0.175192,-0.080926,0.373997,0.305354,0.054504,0.126085,0.0541943,0.132891,0.167878
17,-0.100603,0.268705,-0.14358,-0.0338019,-0.0303484,0.307275,-0.255491,-0.0268691,-0.0901589,0.276912,-0.14891,-0.0115794,0.140928,0.0655725,0.183013,0.282022
18,-0.0747354,-0.184846,0.40508,-0.209216,-0.105469,-0.203971,0.421078,-0.171705,-0.111564,-0.193495,0.404691,-0.204969,0.097202,0.041164,0.0364929,0.0757006
19,-0.00278231,-0.0403749,0.120735,0.165736,0.00581048,-0.0410486,0.135833,0.19189,0.0055249,-0.0417383,0.119216,0.155303,0.136551,0.0438603,0.0562179,0.114379
20,0.561715,0.139722,0.433098,0.157349,0.598258,0.163542,0.381491,0.0412784,0.549516,0.147824,0.414527,0.106127,0.150596,0.0423316,0.0872052,0.244042
21,-0.578767,0.483387,0.0431265,-0.503497,-0.589554,0.451859,0.270908,-0.185243,-0.59074,0.471925,0.115567,-0.401819,0.126711,0.0523986,0.111981,0.154341
22,0.412832,0.193929,-0.202912,0.340925,0.378745,0.187565,-0.20634,0.32721,0.366654,0.186277,-0.189246,0.347827,0.118191,0.0432981,0.101702,0.19746
23,-0.539001,-0.326281,0.307668,0.19368,-0.518294,-0.316143,0.271991,0.14335,-0.486016,-0.283371,0.189232,0.0182939,0.0994,0.0486381,0.0769589,0.117092
24,0.107018,-0.285554,-0.353391,0.298969,0.121122,-0.274627,-0.38586,0.233019,0.102499,-0.2823,-0.369154,0.223147,0.147964,0.0512735,0.104337,0.216376
25,-0.250506,0.560396,-0.0481514,-0.394065,-0.288514,0.540079,-0.030123,-0.401251,-0.322977,0.525806,-0.0216429,-0.418923,0.133909,0.0514881,0.0747302,0.195244
26,0.317126,0.269364,0.0532684,-0.0381348,0.314643,0.26353,0.0933614,0.095458,0.289084,0.256817,0.0999459,0.0670244,0.12771,0.0442438,0.120816,0.299615
27,0.305808,0.136452,-0.373018,-0.0431071,0.311028,0.1427,-0.396999,-0.0936536,0.274612,0.131148,-0.376597,-0.107771,0.139383,0.046555,0.0923065,0.233702
28,0.483107,-0.651441,-0.0851051,-0.165401,0.498269,-0.654014,-0.0636342,-0.133648,0.469537,-0.659171,-0.0719173,-0.142626,0.120378,0.0377699,0.0525114,0.0862786
29,0.0978348,-0.174019,-0.28371,0.0664044,0.124951,-0.157182,-0.332359,0.082592,0.0831003,-0.170568,-0.274816,0.0944009,0.135895,0.0472446,0.139365,0.311278
30,-0.16938,-0.0793952,-0.287015,0.0728622,-0.149453,-0.071938,-0.305107,0.0332628,-0.2033,-0.0936278,-0.28976,0.0392032,0.138849,0.0515439,0.080645,0.176157
31,0.0826782,-0.189484,-0.273891,-0.313298,0.0509732,-0.199551,-0.265023,-0.293323,0.0521834,-0.192067,-0.277378,-0.33804,0.143739,0.0515899,0.043544,0.11243
32,0.423925,-0.0138366,0.0535412,-0.0881734,0.401113,0.00417066,-0.0128154,-0.191196,0.424105,0.00893612,-0.00696189,-0.188,0.11421,0.0382831,0.0625162,0.097655
33,0.540452,-0.450142,0.239969,0.0107714,0.532798,-0.45054,0.238262,0.0103247,0.503923,-0.452369,0.242943,0.00892885,0.142238,0.0505117,0.0508243,0.134147
34,-0.361484,0.366477,0.0729504,-0.287102,-0.355159,0.377736,0.0614058,-0.230644,-0.41286,0.339818,0.127657,-0.308286,0.143476,0.0766945,0.155221,0.285738
35,-0.0153965,-0.071133,-0.30097,-0.22476,-0.0157567,-0.0795868,-0.283574,-0.195206,-0.05223,-0.0958383,-0.263698,-0.2123,0.130397,0.056929,0.0963024,0.243915
36,-0.342169,-0.214307,-0.0817626,-0.0993801,-0.336316,-0.216422,-0.0789568,-0.0393457,-0.360621,-0.223545,-0.0493736,-0.0311963,0.131526,0.0567492,0.134949,0.325797
37,-0.229348,0.143128,0.119577,-0.181031,-0.240308,0.137911,0.108279,-0.201894,-0.255109,0.139014,0.10429,-0.215775,0.124829,0.0474506,0.0444597,0.0987597
38,-0.530362,0.116327,-0.238461,-0.0118181,-0.561998,0.107191,-0.111341,0.184793,-0.570677,0.107218,-0.182939,0.0730671,0.128455,0.0568819,0.0973606,0.145849
39,0.0466153,-0.426711,0.14867,-0.0833564,0.044036,-0.431756,0.184376,-0.0328513,0.0537415,-0.422097,0.160588,-0.0703183,0.115365,0.035178,0.0587158,0.0835652
40,0.0601315,-0.453398,-0.225481,-0.55662,0.0567484,-0.456659,-0.22964,-0.567959,0.0201443,-0.470114,-0.220451,-0.541141,0.123989,0.0369448,0.0197269,0.0583347
41,-0.309621,0.0567409,-0.760833,0.131634,-0.329263,0.0499897,-0.762595,0.12303,-0.35661,0.0406975,-0.763296,0.106056,0.13799,0.0622829,0.10332,0.189873
42,-0.13984,0.519662,-0.244876,0.00191254,-0.175096,0.495223,-0.163716,0.0605898,-0.204021,0.487146,-0.143116,0.00655297,0.126349,0.050294,0.145824,0.284075
43,0.0980118,0.0539983,-0.132123,-0.358557,0.0969895,0.0491444,-0.0744854,-0.27179,0.0693535,0.036671,-0.0888678,-0.285528,0.12051,0.0464965,0.0983575,0.158437
44,-0.103413,-0.014396,0.306499,-0.226343,-0.104167,-0.0193288,0.303767,-0.266728,-0.147673,-0.0388205,0.339611,-0.18658,0.119526,0.0437858,0.0767712,0.300415
45,0.322137,-0.634023,-0.238192,0.192868,0.295942,-0.644489,-0.230849,0.212085,0.294948,-0.646292,-0.223883,0.220362,0.154935,0.0490535,0.0489931,0.113901
46,-0.185376,0.30914,-0.252572,0.00176083,-0.211523,0.287928,-0.168087,0.154276,-0.253077,0.274255,-0.152033,0.158426,0.119299,0.046286,0.116239,0.254631
47,-0.0423797,0.0133634,0.503955,-0.124918,-0.0434985,0.00279018,0.516697,-0.098741,-0.0361353,0.0200547,0.494214,-0.145396,0.104398,0.0430043,0.0609939,0.103387
48,0.183839,-0.438944,-0.0145722,-0.244756,0.201188,-0.434263,-0.0149873,-0.252196,0.160105,-0.447601,0.00394304,-0.214728,0.128606,0.036518,0.0490013,0.13488
49,0.332837,-0.25419,0.0708872,0.0361254,0.302128,-0.267431,0.0827079,0.0515241,0.283297,-0.268881,0.0943907,0.0568554,0.147445,0.0449789,0.090765,0.298192
50,-0.533088,-0.360617,-0.12678,0.398787,-0.539077,-0.358484,-0.146644,0.36503,-0.559055,-0.365971,-0.14882,0.34547,0.121587,0.0480047,0.0563771,0.117504
51,0.25004,0.00645578,0.0310421,0.0759151,0.227382,0.000167912,0.0509968,0.0777654,0.206614,-0.00941384,0.0690247,0.0558819,0.137782,0.0479112,0.115252,0.282048
52,-0.330176,-0.266917,-0.361426,0.075172,-0.351492,-0.275862,-0.332426,0.130291,-0.38962,-0.290373,-0.329282,0.112614,0.149794,0.0647882,0.0743431,0.138509
53,-0.0810072,-0.0427704,-0.151169,0.156975,-0.0601859,-0.0564259,-0.124017,0.192417,-0.118506,-0.0700988,-0.0987167,0.210538,0.138077,0.0574426,0.106585,0.226231
54,0.289066,0.0498925,0.266555,-0.237445,0.234023,0.0180132,0.311069,-0.156208,0.218459,0.0108708,0.363269,-0.0901698,0.113284,0.0382955,0.0768483,0.103511
55,-0.29127,-0.0338469,-0.003339,0.138505,-0.249506,-0.00799606,-0.0719602,-0.0125458,-0.30492,-0.0296891,-0.0323411,0.0404316,0.133673,0.061104,0.119693,0.264764
56,0.0185545,-0.151487,-0.201437,-0.232136,-0.00544246,-0.15238,-0.197932,-0.224597,-0.0377699,-0.15857,-0.205755,-0.234825,0.127767,0.0469328,0.0798685,0.135998
57,-0.0982366,-0.477838,-0.424339,0.333506,-0.0387928,-0.455965,-0.464516,0.257206,-0.103389,-0.47952,-0.448107,0.260363,0.126985,0.0480863,0.0797197,0.169298
58,0.312699,0.0937481,0.145158,0.311547,0.317911,0.0930903,0.144716,0.305186,0.281855,0.0842783,0.155811,0.307601,0.151085,0.0544722,0.0863996,0.180012
59,0.510321,0.108891,0.207536,-0.120877,0.513491,0.110548,0.248476,-0.0691205,0.527404,0.124117,0.166143,-0.18691,0.127562,0.0454597,0.0973154,0.136082
60,0.0651844,0.165629,-0.087997,0.162298,0.0647485,0.183204,-0.127276,0.093414,0.0273248,0.165846,-0.104048,0.0981478,0.128345,0.0522488,0.10688,0.235466
61,0.17961,0.410006,-0.0193515,0.0167223,0.195941,0.419823,-0.0333592,-0.0064749,0.159687,0.41004,-0.0225036,0.00975545,0.123599,0.0455191,0.118323,0.168125
62,-0.424864,-0.0496727,-0.522796,0.0210279,-0.43846,-0.0465302,-0.541514,0.0546202,-0.46213,-0.0555959,-0.475014,0.0568932,0.129904,0.0539534,0.218013,0.342806
63,-0.378188,0.335689,0.183335,-0.174528,-0.367164,0.343578,0.183403,-0.155756,-0.394874,0.333383,0.20185,-0.16244,0.124469,0.0538378,0.0900828,0.245719
64,0.16209,-0.275597,0.448751,-0.0898812,0.155466,-0.274276,0.45986,-0.0749125,0.141216,-0.27734,0.452797,-0.0840807,0.113553,0.0371638,0.0342369,0.0661635
65,0.22515,0.068345,0.360833,-0.00228483,0.231734,0.0551246,0.388111,0.0505581,0.194334,0.0483211,0.413641,0.123507,0.144275,0.0415152,0.0925697,0.281848
66,0.0431052,-0.223663,-0.590691,0.514233,0.0216973,-0.228067,-0.597467,0.495912,0.0215843,-0.230231,-0.573321,0.531705,0.134996,0.0472723,0.118318,0.192362
67,0.13511,0.297724,-0.118362,0.0954283,0.125822,0.303002,-0.153084,0.0379149,0.0915645,0.28725,-0.132124,0.0543675,0.140736,0.0559004,0.111226,0.211277
68,-0.380225,-0.263499,-0.154321,0.0384972,-0.378532,-0.270667,-0.123248,0.12107,-0.391432,-0.27204,-0.132308,0.076863,0.123899,0.0513507,0.0990169,0.270952
69,-0.13913,0.584032,-0.249117,0.49681,-0.0381741,0.629483,-0.373558,0.443029,-0.0949536,0.608098,-0.310506,0.440687,0.155065,0.066049,0.20443,0.279788
70,0.0452982,0.235827,0.141611,-0.197404,0.0839531,0.246527,0.144952,-0.191042,0.0395686,0.239438,0.126021,-0.233284,0.143861,0.0489808,0.0623197,0.125464
71,-0.222517,-0.0975871,0.295976,0.175641,-0.270415,-0.130376,0.41126,0.335385,-0.266245,-0.118616,0.340668,0.241537,0.123185,0.0483473,0.0840833,0.114444
72,0.269619,0.343087,-0.0935611,0.0219799,0.267057,0.349786,-0.137458,-0.0697797,0.238501,0.334732,-0.0764809,-0.021653,0.14408,0.0526806,0.143198,0.282228
73,-0.266821,-0.130988,-0.187306,0.685868,-0.332463,-0.152312,-0.146742,0.745407,-0.344904,-0.152348,-0.186019,0.662329,0.12261,0.053909,0.103464,0.178876
74,-0.531334,-0.385574,0.356025,0.280807,-0.531377,-0.373507,0.285198,0.184799,-0.475276,-0.341141,0.238429,0.103888,0.0842183,0.0334961,0.0805895,0.108812
75,0.0349544,0.097044,0.477371,0.107761,0.0185462,0.0909223,0.501729,0.171499,0.0185638,0.0922062,0.496965,0.150993,0.122032,0.0458088,0.0923763,0.247753
76,-0.0388979,0.243749,0.227119,0.329338,-0.0297983,0.246256,0.239486,0.358722,-0.0776102,0.22131,0.284346,0.419782,0.126477,0.050529,0.086087,0.167696
77,0.276096,0.343921,-0.0135817,-0.19529,0.274081,0.346534,2.7591e-5,-0.161967,0.238994,0.33642,0.00157345,-0.192157,0.15049,0.0546026,0.0931488,0.210732
78,-0.452401,-0.157293,0.0126809,0.180114,-0.429532,-0.137039,-0.0868237,0.0275808,-0.45765,-0.148697,-0.0819134,0.0386065,0.113694,0.0451304,0.06281,0.0966931
79,-0.0880721,-0.368117,-0.168295,0.0835844,-0.115272,-0.383828,-0.149701,0.0107082,-0.129598,-0.379575,-0.132445,0.0965303,0.127655,0.0509291,0.105567,0.322898
80,-0.185302,0.086203,-0.294318,-0.422795,-0.185206,0.0889518,-0.296756,-0.431414,-0.222915,0.0758769,-0.286034,-0.419561,0.125059,0.0466301,0.0540876,0.13181
81,-0.445316,0.289706,-0.379144,0.093239,-0.412617,0.304683,-0.41953,0.0225072,-0.440625,0.293321,-0.420832,-0.00275756,0.127412,0.0575608,0.102539,0.20862
82,0.422506,-0.0583623,-0.110195,-0.746696,0.416033,-0.0577756,-0.130077,-0.77252,0.374312,-0.0702653,-0.097753,-0.720234,0.107283,0.0343573,0.0486856,0.0828615
83,0.140455,-0.271251,0.365599,0.436024,0.13672,-0.257944,0.342976,0.383891,0.130756,-0.258304,0.346006,0.375796,0.128198,0.0452251,0.0455961,0.102437
84,0.0654376,-0.0318522,-0.450477,-0.202638,0.0762873,-0.0270895,-0.458636,-0.223899,0.0365224,-0.0357055,-0.497726,-0.296188,0.146919,0.0447978,0.100786,0.183555
85,0.36678,-0.321259,0.306073,0.114224,0.374017,-0.317992,0.306262,0.115518,0.361397,-0.315806,0.287293,0.0022432,0.133357,0.046299,0.0758922,0.261498
86,-0.354754,-0.397117,-0.117378,-0.109285,-0.329515,-0.381319,-0.136955,-0.0992948,-0.363898,-0.398681,-0.088704,-0.114161,0.129472,0.0652738,0.13633,0.288712
87,0.48794,0.434832,-0.0404369,0.380373,0.469438,0.422077,-0.129844,0.201032,0.451117,0.421594,-0.121898,0.20735,0.132548,0.045727,0.0819902,0.146731
88,-0.30247,0.167011,-0.120772,-0.203329,-0.333913,0.142929,-0.07971,-0.13481,-0.34496,0.143538,-0.0875574,-0.175527,0.119426,0.0495424,0.0742484,0.175493
89,-0.270576,-0.130697,0.21564,-0.0811354,-0.27321,-0.144023,0.228492,-0.0863396,-0.301487,-0.146878,0.230714,-0.120812,0.117876,0.0468001,0.0771068,0.275851
90,-0.359801,0.200495,0.160567,-0.739645,-0.372694,0.198398,0.159344,-0.73821,-0.434973,0.160699,0.234195,-0.6182,0.1056,0.045742,0.057571,0.0873715
91,0.192088,0.173464,0.350138,0.260015,0.227045,0.191596,0.254661,0.0898904,0.191823,0.174422,0.295401,0.162646,0.120733,0.0398948,0.0517607,0.0940437
92,0.388228,-0.169984,-0.226197,-0.0540159,0.360816,-0.186374,-0.206544,-0.051913,0.358676,-0.18844,-0.201729,-0.064126,0.143288,0.0503226,0.0960714,0.243877
93,-0.147326,-0.312228,0.312676,0.0333092,-0.0523587,-0.241938,0.161506,-0.203991,-0.117915,-0.283209,0.259865,-0.0524461,0.114683,0.0506786,0.0915378,0.14087
