id,importanceSampling
1,174.553
2,157.032
3,237.480
4,167.217
5,237.435
6,197.079
7,208.620
8,140.769
9,174.235
10,151.131
11,207.272
12,209.633
13,131.249
14,262.409
15,188.343
16,228.664
17,221.459
18,146.165
19,266.718
20,195.516
21,158.324
22,199.112
23,143.721
24,229.784
25,185.187
26,254.680
27,223.325
28,156.639
29,162.687
30,197.020
31,210.715
32,171.073
33,150.531
34,177.191
35,187.413
36,144.608
37,216.789
38,207.365
39,234.867
40,249.790
41,156.809
42,204.246
43,173.679
44,258.641
45,232.560
46,220.291
47,199.656
48,149.809
49,228.455
50,229.876
51,166.311
52,248.841
53,209.715
54,182.993
55,175.063
56,146.503
57,143.091
58,164.971
59,205.101
60,190.581
61,153.038
62,197.871
63,242.107
64,240.891
65,241.560
66,159.200
67,229.664
68,183.952
69,187.156
70,209.554
71,201.480
72,181.809
73,235.762
74,162.780
75,175.819
76,211.861
77,174.982
78,142.776
79,239.006
80,201.274
81,239.122
82,176.473
83,220.168
84,173.749
85,145.896
86,246.902
87,154.686
88,206.197
89,168.311
90,212.472
91,135.655
92,220.753
93,163.975
94,230.333
95,170.972
96,228.302
97,247.738
98,164.661
99,215.870
100,133.184
101,255.703
102,164.566
103,185.163
104,223.916
105,237.726
106,160.650
107,206.391
108,158.964
109,213.485
110,261.917
111,167.259
112,211.085
113,225.752
114,161.470
115,130.439
116,241.599
117,180.470
118,174.529
119,206.028
120,243.208
