logV1_pop,1,-0.12275,-0.047354,-0.022613,-0.019862,-0.0084517,-0.067089,0.040922,0.014546,-0.0012986,0.024659
logQ_pop,-0.12275,1,-0.015139,0.077149,0.016,-0.0064793,0.10558,-0.09514,-0.042843,-0.015611,0.016718
logV2_pop,-0.047354,-0.015139,1,-0.16548,-0.047157,0.0015886,0.16386,-0.047486,0.10171,0.058624,0.0093982
logVm_pop,-0.022613,0.077149,-0.16548,1,0.22927,-0.0019211,-0.045894,-0.027365,-0.10263,0.050209,0.0085304
logKm_pop,-0.019862,0.016,-0.047157,0.22927,1,0.0066754,-0.030683,-0.016572,-0.062016,0.162,-0.0079422
omega_logV1,-0.0084517,-0.0064793,0.0015886,-0.0019211,0.0066754,1,0.024352,0.00022416,0.0046036,0.0028483,-0.0077402
omega_logQ,-0.067089,0.10558,0.16386,-0.045894,-0.030683,0.024352,1,-0.050351,0.04757,0.0098764,-0.044867
omega_logV2,0.040922,-0.09514,-0.047486,-0.027365,-0.016572,0.00022416,-0.050351,1,0.0014529,0.030428,-0.041171
omega_logVm,0.014546,-0.042843,0.10171,-0.10263,-0.062016,0.0046036,0.04757,0.0014529,1,0.018603,-0.010384
omega_logKm,-0.0012986,-0.015611,0.058624,0.050209,0.162,0.0028483,0.0098764,0.030428,0.018603,1,-0.024059
b,0.024659,0.016718,0.0093982,0.0085304,-0.0079422,-0.0077402,-0.044867,-0.041171,-0.010384,-0.024059,1
