parameter,value,se_sa,rse_sa
logka_pop,-0.131421553802062,0.0408209885362579,31.0611063066105
logV1_pop,4.16563218160553,0.0330946670501761,0.794469257182966
logCl_pop,1.35680321185531,0.0298282678208044,2.19842255385119
logV2_pop,3.9157141506834,0.037966885644109,0.969603096218931
logQ_pop,1.62382236673315,0.0818576693085906,5.04104826892329
omega_logka,0.31887424944187,0.0302317044722903,9.48076068393898
omega_logV1,0.27539093674924,0.0229791870318649,8.34420598699253
omega_logCl,0.318896989782022,0.0218772823482556,6.86029754097382
omega_logV2,0.259904281482589,0.0359135009317197,13.8179720344952
omega_logQ,0.512956895194796,0.0714242240152406,13.9240206505299
b,0.197067271526665,0.00336540899355803,1.70774627744448
