parameter,value,se_sa,rse_sa
logka_pop,-0.0700820490911951,0.0480248879320225,68.5266606139464
logV1_pop,4.22432531293522,0.0322627894377476,0.763738278843166
logCl_pop,1.32670769112887,0.0295567085325289,2.22782371204765
logV2_pop,3.79314961221854,0.0437328379089412,1.15294260390016
logQ_pop,1.36087367288423,0.115946674464399,8.52001745457111
omega_logka,0.33726328524959,0.0381160382401515,11.3015676200699
omega_logV1,0.253682017180613,0.0216124968792352,8.51952263681655
omega_logCl,0.320429092206065,0.0208292414443167,6.50042145078438
omega_logV2,0.294073021810816,0.0317496426332819,10.7965166059018
omega_logQ,0.671430159879214,0.0930668358356364,13.860985311172
b,0.197381531200141,0.002209195459861,1.11925135367448
