rep,id,eta_logka,eta_logV1,eta_logQ,eta_logV2,eta_logVm,eta_logKm
1,1,-0.132143029923026,0.523928519070547,-0.212203581106072,-0.239221064034909,0.0727895201318922,0.676965040104623
2,1,-0.0484263616039351,0.374050898042046,0.143368987009673,-0.365666915172432,-0.15849674472037,0.165030584006438
3,1,-0.130674618435267,0.39323568369447,0.242821081191758,-0.153108579959853,-0.254778932438856,0.0827657626370332
4,1,-0.348044116186915,0.518453043870015,-0.213932050632078,0.161498995683175,-0.348041202670681,0.220720999302619
5,1,-0.621860735372363,0.168351002601574,0.0730811902555693,0.289323247647495,-0.272948836770856,-0.0781578919381441
1,2,-0.0209100657070484,0.0263729532930135,0.294279849739633,0.273760119623899,-0.156532229822583,-0.649921518303243
2,2,0.28613662047724,-0.0871333006883935,0.720394588188511,0.379900188679947,-0.160209600776185,-0.73284116852653
3,2,0.343010590055942,0.0717555923597619,0.811576054729678,0.358358592679014,-0.228380512853675,-0.848157047107058
4,2,0.206257470735471,0.204055298796116,0.332595920827858,-0.517000692391642,-0.1419901307894,-0.739602249847059
5,2,-0.293417109057215,-0.139888126060902,-0.0230351933331112,-0.0893676212722766,0.490623130424806,0.103772671098737
1,3,-0.0627232170389425,-0.185491978224385,0.151843414119144,-0.0573349897465904,0.0335500879305757,0.331904036957729
2,3,-0.941759172653405,-0.435613633026534,0.364610515221032,-0.502320411204675,0.303050849273938,0.00513150567092818
3,3,-0.169507642493671,-0.322080358469949,0.356289938914092,0.0771628404626299,0.0500936946976112,0.873327545542028
4,3,-0.011999352983905,-0.0621066364555467,-0.221511539653517,-0.168725562893834,-0.422611535691886,0.227800303661853
5,3,-0.202042640947447,-0.523198034715581,-0.11701154859852,0.297131084256683,0.14448583382683,0.510790093465822
1,4,0.0483223482333472,0.267558543015553,0.34641017680894,-0.170269162577803,-0.48580867790464,-0.690140921132472
2,4,0.104109103300001,0.507910145986248,0.387850610782232,0.0357339098342042,-0.23252515123954,0.156756232747381
3,4,-0.593356950609788,0.425631918239243,-0.232607894253708,0.101777179798041,-0.0499788033614359,0.524529058038774
4,4,-0.0274234984003494,0.286988637172539,0.372783977035499,0.258806714386223,-0.319561962267401,0.078348789622453
5,4,-0.0941742965141502,0.235236054809379,0.356249179016252,-0.106864854681342,-0.216068113040517,-0.0369098715842793
1,5,0.61337880191523,0.130168339892537,-0.782732036011843,-0.304515896942112,0.072067083075432,0.410354986975492
2,5,0.495062837000516,-0.0644317850159799,0.228561221205061,-0.265771741948884,-0.0652860923737346,-0.632273668435338
3,5,0.162640045268777,-0.0208956636018127,-0.155841104608827,-0.114719867190176,0.0371547537739648,0.129662591582231
4,5,-0.56916295211792,0.0545029374865715,0.462647935286094,-0.742413713423865,0.0964590593360103,-0.157452921531519
5,5,-0.217645788190771,-0.126987715613672,0.177200853933572,0.181712571282825,-0.0519625249857966,0.279921750170346
1,6,-0.0812941634922997,0.343226840201887,0.00990567053998452,0.14898769528634,0.11231516359485,-0.519317326616495
2,6,0.143845757083305,0.107188005876921,0.317002544305496,0.378027581342728,0.246755656539975,-0.252479607607854
3,6,0.134869570860793,0.128356468230778,0.0826394648671616,0.609914652451197,0.263141327704128,0.0138920770924565
4,6,-0.118580419205196,0.278526524739741,-0.181533836949323,-0.0958180278642685,0.26803897747165,-0.126623986144446
5,6,-0.295117282234066,-0.0109212325986269,0.443733867057339,0.667829515972634,0.0463026821806109,-0.534047801143708
1,7,0.132594794359198,-0.351959929131905,0.115874588538485,0.0231038476806562,-0.0797974857341307,0.0435580398362459
