RUN,VAR,VAL,SE,
runSODE031,logVm_pop,6.913916659,0.028070282,
runSODE031,logKm_pop,5.534717503,0.034758933,
runSODE031,omega_logka,0.313357273,0.023217915,
runSODE031,omega_logV,0.287153376,0.018969791,
runSODE031,omega_logVm,0.292191992,0.020137838,
runSODE031,omega_logKm,0.30962777,0.029034726,
runSODE031,RSV,0.197439518,0.001777917,
runSODE031,RunTime,945.22,NA,
runSODE032,logCl_pop,1.351861923,0.030164457,
runSODE032,logV1_pop,4.187960909,0.03009615,
runSODE032,logQ_pop,1.391375184,0.050845588,
runSODE032,logV2_pop,3.911541529,0.036466999,
runSODE032,omega_logCl,0.322842497,0.021960687,
runSODE032,omega_logV1,0.316238979,0.021621669,
runSODE032,omega_logQ,0.360251872,0.054524398,
runSODE032,omega_logV2,0.272423906,0.033595383,
runSODE032,RSV,0.196038375,0.003262433,
runSODE032,RunTime,76.29,NA,
runSODE033,logCl_pop,1.335462569,0.031442119,
runSODE033,logV1_pop,4.166482162,0.029722619,
runSODE033,logQ_pop,1.541642979,0.075310264,
runSODE033,logV2_pop,3.886288283,0.028632546,
runSODE033,omega_logCl,0.342264872,0.02237715,
runSODE033,omega_logV1,0.309470539,0.021411593,
runSODE033,omega_logQ,0.540312916,0.065259502,
runSODE033,omega_logV2,0.226406736,0.025861092,
runSODE033,RSV,0.202556476,0.002262803,
runSODE033,RunTime,163.34,NA,
runSODE035,logCl_pop,1.340470625,0.031090565,
runSODE035,logV1_pop,4.183027741,0.029486635,
runSODE035,logQ_pop,1.403570616,0.044388206,
runSODE035,logV2_pop,3.934042691,0.031563658,
runSODE035,omega_logCl,0.339013812,0.02215171,
runSODE035,omega_logV1,0.316512208,0.021066917,
runSODE035,omega_logQ,0.34369343,0.038418785,
runSODE035,omega_logV2,0.298400118,0.026015001,
runSODE035,RSV,0.200235639,0.001806542,
runSODE035,RunTime,203.37,NA,
runSODE040,logV1_pop,4.254489368,0.027373482,
runSODE040,logQ_pop,1.359795123,0.053107876,
runSODE040,logV2_pop,3.943900578,0.045476761,
runSODE040,logVm_pop,6.810850979,0.042130552,
runSODE040,logKm_pop,5.349657872,0.053860276,
runSODE040,omega_logV1,0.286730447,0.019246731,
runSODE040,omega_logQ,0.340454879,0.054505208,
runSODE040,omega_logV2,0.345551516,0.043630111,
runSODE040,omega_logVm,0.28380299,0.024053359,
runSODE040,omega_logKm,0.267204329,0.049777888,
runSODE040,RSV,0.192748011,0.003204144,
runSODE040,RunTime,114.63,NA,
runSODE041,logV1_pop,4.302530292,0.029449452,
runSODE041,logQ_pop,0.594071771,0.131330913,
runSODE041,logV2_pop,3.889470219,0.057826575,
runSODE041,logVm_pop,7.14239212,0.035361123,
runSODE041,logKm_pop,6.200182439,0.079186681,
runSODE041,omega_logV1,0.284925915,0.021211335,
runSODE041,omega_logQ,0.979862795,0.143256968,
runSODE041,omega_logV2,0.386443999,0.054143905,
runSODE041,omega_logVm,0.236036094,0.021917732,
runSODE041,omega_logKm,0.594908878,0.062608041,
runSODE041,RSV,0.207753138,0.002322249,
runSODE041,RunTime,306,NA,
runSODE042,logV1_pop,4.248918596,0.027739215,
runSODE042,logQ_pop,1.391590081,0.058856485,
runSODE042,logV2_pop,3.944647647,0.037615352,
runSODE042,logVm_pop,6.901010355,0.032312282,
runSODE042,logKm_pop,5.493800393,0.042756176,
runSODE042,omega_logV1,0.293111028,0.019963163,
runSODE042,omega_logQ,0.429224066,0.063628374,
runSODE042,omega_logV2,0.317857284,0.032643875,
runSODE042,omega_logVm,0.308111088,0.0248587,
runSODE042,omega_logKm,0.359336469,0.034966844,
runSODE042,RSV,0.201377199,0.001828809,
runSODE042,RunTime,439.72,NA,
runSODE046,logCl_pop,1.366838211,0.028952925,
runSODE046,logV1_pop,4.21465137,0.028999026,
runSODE046,logQ_pop,1.367907702,0.058018314,
runSODE046,logV2_pop,3.966051298,0.037923602,
runSODE046,omega_logCl,0.308287209,0.021312788,
runSODE046,omega_logV1,0.306445011,0.021187175,
runSODE046,omega_logQ,0.407759142,0.061920094,
runSODE046,omega_logV2,0.265474347,0.034651694,
runSODE046,RSV,0.195367757,0.003269698,
runSODE046,RunTime,81.29,NA,
