id,importanceSampling
1,477.199
2,369.788
3,628.226
4,467.264
5,602.173
6,499.281
7,546.681
8,365.232
9,427.877
10,340.017
11,541.333
12,522.447
13,370.377
14,631.603
15,451.217
16,627.622
17,559.450
18,363.198
19,680.216
20,471.432
21,376.526
22,516.576
23,360.283
24,607.927
25,484.259
26,640.368
27,610.762
28,377.544
29,352.233
30,517.163
31,546.267
32,423.242
33,393.018
34,454.798
35,460.421
36,341.327
37,555.389
38,503.708
39,623.335
40,616.150
41,437.434
42,545.080
43,441.665
44,659.025
45,617.748
46,551.830
47,539.015
48,393.962
49,633.041
50,557.765
51,400.648
52,612.291
53,508.770
54,405.927
55,454.936
56,363.668
57,365.879
58,402.843
59,529.717
60,459.974
61,415.829
62,499.108
63,607.858
64,615.888
65,603.028
66,369.172
67,608.899
68,455.204
69,436.611
70,511.225
71,543.778
72,396.153
73,627.618
74,392.538
75,507.732
76,562.283
77,409.507
78,390.881
79,571.093
80,519.024
81,597.748
82,444.630
83,556.132
84,431.919
85,392.590
86,591.249
87,428.407
88,500.847
89,430.853
90,537.016
91,367.567
92,586.154
93,444.348
94,551.028
95,401.393
96,600.806
97,619.179
98,453.201
99,559.076
100,369.779
101,603.591
102,415.535
103,479.748
104,560.787
105,578.809
106,403.825
107,540.411
108,356.792
109,541.912
110,634.746
111,453.799
112,476.102
113,602.645
114,407.855
115,318.747
116,611.735
117,474.366
118,445.904
119,533.808
120,547.625
