id,importanceSampling
1,649.587
2,520.833
3,862.401
4,632.177
5,840.434
6,689.337
7,751.420
8,497.383
9,595.587
10,480.450
11,749.080
12,730.639
13,495.849
14,888.015
15,639.759
16,851.353
17,776.859
18,500.766
19,927.434
20,666.694
21,515.270
22,712.734
23,495.396
24,831.600
25,665.446
26,887.700
27,830.485
28,527.539
29,511.238
30,707.113
31,749.063
32,584.632
33,542.486
34,621.248
35,651.179
36,478.537
37,767.709
38,703.047
39,857.693
40,864.438
41,586.611
42,746.021
43,609.486
44,912.430
45,841.170
46,766.354
47,733.388
48,539.747
49,855.700
50,784.094
51,552.285
52,860.430
53,714.739
54,580.392
55,629.776
56,502.655
57,501.805
58,555.818
59,727.621
60,651.484
61,563.790
62,686.469
63,845.145
64,856.233
65,845.467
66,522.082
67,835.467
68,632.341
69,620.241
70,717.653
71,737.509
72,574.588
73,861.251
74,547.764
75,666.620
76,765.063
77,575.855
78,530.740
79,807.826
80,713.062
81,834.122
82,616.333
83,775.863
84,598.698
85,534.336
86,833.671
87,578.840
88,702.828
89,590.977
90,745.892
91,497.974
92,800.754
93,604.373
94,777.269
95,557.805
96,817.446
97,859.104
98,614.489
99,770.881
100,496.322
101,861.036
102,575.124
103,661.393
104,785.169
105,813.787
106,553.442
107,738.508
108,505.650
109,750.288
110,884.887
111,615.315
112,679.835
113,830.186
114,568.401
115,439.303
116,847.741
117,652.331
118,614.230
119,739.273
120,790.827
