id,importanceSampling
1,605.227
2,355.497
3,471.079
4,645.234
5,354.176
6,461.664
7,531.647
8,620.000
9,525.225
10,554.015
11,698.341
12,370.108
13,621.763
14,395.390
15,422.790
16,452.586
17,363.026
18,403.038
19,424.217
20,445.163
21,644.666
22,561.532
23,574.190
24,579.734
25,333.951
26,480.716
27,553.640
28,405.849
29,543.958
30,469.043
31,623.669
32,641.472
33,664.884
34,580.404
35,526.598
36,367.860
37,598.211
38,368.671
39,489.034
40,465.449
41,382.495
42,517.628
43,355.787
44,564.674
45,613.902
46,639.139
47,462.752
48,457.902
49,454.013
50,396.163
51,372.311
52,640.673
53,550.848
54,531.287
55,585.657
56,485.216
57,363.523
58,478.045
59,543.701
60,493.465
61,616.820
62,392.426
63,630.584
64,459.309
65,532.303
66,384.358
67,486.660
68,601.874
69,628.109
70,401.406
71,391.460
72,521.696
73,626.486
74,620.807
75,487.088
76,450.956
77,363.329
78,381.546
79,607.255
80,542.478
81,505.696
82,411.310
83,386.457
84,616.790
85,421.561
86,566.515
87,470.120
88,593.877
89,315.853
90,521.745
91,441.980
92,411.246
93,359.682
94,620.421
95,627.171
96,522.537
97,539.585
98,353.047
99,613.333
100,453.443
101,541.884
102,464.116
103,366.205
104,616.783
105,593.492
106,400.442
107,436.598
108,612.343
109,593.191
110,383.874
111,538.290
112,438.925
113,383.487
114,631.443
115,629.479
116,512.478
117,541.447
118,363.832
119,463.477
120,357.227
