rep,id,logCl,logV1,logQ,logV2
1,1,1.28082854023824,4.24400645504172,1.02472206652251,4.18073060974731
2,1,1.16040181496462,4.23307849817624,1.06704930124068,3.96401023657821
3,1,1.31415597032143,4.27236133079657,1.30339493217342,3.77883437172389
4,1,1.26613811652757,4.31126540061137,1.1400066213198,4.25099855471307
5,1,1.30413231733523,4.13811984420136,1.42824580448173,3.99044836605366
1,2,1.43573709220293,4.58724670435502,1.80172103139242,3.95182645129995
2,2,1.43791378409191,4.75565212869548,0.88550847150295,3.73892253263523
3,2,1.50273935341879,4.47967633501568,1.7576439367067,3.68852728949515
4,2,1.30006635339182,4.73173173306694,1.75356413365218,4.3780410925807
5,2,1.45571052023383,4.6303254794534,1.46439287246364,3.7465942641148
1,3,1.42164545799436,4.4155953827981,0.915452473453135,3.92776049132278
2,3,1.37299676450271,4.45359341202388,0.746582692613248,3.56706893149142
3,3,1.3840136603038,4.38896120771048,1.6028044210591,3.81460686625264
4,3,1.3715226843203,4.42377730948351,0.882368455158803,3.61556329236742
5,3,1.23045912430676,4.47778575452888,0.190791267508916,4.1850046427165
1,4,1.45117253906353,4.50858016643674,1.22464002436193,4.00545440059573
2,4,1.61611452912619,4.61916167826698,1.12194835601002,4.0561191625821
3,4,1.56123663821192,4.63872943065284,1.28780616591813,3.78695848338653
4,4,1.40852025485828,4.61806385455937,0.763731884974523,4.15349003355517
5,4,1.50807367261643,4.61895604028823,0.609584246123601,4.10894512289647
1,5,1.36124935933403,4.66282199759506,1.6862741428376,4.1817205992929
2,5,1.43578642940336,4.66796678846975,1.54451663963043,3.86816299084806
3,5,1.39184447870186,4.6324349128377,1.60269601563848,4.02668770571025
4,5,1.40081888376719,4.5237430454461,1.79696101061178,4.07965074317413
5,5,1.44154517855137,4.66016432459109,1.28569927085754,3.96825946305956
1,6,1.30824920471511,4.19606351815558,1.10320267033921,3.75113669981953
2,6,1.41056401989847,4.0179609357058,0.761731174410635,4.07225422556052
3,6,1.47207247738312,4.17229613499338,1.02044556879865,3.89822779729253
4,6,1.30996606366364,4.0850653882601,1.05355513881224,4.16367187330592
5,6,1.34544464933348,4.20864330949883,0.530689632003166,3.90672074246348
