rep,id,eta_logCl,eta_logV1,eta_logQ,eta_logV2
1,1,-0.0860096709582629,0.0293550853197928,-0.343185635733086,0.214679311827505
2,1,-0.206436396231882,0.0184271284543136,-0.300858401014911,-0.00204106134160326
3,1,-0.0526822408750715,0.0577099610746412,-0.064512770082177,-0.187216926195918
4,1,-0.100700094668936,0.0966140308894488,-0.227901080935799,0.284947256793259
5,1,-0.0627058938612734,-0.0765315255205601,0.0603381022261328,0.0243970681338458
1,2,0.0688988810064296,0.372595334633094,0.433813329136829,-0.0142248466198609
2,2,0.0710755728954081,0.541000758973559,-0.482399230752646,-0.227128765284579
3,2,0.135901142222285,0.265024965293762,0.389736234451108,-0.27752400842466
4,2,-0.0667718578046777,0.517080363345014,0.38565643139658,0.411989794660888
5,2,0.0888723090373271,0.415674109731473,0.096485170208049,-0.219457033805012
1,3,0.0548072467978551,0.200944013076184,-0.45245522880246,-0.0382908065970309
2,3,0.00615855330621086,0.238942042301953,-0.621325009642348,-0.398982366428388
3,3,0.0171754491072986,0.174309837988564,0.234896718803502,-0.151444431667172
4,3,0.0046844731237963,0.209125939761589,-0.485539247096793,-0.350488005552395
5,3,-0.136379086889745,0.263134384806963,-1.17711643474668,0.218953344796694
1,4,0.0843343278670236,0.293928796714819,-0.14326767789366,0.0394031026759226
2,4,0.249276317929693,0.404510308545056,-0.245959346245573,0.0900678646622894
3,4,0.194398427015415,0.424078060930917,-0.0801015363374625,-0.179092814533278
4,4,0.0416820436617795,0.403412484837442,-0.604175817281072,0.187438735635362
5,4,0.141235461419925,0.404304670566305,-0.758323456131994,0.142893824976656
1,5,-0.00558885186246885,0.448170627873133,0.318366440582002,0.215669301373089
2,5,0.0689482182068588,0.453315418747828,0.176608937374836,-0.097888307071749
3,5,0.0250062675053623,0.417783543115776,0.23478831338289,0.060636407790441
4,5,0.0339806725706864,0.309091675724175,0.429053308356185,0.113599445254324
5,5,0.0747069673548695,0.445512954869168,-0.0822084313980566,0.00220816513974981
1,6,-0.0585890064813954,-0.0185878515663482,-0.264705031916383,-0.214914598100278
2,6,0.0437258087019695,-0.196690434016126,-0.60617652784496,0.106202927640712
3,6,0.105234266186617,-0.0423552347285463,-0.347462133456949,-0.0678235006272744
4,6,-0.0568721475328642,-0.129585981461818,-0.314352563443355,0.197620575386109
5,6,-0.0213935618630207,-0.00600806022309258,-0.837218070252429,-0.05933055545633
1,7,-0.76775753651443,0.249286011945469,-0.878751853209423,-0.615329558715337
2,7,-0.873633679473432,0.303218120561743,-0.243138818176977,-0.0759565860092775
3,7,-0.70123833268291,0.346042836336176,-0.936072552010445,-0.0853983239361364
4,7,-0.66183944593171,0.193397371338905,-0.587211262781482,-0.174804614121346
5,7,-0.624517068976783,0.223006206074242,0.0705987784658905,-0.40130673977592
1,8,-0.466571609079356,-0.0738225033959278,-0.100672837321245,-0.194754948925669
2,8,-0.639613264873548,-0.073129253166608,0.353735402792086,0.387090646007819
3,8,-0.607602229210394,-0.183086610596067,0.57976431129149,0.228852075742008
4,8,-0.706049459766699,-0.124968505557335,0.594517969487558,0.511077154233197
5,8,-0.405084339022633,-0.03552980371844,0.487347843021677,0.195167665881919
1,9,0.160507946999859,0.0254670730884308,0.14169314192356,0.481812678587847
2,9,0.131512281878369,-0.0162521348290292,0.0992418312181177,0.764848659651634
3,9,0.160017693081542,0.0967284284349947,0.270165997983094,0.485857685681657
4,9,0.114606985160448,-0.0767099367691031,0.609574648110351,-0.136160896291808
5,9,0.235127832362102,0.0100920175257781,-0.0386033956977767,0.338856344386718
1,10,-0.222225125581263,-0.646441201587306,-0.533166277591743,-0.199139737627283
2,10,-0.191925832277616,-0.614743420557751,-0.211709263853938,-0.00974388541440032
3,10,-0.334166369163367,-0.778206667929834,-0.564790999668951,0.014839049425692
4,10,-0.344507790907656,-0.589237482892541,-0.526369875459861,0.270954186293225
5,10,-0.280004908912891,-0.625033055397145,-0.694661313423524,0.111145608866065
1,11,0.0053270129607251,0.329879786732817,-0.0294065296222925,0.139095485118519
2,11,-0.178690812876252,0.222206649655141,-0.0233523099933345,0.621930674433235
3,11,-0.265563974835564,0.163193853805473,0.0961982333051433,0.389496070991232
