parameter,value,se_sa,rse_sa
logV1_pop,4.24891859649261,0.0277392148760422,0.652853526046377
logQ_pop,1.39159008051042,0.0588564851095576,4.22944126534516
logV2_pop,3.94464764749427,0.0376153522871319,0.95357952467633
logVm_pop,6.90101035526822,0.0323122820866886,0.468225381838784
logKm_pop,5.49380039256499,0.0427561757359065,0.778262271664809
omega_logV1,0.293111027914004,0.0199631634425363,6.81078551858284
omega_logQ,0.429224066353611,0.0636283743241774,14.8240462993419
omega_logV2,0.317857283788227,0.0326438751198893,10.2699786302957
omega_logVm,0.308111088328125,0.024858700283548,8.06809661360662
omega_logKm,0.359336468704587,0.0349668436617715,9.73094765132732
b,0.201377199410727,0.00182880910099256,0.908151025212414
