rep,id,logCl,logV1,logQ,logV2
1,1,1.30427117239576,4.27365149556434,1.75669705954949,3.46897808920279
2,1,1.28306525442477,4.06467369781379,2.24329786091411,4.01610908351331
3,1,1.30152802329682,4.19102275353638,1.88121576824255,3.49739838093623
4,1,1.30815087358847,4.31432967515205,0.809648329162734,3.46631274381264
5,1,1.35310713340238,4.0917905297249,1.69547067684328,3.71486697662227
1,2,1.40856480237922,4.60193582038949,2.74774922403663,3.97406941262771
2,2,1.35032119119682,4.70867839824032,0.750938389107745,3.79411999004448
3,2,1.49780188098193,4.36756557265349,2.25397394253224,4.0922948718682
4,2,1.3182056771199,4.68794389668498,2.21527352253754,3.72745634542284
5,2,1.3119362090803,4.6838783175601,0.918880220270815,3.51267949345765
1,3,1.45176393997127,4.40810921557971,1.49421320160639,4.39597312186558
2,3,1.42397843633754,4.50906560740474,2.05737711831341,4.30553432891542
3,3,1.42470237768408,4.49148268742385,2.13324895943148,3.88948797512818
4,3,1.40475989091538,4.6301077530654,1.41997238480707,3.99171308572113
5,3,1.3576697818007,4.67668436061189,0.683462498896265,4.13037959067693
1,4,1.51871330732362,4.25755882284127,1.33397510542277,4.04407903503133
2,4,1.58539458087452,4.50831609350938,1.5383374579595,3.66542881885855
3,4,1.54505397594532,4.31620782389634,2.22166700967961,4.04656256389057
4,4,1.56643824565681,4.59527773927625,-0.0894773965243108,3.7932778552537
5,4,1.5743925355172,4.36848647573491,1.91867158190484,3.9998498047097
1,5,1.45616494950909,4.80822206177023,1.87542545271178,3.74461840723021
2,5,1.46059798163679,4.65692527351248,0.799646818692048,4.12354145499946
3,5,1.3701847932385,4.7044098297179,0.393279141769548,3.82248954613695
4,5,1.39936082433198,4.62187151867711,1.31916244600626,4.37944626415922
5,5,1.37523383039062,4.80319972364658,0.836175616046283,3.91782478325003
1,6,1.16858523801051,4.4162127155955,-0.134434349602616,4.26743112711734
2,6,1.30746931869286,4.28797289271717,-0.19766176534251,3.83144388921445
3,6,1.3212540639144,4.43389761764606,0.136490448601571,3.67406389545415
4,6,1.34673426841601,4.18243622581622,2.08166333594238,4.1699174956553
5,6,1.34814325510126,4.1779758733212,1.86877911031859,4.12446958832158
1,7,0.721236926819872,4.56071396572571,0.588554285475955,3.09712377280127
2,7,0.713406874232166,4.6463272759804,1.41400278533745,3.58766428606597
3,7,0.780892533851281,4.54490502628164,0.711303072880589,3.49356324603181
4,7,0.738400569324448,4.41920423032463,1.23865012255289,3.71379151223461
5,7,0.745750761238827,4.52644412303305,1.93942264545759,3.41558783542028
1,8,0.910446293230167,4.40342058106891,-1.15130743112222,3.90994178451766
2,8,0.982119551290417,4.26041853571031,1.43460976856189,3.51533931261813
3,8,0.925273495285927,4.0561307110753,0.432618674803549,3.70850616165591
4,8,0.885452053941113,4.12598013771675,-0.0121081013716129,3.98444175872884
5,8,0.950830411415189,4.33399540475866,0.0474768524972566,4.1679992666071
1,9,1.4366016625832,4.18131913218719,1.09632461224549,4.65768496981902
2,9,1.47566980870765,4.21824097425157,1.45217972492962,4.73164054884029
3,9,1.51892871724052,4.20722281845477,1.28226904757893,4.56526324999494
4,9,1.3815781696889,4.30690994337223,0.706056322392767,4.40041852233028
5,9,1.43551447369593,4.25369522833164,0.996854696274563,4.65488369236098
1,10,1.17567849383173,3.60873637613663,1.08239138473693,4.17868315318887
2,10,1.17304142226173,3.64733204921115,0.757009153057232,3.81472755214706
