rep,id,logka,logV,logCl
1,1,0.447379662924099,4.58148248249942,1.57541343995296
2,1,0.366986478082322,4.55836285459301,1.59222885466864
3,1,0.366310271651441,4.48333854795069,1.55051585016452
4,1,0.694683697467667,4.51219222819999,1.59627077817845
5,1,0.18094198980888,4.44257000095621,1.56802353999885
1,2,0.0872074982321703,3.71810799510673,1.64981355674946
2,2,0.21752058784447,3.74354577840929,1.66005209436124
3,2,0.0139506098088086,3.70098078646452,1.66524204405641
4,2,0.20893136152654,3.69471660946777,1.65254628551179
5,2,0.0646449541046921,3.63857830324782,1.66049703592348
1,3,0.0498677420504251,4.35040511410666,1.02531390042516
2,3,0.0277908510037356,4.21689383011438,0.993823841941341
3,3,-0.0478025633605913,4.37144596665726,1.03302735036587
4,3,-0.249070518797964,4.27668021234177,0.998689972612115
5,3,-0.303413402015088,4.1725165667646,0.987924630737319
1,4,-0.15433330703949,4.91417194134964,1.16489627500907
2,4,0.00029906501225993,4.92984978833562,1.17239964799656
3,4,-0.151418541848724,4.85719306818681,1.20059187897535
4,4,-0.0212873598436718,4.90568746899337,1.17683481858015
5,4,-0.295063074078479,4.83314446815274,1.10301070071451
1,5,-0.807557758340464,4.09581381421274,1.82775098190995
2,5,-0.482321715865698,4.12919706245895,1.82996261049967
3,5,-0.668173895237381,4.05062103773049,1.75089363732473
4,5,-0.582250037557514,4.11853443077407,1.80662080013845
5,5,-0.445036135031916,4.2515674905429,1.89516734075024
1,6,0.393592356546866,4.24890975083758,1.33456159753488
2,6,0.256348550263623,4.43788767219854,1.41544491889097
3,6,0.545303296099719,4.34627705308699,1.36782030438254
4,6,0.300624917430204,4.32922380636996,1.39924583217251
5,6,0.352029841871418,4.37561056990085,1.40875686330877
1,7,-0.567964308773443,4.55237479520613,1.65094670540832
2,7,-0.619480493555281,4.57066162640315,1.6410971639799
3,7,-0.522383956531571,4.69831540968954,1.69655866401825
4,7,-0.388212921775271,4.6054753004031,1.64845163534878
5,7,-0.489563936951401,4.55941649712075,1.63100694605568
1,8,-0.00511842544440877,3.99929655388413,1.78833617212456
2,8,-0.0253169182893344,4.02267379426663,1.78535887990441
3,8,0.00712519684308639,3.96655291958444,1.7604599441315
4,8,-0.0022908256027061,4.04054611101464,1.82152842525602
5,8,-0.0731649447801012,4.01056890220409,1.8143285711686
1,9,-0.410893414504326,3.91871498069492,1.1081638289318
2,9,-0.259974879015564,4.06034723910927,1.26845702690618
3,9,-0.382862795080548,4.06247015948502,1.21672293621532
4,9,0.141840265118564,4.15450624923868,1.21344094955001
5,9,-0.189221789858964,4.13860106852438,1.23439783706221
1,10,0.556254802946766,4.34088522303305,1.1089082841854
2,10,0.314128698975227,4.26023710560148,1.08692004156483
3,10,0.133888555947808,4.21964673236626,0.962609272598279
4,10,1.06751307429831,4.3677052136299,1.07919548295779
5,10,0.632090328608442,4.35075923837158,1.07574884568178
1,11,0.677443978423001,3.84861855540279,1.84589814414165
2,11,0.607334670178165,3.86446169587729,1.82312059872416
3,11,0.449648669593806,3.8335751197255,1.83807286913518
4,11,0.717468269086267,3.92059339953201,1.87418116748406
5,11,0.307691669185809,3.82535037132528,1.82280561694252
1,12,-0.0188208026731369,3.63611803010618,1.54621055415275
2,12,0.0634291606886293,3.60496257528734,1.53575820805545
3,12,-0.083780159875478,3.58093540519687,1.49177495233298
4,12,-0.0632533396428885,3.6202352676086,1.51876576085241
5,12,0.150474673683794,3.61923841357697,1.53043687991844
1,13,-0.343956816587469,4.46811501378088,1.35961287321262
2,13,-0.468999231655016,4.39640085316777,1.4074959537315
3,13,-0.18229963202441,4.37699118692109,1.40025150765102
4,13,-0.585726851581558,4.34433486096523,1.36630840165817
5,13,-0.156701652795734,4.50726853218925,1.42027578781628
1,14,-0.653014025520072,4.15364016522191,1.20793058938403
2,14,-0.406314882458825,4.31348016601781,1.32962873923859
3,14,-0.480281106270637,4.23147115779662,1.27913572524605
4,14,-0.366963978468667,4.31427778746108,1.27907075768181
5,14,-0.477001352978907,4.28908795999129,1.29818569276278
1,15,-0.268247293277766,4.13698207860168,1.34306880222067
2,15,-0.374349343075946,4.0213468140273,1.29598752407848
3,15,-0.419844672778629,4.05464384269513,1.28824953636769
4,15,0.138540551104658,4.19274041228543,1.34189458266271
5,15,0.0519228791863625,4.18142470685939,1.34840925501648
1,16,-0.127066399395873,4.30626644767315,1.32355740443487
2,16,-0.0920672909914156,4.28502356065456,1.30083394463425
3,16,-0.570694068400565,4.07602339291507,1.21861318117244
4,16,-0.611645753266352,4.0879318305586,1.27144729805921
5,16,-0.101947782233521,4.26155677677405,1.30069297342701
1,17,-0.112900629506946,4.06926521168737,1.26000412254802
2,17,0.0419063689134333,4.02451267062114,1.21893275873901
3,17,0.178265946727758,4.06009702928367,1.24128984442358
4,17,0.0162771911727407,4.06311094943325,1.27325702769999
5,17,-0.136066673591822,3.95590310883975,1.20417843749346
1,18,-0.557713327497355,4.07743805087034,1.21451152147531
2,18,-0.547629703282857,4.0685830723413,1.25210743042353
3,18,-0.396491936512747,4.04906682360125,1.20240011850524
4,18,-0.388141779706992,4.04625891544662,1.22354864183439
5,18,-0.341522960408567,4.05028761977026,1.1922684317804
1,19,-0.196919034194842,4.05755390235962,1.29530576415986
2,19,0.38259566273209,4.17515155618573,1.36612258671256
3,19,0.0498953590776961,4.18010676579782,1.37115641631199
4,19,0.146323498162049,4.18782985083543,1.40629856882131
5,19,0.33622741271775,4.17097117166613,1.40869598471924
1,20,0.06876417847468,4.09057920246194,1.2547350171314
2,20,-0.118684665424788,4.12055205920547,1.26593173603475
3,20,-0.0969205636547155,4.09748440726842,1.1993629377183
4,20,0.237753081638294,4.15906448631696,1.27173913997669
5,20,-0.0210785258587221,4.11763550077144,1.24018714472439
1,21,-0.0942895999506333,4.59476120889399,1.64668686425653
2,21,-0.07860583971565,4.50723955026355,1.62991918993478
3,21,-0.227975551710279,4.50089723759765,1.61524933177157
4,21,-0.117762290150107,4.5860180676957,1.67502564090479
5,21,-0.331572432659476,4.57772319780601,1.65537854283594
1,22,-0.336276564905659,4.63608934670977,1.40412557327396
2,22,-0.350237588286335,4.47270641846474,1.3813024118934
3,22,-0.189533748293642,4.59427879376869,1.35671694956265
4,22,-0.425025134173429,4.44680636600657,1.32129038142689
5,22,-0.68654692535068,4.52484597763963,1.34260528722238
1,23,-0.0166585242108639,4.08093678345783,1.1796613044058
2,23,-0.380126928978814,4.04651471579124,1.16094444107494
3,23,-0.155185767708612,4.04073796968817,1.15901789968618
4,23,-0.308965809988607,3.99720025370714,1.11325731667443
5,23,-0.524918229796753,4.01548516128762,1.13729713258794
1,24,-0.481592182681224,4.22685370068266,0.813685610497946
2,24,-0.040387780707482,4.28961778891056,0.824723744108389
3,24,-0.392899078135869,4.10258759523582,0.720396923289752
4,24,-0.117560152219788,4.39570752657814,0.866532886435187
5,24,-0.302245657184766,4.32918126283681,0.825903144841168
1,25,-0.354077306354785,4.60165361152199,1.46463232831652
2,25,-0.221219085265566,4.61116937797163,1.42872234244118
3,25,-0.0797192099253464,4.68158829940637,1.47067415454652
4,25,-0.440410842677619,4.61830517426166,1.40065078811715
5,25,-0.566024293639514,4.54041695793844,1.41143849620682
1,26,0.431747434784071,4.27336228484503,1.75730067258526
2,26,0.280744080651914,4.35093377167579,1.80228442840653
3,26,0.410491394996111,4.36736180637952,1.80291591575275
4,26,0.839442878025871,4.3352147998031,1.76363086588152
5,26,0.526025082438367,4.45582109224323,1.8602004485346
1,27,-0.0327512282540955,4.38970201946326,1.61751123032092
2,27,-0.195703341217076,4.36518408294023,1.62168673284683
3,27,-0.0841564609754366,4.33135143662355,1.56116335775229
4,27,-0.186190018612623,4.39146963425378,1.61699974248564
5,27,-0.241261839680263,4.34837831084593,1.61956450750991
1,28,0.114481792586498,4.70857451855119,1.56100995860441
2,28,0.0847460790451348,4.86692886809916,1.66890335590736
3,28,0.242415982879,4.80019360607821,1.66594473783874
4,28,0.274836093271495,4.89935017112251,1.6632869222537
5,28,0.451898309194999,4.79499260645677,1.6767024759885
1,29,0.194050288081101,3.72539110581411,1.40126933503884
2,29,0.215966818801159,3.75875855329769,1.41540207479437
3,29,0.246511277114291,3.74664951999671,1.43060759636079
