rep,id,logka,logV1,logQ,logV2,logVm,logKm
1,1,-0.0475852335246302,4.51705634882154,1.79458424739452,3.8690678510086,6.45615017026993,5.36629192434405
2,1,0.192179684665885,4.8087692012642,1.34390614848558,3.57729660119751,6.33408406416871,5.23098648195087
3,1,-0.0417178565952606,4.69978065291376,2.31189491203572,3.95621853595646,6.29969140689497,5.23799567346077
4,1,0.262652859232483,4.76034913575835,0.780269877115873,3.94589139075388,6.56511199396295,5.77786373268249
5,1,-0.0173035510604691,4.59610074334936,1.7198569408381,4.14459609108369,6.41030935345604,5.40278184423251
1,2,0.163972464856805,4.13188326824527,1.7818998245452,4.37217818031879,7.04097712735674,5.78991140608295
2,2,-0.0947926441790695,4.21952784011326,1.27925111798884,4.00409447317474,7.10602443807756,5.82013939894677
3,2,0.0592472677961451,4.22025091107687,1.47880451953333,4.01290077604097,7.15008083835499,5.8332298068612
4,2,0.147748970601822,4.30095277599919,1.4568656956472,4.00275822474229,7.07947193969252,5.77598467445465
5,2,0.143391863962034,4.12246107310852,1.83384788575661,4.15240446542382,7.15081920006542,5.81132442907947
1,3,-0.320158367097736,4.02381484120468,1.3584360104906,4.04324318430224,6.9676278903518,5.39894689088767
2,3,-0.287610456550263,4.05911241903272,0.89335101189092,4.0241815781324,6.85779316429258,5.5305464545446
3,3,-0.317536317996666,3.9174518906136,1.04254471398969,4.36510000225717,6.70043111447274,5.02285030397964
4,3,0.0100715538844601,4.12797934442456,0.80795073073655,3.96366116791461,7.07920728968814,5.87233306362727
5,3,-0.207602185197519,4.06971020629961,1.28858677849619,4.14998787226065,6.80517766039895,5.68361735456799
1,4,-0.389951968266701,4.4063150606295,1.49043174107566,3.84891771080443,6.498798571406,5.10185743187955
2,4,-0.118376048552663,4.53023611170116,1.69069671299595,4.10206527639692,6.62910068792918,5.68134041337
3,4,-0.155971230490676,4.50222258787061,1.43610315172696,4.23712905241975,6.39506634936855,5.22289957140593
4,4,-0.397446465349523,4.51539169616659,1.49575459049556,3.85488744607195,6.62713472283531,5.56773893194496
5,4,-0.225293971370946,4.57394379496174,1.07601509848589,3.87278293625921,6.52922259046319,5.44744062687313
1,5,0.0261063133962498,4.2997791964008,0.989682029198645,3.49578431465114,7.19701720901864,5.51315764174657
2,5,-0.00922404848223152,4.13689110346187,1.15746655795669,3.92278086756207,7.21342780696257,6.09358820184914
3,5,0.224010218448572,4.31111812013992,0.874384811260461,3.73084252721044,7.01893526095715,5.40111868158542
4,5,-0.26680344277759,3.95002665109894,1.87957991400047,4.08737270320829,7.19833485680387,5.74350692415386
5,5,-0.195500237615867,4.05650560265753,1.77819489728045,4.03401343818295,7.23945863951139,5.88126822517775
1,6,0.021698752427389,4.57320155362807,0.937657381265145,4.20033539634303,7.1816750280412,5.49888641957483
2,6,0.0965378604224219,4.60258367094428,0.950905109752566,4.01403800196349,7.06373527144133,5.09380670120268
3,6,0.371562929187189,4.61599404692463,0.765884369219359,4.34265700923246,6.97564476835534,4.9359129735364
4,6,0.0829350612597284,4.55096431517377,1.00959975706873,3.83772282141632,7.21193690791343,5.39186716994051
5,6,-0.177937345697281,4.55710468727302,0.857231512143909,4.13026381516767,7.208967449273,5.51646803111664
1,7,0.124119539655328,4.03141053861489,1.7811974242745,3.61136480149397,6.94500889636092,5.39936680556765
2,7,0.266630020189883,4.16598860841675,0.838680650829844,3.76506149276668,6.79195137536763,5.3031766222861
3,7,-0.0146790837787985,4.09371971075088,1.12083269125673,3.66511045504149,6.83463245833727,5.29562829791088
4,7,0.115513674013051,4.15997690320715,1.35419507771662,3.63414229167084,6.83792820171286,5.57508450827203
5,7,0.208416144985133,4.12916218756052,0.0532863908482797,3.86529000905574,6.86987078055705,5.62789925589225
1,8,-0.144107594292594,4.4063183948096,1.85111589272148,4.29571719366576,6.92123586589837,5.48513059473486
2,8,0.0415506529101251,4.30729168467003,1.92495113227335,4.27787301306826,6.88051889584997,5.39778297856982
3,8,0.0432933939782329,4.49379673733933,1.74930346979596,3.854580293968,6.85242667006979,5.32776749145146
4,8,0.0570296803167889,4.47710064214684,1.7771588615212,3.97313811913573,6.97602549897762,5.59129731979096
5,8,0.297285542482577,4.47102286917809,1.23759944610712,4.12204431846425,6.8173063938009,5.36971269575413
1,9,0.296242395508135,4.471728899907,1.35283550306234,4.03932829387041,7.06449552270188,5.59046204848077
2,9,0.0601465591624739,4.38873747768614,1.82969621802044,4.30731861253569,7.01601948314762,5.47703216216223
3,9,0.383088400061549,4.58133237898649,1.44701680403034,4.13196288131475,6.87732578487802,5.27021338287296
4,9,0.277076976527459,4.52371507411931,1.78202608008688,4.05019843351358,6.95339525453192,5.34265302596032
5,9,0.649759555346128,4.58788535061577,1.20983198944818,4.12456792829782,6.95308286396666,5.36880249115102
1,10,0.0938777060117041,3.99353953243803,1.4603433942561,3.69516537611723,7.09339215042686,5.3627749733169
2,10,-0.0254393166698388,3.79753381066304,2.08727497790968,3.93969368997938,7.16018695002735,5.42277153113987
3,10,0.106237365111453,3.89824096446273,1.88911235981509,3.72798453200359,7.34545722468145,5.6890595027022
4,10,0.0333927029449272,3.85331425289589,1.84348530263465,3.76433698782967,7.29372604349253,5.63509109666154
5,10,0.144705188890445,3.94265366827406,1.71049340093806,3.87755698023502,7.11891470573631,5.39464558042906
1,11,0.0678002840257998,4.38369800667814,1.59826728767883,3.68268421367658,6.87203251032509,5.59572996677756
2,11,0.0657410754225364,4.38346729636014,1.37325194765696,3.91758987666921,6.82547798591114,5.72900719702346
3,11,-0.036637443286531,4.32766151781123,1.20726903922849,3.95918946915844,6.82943677458713,5.75249529664722
4,11,-0.503816625554283,3.97057592580874,2.41745778169098,3.99847828847169,7.03287600745839,5.8656527889639
5,11,-0.511548379330813,4.01854250539102,2.02003830509451,4.23745054858555,7.01085382477802,5.94441183031481
1,12,0.360453364125947,4.40812994558696,2.49890105264922,4.43652949819926,6.71332138833351,5.76185871742582
2,12,0.15774365208947,4.41072004107279,1.70041497666105,4.14469923949935,6.93100352032452,5.7943820774888
3,12,0.38087452937227,4.36754296751933,1.59849004926051,4.51211884173158,6.60244787770403,5.24928195137239
4,12,0.190541667658529,4.39601528175978,1.6789566750136,4.31310706432996,6.70549071753165,5.2694444653287
