rep,id,eta_logka,eta_logV1,eta_logQ,eta_logV2,eta_logVm,eta_logKm
1,1,-0.0219977283991835,0.281400564727321,0.381071785438831,-0.0906014331205272,-0.420372409177141,-0.165183547541816
2,1,0.217767189791331,0.573113417169982,-0.069606313470112,-0.382372682931618,-0.542438515278366,-0.300488989935004
3,1,-0.016130351469814,0.464124868819549,0.898382450080025,-0.0034507481726598,-0.576831172552107,-0.2934797984251
4,1,0.288240364357929,0.524693351664134,-0.633242584839817,-0.0137778933752488,-0.311410585484117,0.246388260796619
5,1,0.00828395406497742,0.360444959255144,0.306344478882407,0.184926806954568,-0.466213225991026,-0.128693627653364
1,2,0.189559969982251,-0.103772515848946,0.368387362589507,0.412508896189671,0.164454547909657,0.258435934197078
2,2,-0.0692051390536226,-0.0161279439809516,-0.134261343966846,0.0444251890456213,0.22950185863048,0.288663927060903
3,2,0.084834772921592,-0.0154048730173443,0.0652920575776399,0.0532314919118579,0.273558258907913,0.301754334975334
4,2,0.173336475727269,0.0652969919049753,0.0433532336915152,0.0430889406131712,0.202949360245441,0.244509202568783
5,2,0.168979369087481,-0.113194710985694,0.420335423800921,0.192735181294706,0.274296620618337,0.279848957193609
1,3,-0.294570861972289,-0.211840942889533,-0.0550764514650928,0.0835739001731182,0.0911053109047144,-0.132528580998196
2,3,-0.262022951424816,-0.176543365061495,-0.520161450064768,0.0645122940032827,-0.0187294151545007,-0.000929017341271564
3,3,-0.291948812871219,-0.318203893480611,-0.370967747966002,0.405430718128058,-0.176091464974344,-0.508625167906232
4,3,0.0356590590099069,-0.107676439669654,-0.605561731219138,0.00399188378549105,0.202684710241053,0.340857591741394
5,3,-0.182014680072073,-0.1659455777946,-0.124925683459503,0.190318588131531,-0.0713449190481263,0.15214188268212
1,4,-0.364364463141254,0.170659276535287,0.0769192791199718,-0.110751573324691,-0.377724008041087,-0.42961804000632
2,4,-0.0927885434272157,0.294580327606947,0.277184251040267,0.142395992267794,-0.247421891517907,0.149864941484131
3,4,-0.130383725365229,0.266566803776397,0.0225906897712755,0.277459768290626,-0.481456230078539,-0.308575900479941
4,4,-0.371858960224076,0.279735912072376,0.0822421285398731,-0.104781838057174,-0.249387856611775,0.0362634600590889
5,4,-0.199706466245499,0.33828801086753,-0.337497363469803,-0.0868863478699167,-0.347299988983904,-0.0840348450127431
1,5,0.0516938185216966,0.0641234123065918,-0.423830432757044,-0.463884969477985,0.320494629571556,-0.0183178301392991
2,5,0.0163634566432152,-0.0987646806323432,-0.256045903999003,-0.0368884165670517,0.336905227515491,0.56211272996327
3,5,0.249597723574018,0.0754623360457004,-0.539127650695227,-0.228826756918678,0.142412681510067,-0.130356790300455
4,5,-0.241215937652144,-0.285629132995278,0.466067452044777,0.127703419079171,0.321812277356792,0.212031452267991
