parameter,value,se_sa,rse_sa
logV1_pop,4.25812614382828,0.0284603997362746,0.668378502067748
logQ_pop,1.32546559902963,0.0496078757015155,3.74267545969004
logV2_pop,3.94597825014628,0.0491712560489401,1.2461106709627
logVm_pop,6.99990146459486,0.0458171377611036,0.654539753064302
logKm_pop,5.66094558128668,0.0760396250704172,1.34323186786639
omega_logV1,0.300222588298085,0.0204886745161824,6.82449466321956
omega_logQ,0.234492755818485,0.0546800566585776,23.318441743635
omega_logV2,0.366724643315775,0.0575586182367451,15.6953232584327
omega_logVm,0.272135976985511,0.0270187216005822,9.92839017460036
omega_logKm,0.47254817790494,0.0536631609190123,11.3561248203157
b,0.200161719015922,0.00337730161949429,1.68728647820298
