id,importanceSampling
1,546.424
2,719.452
3,366.919
4,584.064
5,489.642
6,741.683
7,609.643
8,394.531
9,396.761
10,397.699
11,589.737
12,686.023
13,626.205
14,705.805
15,567.522
16,533.082
17,615.785
18,629.006
19,418.233
20,570.788
21,728.336
22,398.773
23,710.317
24,527.759
25,696.885
26,318.884
27,530.073
28,656.442
29,352.078
30,555.835
31,630.426
32,596.112
33,632.015
34,626.928
35,351.224
36,685.945
37,348.779
38,502.207
39,488.518
40,598.705
41,413.217
42,671.805
43,398.048
44,497.037
45,649.381
46,588.000
47,554.367
48,568.090
49,620.985
50,543.255
51,526.645
52,671.066
53,333.737
54,745.791
55,377.380
56,678.149
57,677.691
58,583.993
59,357.270
60,539.925
61,632.882
62,717.353
63,566.645
64,447.842
65,716.086
66,639.665
67,362.065
68,629.185
69,370.466
70,537.431
71,529.145
72,618.026
73,569.426
74,614.567
75,386.117
76,708.009
77,490.240
78,676.233
79,412.792
80,603.381
81,525.210
82,376.097
83,330.375
84,448.434
85,737.013
86,552.904
87,762.276
88,632.454
89,710.273
90,594.157
91,294.035
92,517.301
93,733.517
94,348.120
95,576.913
96,613.719
97,717.443
98,412.393
99,412.587
100,524.779
101,388.882
102,652.033
103,690.201
104,590.500
105,522.056
106,376.583
107,609.180
108,661.610
109,640.245
110,686.366
111,567.376
112,420.026
113,703.920
114,706.848
115,604.094
116,535.650
117,339.284
118,411.158
119,635.186
120,569.280
