id,importanceSampling
1,239.259
2,254.866
3,194.261
4,153.328
5,273.548
6,169.620
7,216.439
8,138.581
9,186.770
10,143.028
11,208.480
12,232.878
13,224.295
14,262.253
15,139.063
16,254.214
17,240.255
18,221.492
19,168.602
20,162.925
21,151.877
22,277.701
23,245.764
24,150.511
25,283.386
26,241.441
27,187.937
28,182.658
29,190.207
30,217.949
31,139.655
32,211.767
33,263.268
34,234.022
35,192.296
36,256.670
37,184.771
38,165.336
39,232.222
40,155.444
41,158.579
42,191.076
43,223.724
44,256.019
45,161.487
46,264.877
47,218.747
48,178.713
49,283.290
50,144.967
51,232.808
52,232.625
53,187.602
54,229.556
55,178.215
56,201.303
57,263.672
58,173.215
59,171.638
60,192.298
61,191.857
62,265.047
63,219.623
64,218.850
65,151.288
66,235.588
67,193.081
68,153.911
69,263.398
70,274.765
71,215.921
72,198.626
73,243.825
74,164.119
75,153.552
76,194.477
77,195.371
78,219.483
79,253.046
80,301.249
81,149.297
82,176.005
83,206.774
84,247.207
85,215.054
86,240.152
87,232.850
88,205.275
89,190.742
90,158.604
91,255.843
92,174.696
93,249.272
94,255.993
95,147.457
96,211.735
97,213.471
98,216.958
99,272.960
100,169.550
101,274.351
102,167.419
103,150.499
104,227.618
105,231.560
106,164.568
107,224.619
108,153.827
109,246.598
110,220.657
111,192.025
112,275.865
113,223.357
114,173.033
115,198.142
116,250.093
117,169.036
118,183.336
119,276.733
120,237.776
