"model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","CL","V","Ka","RSV","OMEGA(1,1)","OMEGA(2,2)","OMEGA(3,3)","SIGMA(1,1)","seCL","seV","seKa","seRSV","seOMEGA(1,1)","seOMEGA(2,2)","seOMEGA(3,3)","seSIGMA(1,1)","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_eta3(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8"
323,1,1,1,1,1,0,0,0,0,0,0,0,2.1,NA,FOCE_I,0:01:00,45.12,12.76,4623.64904056764,1.38424,4.15638,-0.182909,0.189952,0.0691265,0.0692163,0.0580455,1,0.0283884,0.0356705,0.0798447,0.00877507,0.0126729,0.0190099,0.0238619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
324,1,1,1,1,1,0,0,0,0,0,0,0,2.4,NA,FOCE_I,0:01:00,29.32,12.7,4601.58389762552,1.35371,4.29293,-0.0790438,0.187133,0.0834589,0.103025,0.061923,1,0.0321904,0.0383368,0.100934,0.00874411,0.0161098,0.0160554,0.0522935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
325,1,1,1,1,1,0,0,0,0,0,1,0,2.2,NA,FOCE_I,0:03:00,111.14,14.05,4582.41298262277,1.42961,4.25746,0.121547,0.195982,0.0778796,0.0688604,1.25077e-007,1,0.0305668,0.0361111,0.0809587,0.00786389,0.0170366,0.0132946,6.4983e-007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
326,1,1,1,1,1,0,0,0,0,0,0,0,2.4,NA,FOCE_I,0:02:00,42.89,16.07,4650.41765225499,1.439,4.21516,-0.0230174,0.203453,0.0751844,0.077513,0.11445,1,0.0301049,0.0364833,0.0953642,0.00962382,0.0129664,0.0207715,0.0604744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
327,1,1,1,1,1,0,0,0,0,0,0,0,2.4,NA,FOCE_I,0:01:00,27.29,11.26,4668.66859123132,1.43718,4.25316,-0.208028,0.20249,0.084774,0.0969923,0.108743,1,0.0312431,0.038482,0.0933022,0.00890717,0.014692,0.0246396,0.0613122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
328,1,1,1,1,1,0,0,0,0,0,0,0,2.4,NA,FOCE_I,0:01:00,34.2,10.88,4662.04494314053,1.45842,4.24567,-0.235939,0.193459,0.0707411,0.108588,0.13136,1,0.0302829,0.0388002,0.0875657,0.00827737,0.012748,0.0194005,0.0618326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
329,1,1,1,1,1,0,0,0,0,0,0,0,2.2,NA,FOCE_I,0:02:00,37.84,16.35,4614.91860547874,1.43354,4.28229,0.103399,0.201945,0.0687905,0.10303,0.017268,1,0.031285,0.0402383,0.0945661,0.0079423,0.0131157,0.0171224,0.0520788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
330,1,1,1,1,1,0,0,0,0,0,0,0,2.1,NA,FOCE_I,0:01:00,40.34,9.56,4586.22379638467,1.43731,4.23405,-0.0552403,0.184887,0.089599,0.0572935,0.0838767,1,0.0310455,0.0329146,0.0814794,0.00957939,0.016486,0.0121301,0.0880469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
331,1,1,1,1,1,0,0,0,0,0,0,0,2.9,NA,FOCE_I,0:02:00,90.08,17.29,4624.75403481017,1.35274,4.27822,0.0556999,0.198459,0.100085,0.0758834,1.90703e-008,1,0.0335769,0.0368496,0.0670733,0.00883022,0.0179435,0.0145744,1.84323e-008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
332,1,1,1,1,1,0,0,0,0,0,0,0,2.3,NA,FOCE_I,0:01:00,30.01,12.84,4611.33344028808,1.36493,4.24015,0.0259859,0.18447,0.0922169,0.0753499,0.0951752,1,0.0343368,0.0330082,0.105635,0.00796344,0.0177326,0.0158537,0.0538517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
333,1,1,1,1,1,0,0,0,0,0,0,0,2,NA,FOCE_I,0:01:00,27.37,10.38,4680.69236763175,1.35683,4.30124,0.0107461,0.19114,0.118404,0.101619,0.0582682,1,0.0369749,0.0360656,0.0833473,0.00917692,0.0188154,0.0150248,0.0614345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
334,1,1,1,1,1,0,0,0,0,0,0,0,2.1,NA,FOCE_I,0:01:00,47.73,12.2,4714.07407023656,1.36445,4.24705,0.0459194,0.194331,0.0711572,0.120282,0.153246,1,0.0313518,0.0409179,0.136708,0.0089997,0.0159058,0.0221295,0.129205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
335,1,1,1,1,1,0,0,0,0,0,0,0,2,NA,FOCE_I,0:01:00,41.76,9.9,4676.99647439734,1.39189,4.20702,-0.166945,0.204615,0.0967494,0.0574717,0.121327,1,0.0362034,0.0333267,0.114418,0.00855502,0.0189777,0.0148332,0.0560817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
336,1,1,1,1,1,0,0,0,0,0,0,0,2.2,NA,FOCE_I,0:02:00,45.09,14.32,4652.60161534549,1.39821,4.27627,-0.107166,0.190796,0.0994955,0.122786,0.0232765,1,0.0346812,0.0403319,0.0747163,0.00901725,0.0177146,0.0219176,0.0528637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
337,1,1,1,1,1,0,0,0,0,0,0,0,2.7,NA,FOCE_I,0:01:00,27.62,15.13,4629.31146617077,1.41403,4.29704,-0.103215,0.205509,0.104122,0.0587767,0.0750112,1,0.0365176,0.0352678,0.0863507,0.00877839,0.016776,0.017171,0.0420599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
338,1,1,1,1,1,0,0,0,0,0,0,0,2.9,NA,FOCE_I,0:01:00,32.75,9.35,4666.04637054651,1.37915,4.23445,-0.176296,0.199536,0.0969753,0.0945439,0.0577029,1,0.0337278,0.0371324,0.0995161,0.00946079,0.0160403,0.0233475,0.0546226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
339,1,1,1,1,1,0,0,0,0,0,2,0,2.4,NA,FOCE_I,0:02:00,52.52,14.12,4625.8763123936,1.43096,4.31378,-0.0883211,0.187485,0.101468,0.126379,0.147541,1,0.0346544,0.0416939,0.102361,0.00749416,0.0158694,0.0180165,0.0447576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
340,1,1,1,1,1,0,0,0,0,0,0,0,2.2,NA,FOCE_I,0:02:00,56.77,14.01,4605.35199482737,1.39423,4.23579,-0.0192634,0.184135,0.0669419,0.0750302,0.126805,1,0.0304688,0.0348357,0.0978389,0.00834166,0.0116036,0.0126465,0.0504621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
341,1,1,1,1,1,0,0,0,0,0,0,0,2.1,NA,FOCE_I,0:02:00,45.79,14.66,4647.9702780591,1.42062,4.19659,-0.11824,0.188071,0.091804,0.0807139,0.19121,1,0.0334367,0.0367073,0.109466,0.00848568,0.0163745,0.0197849,0.0434159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
342,1,1,1,1,1,0,0,0,0,0,0,0,2.4,NA,FOCE_I,0:01:00,42.37,12.83,4608.36822864285,1.44389,4.27599,-0.048525,0.189686,0.0950961,0.0900686,0.0886236,1,0.032677,0.0357943,0.0995961,0.00851081,0.0169282,0.0171679,0.0531627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
343,1,1,1,1,1,0,0,0,0,0,0,0,2.2,NA,FOCE_I,0:01:00,60.5,14.33,4673.53961598785,1.4454,4.2237,-0.0943981,0.202452,0.0887973,0.0995456,1.78933e-008,1,0.0318363,0.0381805,0.067341,0.00910777,0.0137445,0.0201157,9.99949e-009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
344,1,1,1,1,1,0,0,0,0,0,0,0,2.2,NA,FOCE_I,0:01:00,39.14,14.91,4641.6981933889,1.45871,4.25867,-0.0964159,0.184572,0.113788,0.123174,0.076653,1,0.0351808,0.0399169,0.0968803,0.00980501,0.0185557,0.0213131,0.0657946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
345,1,1,1,1,1,0,0,0,0,0,0,0,2.3,NA,FOCE_I,0:01:00,29.14,16.64,4648.32908739964,1.31517,4.25706,0.163711,0.195067,0.104143,0.0782178,0.00238164,1,0.0356819,0.0363623,0.0886307,0.00740005,0.0196015,0.0143796,0.00446627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
346,1,1,1,1,1,0,0,0,0,0,0,0,2,NA,FOCE_I,0:01:00,47.77,12.88,4748.17694772773,1.34415,4.21164,-0.028953,0.196663,0.10762,0.114826,0.103616,1,0.0356684,0.0406673,0.104274,0.00796422,0.0193443,0.0204145,0.0606814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
347,1,1,1,1,1,0,0,0,0,0,0,0,2.2,NA,FOCE_I,0:02:00,37.78,13.77,4613.87788932613,1.38185,4.25276,-0.139778,0.186708,0.0811131,0.0946696,0.13434,1,0.0318377,0.0369369,0.0787111,0.00872648,0.0160519,0.0218195,0.0589556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
348,1,1,1,1,1,0,0,0,0,0,0,0,2,NA,FOCE_I,0:01:00,24.22,14.18,4630.33037504405,1.37865,4.33012,0.0539744,0.20525,0.101955,0.0742457,0.0251125,1,0.0363483,0.0400352,0.118414,0.00897099,0.0180832,0.0150437,0.0494956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,1,1,1,1,1,0,0,0,0,0,0,0,2.1,NA,FOCE_I,0:01:00,25.03,13.27,4696.54208813907,1.38492,4.14656,-0.0552522,0.191472,0.110944,0.0811808,0.0830685,1,0.033176,0.0366067,0.0857518,0.0084948,0.0160216,0.0163764,0.0545033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
350,1,1,1,1,1,0,0,0,0,0,0,0,2.5,NA,FOCE_I,0:01:00,31.62,12.94,4621.28491829317,1.37846,4.23452,-0.0195218,0.179323,0.0750037,0.106602,0.208958,1,0.0297321,0.0400695,0.0927093,0.00796026,0.015141,0.0248184,0.0780452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
351,1,1,1,1,1,0,0,0,0,0,0,0,3.4,NA,FOCE_I,0:01:00,52.14,12.45,4606.99416263257,1.39672,4.19296,-0.0482299,0.180019,0.0635708,0.105725,0.116253,1,0.0271708,0.0361661,0.0912474,0.00726499,0.0118935,0.0184259,0.0852759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
352,1,1,1,1,1,0,0,0,0,0,0,0,2.2,NA,FOCE_I,0:01:00,29.14,16.62,4624.78682031797,1.38276,4.29169,0.113162,0.189233,0.108211,0.0646244,0.119652,1,0.0355226,0.0355544,0.103909,0.00819002,0.018104,0.0136236,0.046265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
353,1,1,1,1,1,0,0,0,0,0,0,0,2.1,NA,FOCE_I,0:01:00,31.65,10.44,4619.64064060796,1.3936,4.29011,-0.0858613,0.189258,0.0988383,0.12825,0.0201507,1,0.0358053,0.0393941,0.0691222,0.00815036,0.0209427,0.0223961,0.0573541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
354,1,1,1,1,1,0,0,0,0,0,0,0,2.7,NA,FOCE_I,0:01:00,36.03,11.98,4663.07676849049,1.38702,4.23361,-0.1348,0.198486,0.0848818,0.131348,0.0258232,1,0.0332875,0.0404563,0.09495,0.00883437,0.0136853,0.0224355,0.0544993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
355,1,1,1,1,1,0,0,0,0,0,0,0,2.4,NA,FOCE_I,0:01:00,54.55,13.54,4677.50288039654,1.40611,4.19973,-0.12987,0.207613,0.0852052,0.0843089,0.0240697,1,0.0326606,0.0374121,0.0835568,0.00926449,0.0139661,0.0185688,0.0429758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
356,1,1,1,1,1,0,0,0,0,0,0,0,2.5,NA,FOCE_I,0:01:00,24.45,12.98,4649.19551687211,1.47481,4.20948,-0.269351,0.194241,0.10328,0.0855013,0.0718752,1,0.0329075,0.0434198,0.0983166,0.00880475,0.0183756,0.0185667,0.0437851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
357,1,1,1,1,1,0,0,0,0,0,0,0,2.3,NA,FOCE_I,0:01:00,35.76,10.98,4612.51659655614,1.4255,4.23993,-0.0297621,0.197529,0.108967,0.0571891,0.0399395,1,0.035549,0.0328936,0.0887965,0.00935857,0.0219256,0.0139395,0.0332028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
358,1,1,1,1,1,0,0,0,0,0,0,0,2.1,NA,FOCE_I,0:01:00,47.23,11.27,4677.96388947378,1.41967,4.21672,-0.0692006,0.196221,0.101564,0.0997252,0.145656,1,0.0354693,0.0387542,0.0947202,0.00902065,0.0157923,0.0233414,0.0631962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
359,1,1,1,1,1,0,0,0,0,0,0,0,2.4,NA,FOCE_I,0:01:00,29.22,15.85,4613.42863762451,1.45927,4.24461,-0.114127,0.197188,0.0736784,0.0950959,0.0664497,1,0.0319511,0.0358728,0.0758424,0.00861892,0.0125076,0.0196784,0.039537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
360,1,1,1,1,1,0,0,0,0,0,0,0,2.5,NA,FOCE_I,0:01:00,29.51,12.9,4665.98270427453,1.36975,4.21329,0.00114995,0.209257,0.0633748,0.0928768,0.0230498,1,0.0303495,0.0383414,0.0794436,0.00826277,0.0119991,0.020362,0.0345399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
361,1,1,1,1,1,0,0,0,0,0,1,0,2.4,NA,FOCE_I,0:02:00,52.13,11.41,4649.99382831051,1.47597,4.1824,-0.0891601,0.201809,0.104553,0.0838764,0.0820304,1,0.033625,0.0350907,0.0862192,0.0081294,0.016398,0.0201997,0.0684991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
362,1,1,1,1,1,0,0,0,0,0,0,0,2,NA,FOCE_I,0:02:00,54.16,10.08,4652.80723544961,1.41412,4.2001,-0.0961909,0.196975,0.0649114,0.11133,0.019617,1,0.0303813,0.0397875,0.0974277,0.0084932,0.00976603,0.0213463,0.0298902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
363,1,1,1,1,1,0,0,0,0,0,1,0,2.4,NA,FOCE_I,0:02:00,36.2,13.97,4679.10854987301,1.40793,4.19643,-0.122389,0.203671,0.0649416,0.0842703,0.197638,1,0.0304104,0.0367651,0.105971,0.00827006,0.00994181,0.0204948,0.0790977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
364,1,1,1,1,1,0,0,0,0,0,0,0,2.4,NA,FOCE_I,0:01:00,50.59,14.4,4685.42133855161,1.38235,4.21157,0.112502,0.192521,0.0876533,0.0866841,0.17817,1,0.0328527,0.0364668,0.114485,0.00838429,0.014312,0.0166727,0.0633129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
365,1,1,1,1,1,0,0,0,0,0,0,0,2.1,NA,FOCE_I,0:01:00,30.79,15.19,4603.62792422477,1.42261,4.3173,0.100693,0.189376,0.0903837,0.117508,0.0284251,1,0.0335235,0.0373527,0.078154,0.00747103,0.01413,0.0210192,0.0681699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
366,1,1,1,1,1,0,0,0,0,0,0,0,2.1,NA,FOCE_I,0:01:00,41.26,13.7,4657.96125915807,1.41075,4.23323,-0.000722597,0.194834,0.081008,0.0839937,0.0905631,1,0.0330998,0.0341469,0.0894919,0.0083647,0.01796,0.0180867,0.0596592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
367,1,1,1,1,1,0,0,0,0,0,3,0,2.4,NA,FOCE_I,0:02:00,113.72,12.62,4587.51679765009,1.45085,4.24104,0.0262622,0.188365,0.0872716,0.0918174,0.0795024,1,0.0318282,0.0383091,0.114716,0.00918971,0.0135083,0.0205912,0.0533335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
368,1,1,1,1,1,0,0,0,0,0,0,0,3.4,NA,FOCE_I,0:01:00,25.16,10.2,4620.76957772387,1.43715,4.26192,-0.119353,0.194396,0.125863,0.0843418,0.0347274,1,0.0395696,0.0367895,0.080163,0.0100201,0.0198493,0.0186157,0.0501041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
369,1,1,1,1,1,0,0,0,0,0,1,0,2.2,NA,FOCE_I,0:01:00,42.78,14.25,4643.55395986352,1.41282,4.24145,-0.044627,0.188368,0.0989301,0.0826626,0.149932,1,0.0356943,0.035878,0.106539,0.00828727,0.0150052,0.0151119,0.0480262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
370,1,1,1,1,1,0,0,0,0,0,0,0,2.5,NA,FOCE_I,0:01:00,52.85,13.14,4566.12708914026,1.45471,4.14764,0.052,0.181725,0.0702693,0.0784031,0.0554543,1,0.0278282,0.0327434,0.0843327,0.00858862,0.0124322,0.0164702,0.0493479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
371,1,1,1,1,1,0,0,0,0,0,0,0,2.3,NA,FOCE_I,0:01:00,49.93,13.05,4647.85889279018,1.41426,4.208,0.0394296,0.183686,0.072185,0.084178,0.38083,1,0.0323053,0.0350974,0.13045,0.00693291,0.0130751,0.0180122,0.145716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
372,1,1,1,1,1,0,0,0,0,0,0,0,2.2,NA,FOCE_I,0:01:00,37.39,16.41,4641.91179052689,1.36163,4.27263,0.0853467,0.191942,0.0897051,0.115055,0.0543384,1,0.0345127,0.0400807,0.0979944,0.00826607,0.0146561,0.0223982,0.0445641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
373,1,1,1,1,1,0,0,0,0,0,0,0,2.6,NA,FOCE_I,0:02:00,42.38,13.61,4628.66823852161,1.38564,4.29324,-0.00169634,0.205198,0.0823086,0.101738,0.0948018,1,0.0338634,0.0375617,0.118764,0.008789,0.0131061,0.0207362,0.0873589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
374,1,1,1,1,1,0,0,0,0,0,3,0,2.3,NA,FOCE_I,0:02:00,83.51,11.18,4609.55838621255,1.41945,4.24602,0.112329,0.189299,0.0775573,0.0808417,5.12637e-007,1,0.0321179,0.0364433,0.104714,0.0091701,0.0146937,0.0159688,1.2791e-006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
375,1,1,1,1,1,0,0,0,0,0,0,0,2.8,NA,FOCE_I,0:01:00,29.73,11.83,4702.0266165505,1.42354,4.18666,-0.111322,0.205914,0.10409,0.0900217,0.0632735,1,0.0349081,0.0376436,0.0901572,0.00807514,0.0131197,0.0164663,0.0386724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
376,1,1,1,1,1,0,0,0,0,0,0,0,2,NA,FOCE_I,0:01:00,45.88,11.86,4683.9249541656,1.4035,4.22794,-0.0606967,0.205027,0.095287,0.0840844,0.00654083,1,0.0356192,0.0357496,0.0751499,0.00893323,0.0172938,0.0185445,0.0204397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
377,1,1,1,1,1,0,0,0,0,0,0,0,3,NA,FOCE_I,0:01:00,24.84,12.77,4557.21753462878,1.39238,4.26539,0.0289444,0.190831,0.0785539,0.0638003,0.0400284,1,0.0311991,0.0344762,0.0842662,0.00886772,0.0138992,0.0120035,0.0443915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
378,1,1,1,1,1,0,0,0,0,0,0,0,2,NA,FOCE_I,0:01:00,31.43,12.28,4590.0352809436,1.43822,4.25921,-0.100112,0.187998,0.0786264,0.0921575,0.0671519,1,0.0305886,0.0375916,0.0903921,0.00834005,0.0125341,0.0187909,0.0568736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
379,1,1,1,1,1,0,0,0,0,0,0,0,2.5,NA,FOCE_I,0:01:00,45.73,10.45,4631.23869360652,1.44627,4.23903,-0.1489,0.197626,0.0777355,0.0911441,0.0964259,1,0.0298832,0.0372318,0.0768731,0.00935198,0.0124207,0.0183055,0.0486531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
380,1,1,1,1,1,0,0,0,0,0,0,0,2.1,NA,FOCE_I,0:01:00,53.68,11.2,4624.47583199587,1.41551,4.2187,0.0319276,0.177438,0.0922563,0.0985607,0.170599,1,0.0300715,0.0343564,0.0960595,0.00923587,0.0154777,0.0163494,0.0826031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
381,1,1,1,1,1,0,0,0,0,0,1,0,2.4,NA,FOCE_I,0:01:00,40.81,11.99,4671.84787394492,1.40028,4.2317,-0.049241,0.196916,0.0837453,0.0860201,0.185074,1,0.0325611,0.0362356,0.116916,0.0092898,0.0136736,0.0158464,0.0721015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
382,1,1,1,1,1,0,0,0,0,0,0,0,2.2,NA,FOCE_I,0:01:00,37.09,10.97,4621.9790747084,1.42241,4.24928,-0.0574501,0.197551,0.0947455,0.0957779,0.00582095,1,0.0337499,0.0379496,0.0801137,0.00873662,0.0179898,0.020437,0.0319639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
383,1,1,1,1,1,0,0,0,0,0,0,0,2.1,NA,FOCE_I,0:01:00,34.48,13.73,4624.94347520008,1.43836,4.2352,-0.208648,0.193737,0.0852573,0.09391,0.0980821,1,0.0318572,0.0367863,0.0937727,0.0071246,0.0137121,0.0174352,0.0802877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
384,1,1,1,1,1,0,0,0,0,0,0,0,2,NA,FOCE_I,0:01:00,27.3,11.39,4698.86674699645,1.37565,4.17375,-0.0882059,0.19574,0.0950418,0.0642587,0.112484,1,0.032612,0.0331687,0.0939954,0.0082227,0.0166197,0.015068,0.0624623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
385,1,1,1,1,1,0,0,0,0,0,0,0,2.6,NA,FOCE_I,0:01:00,25.4,14.66,4634.95533654577,1.43687,4.22145,-0.249181,0.189285,0.111339,0.0783172,0.0659828,1,0.0351892,0.0351996,0.0797406,0.00841426,0.0166345,0.0151401,0.0569354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
386,1,1,1,1,1,0,0,0,0,0,0,0,2.4,NA,FOCE_I,0:02:00,50.92,12.58,4581.17752031246,1.3921,4.24397,0.134399,0.189725,0.0848213,0.0833169,0.0542585,1,0.0309944,0.0341979,0.0900481,0.00849385,0.0148524,0.016776,0.0518513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
387,1,1,1,1,1,0,0,0,0,0,0,0,2.8,NA,FOCE_I,0:01:00,36.38,13.69,4679.58650307333,1.38525,4.18276,-0.113495,0.199168,0.08037,0.0561634,0.107758,1,0.031856,0.0330078,0.107239,0.00857195,0.0131627,0.0182561,0.0858592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
388,1,1,1,1,1,0,0,0,0,0,0,0,2.2,NA,FOCE_I,0:01:00,26.67,15.24,4589.24895840477,1.48136,4.21359,-0.146382,0.19217,0.0930767,0.079693,0.089071,1,0.0326591,0.0362497,0.082523,0.00863448,0.0165701,0.0201454,0.0752887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
389,1,1,1,1,1,0,0,0,0,0,1,0,2,NA,FOCE_I,0:01:00,67.67,11.39,4610.11027946107,1.39494,4.25196,-0.130958,0.197792,0.0825931,0.116618,6.45969e-006,1,0.0311518,0.0422651,0.0822324,0.00708927,0.0164718,0.0235774,0.000278427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
390,1,1,1,1,1,0,0,0,0,0,1,0,2.4,NA,FOCE_I,0:01:00,43.65,13.33,4630.17560040457,1.39768,4.25586,0.0602163,0.181754,0.0857158,0.0954198,0.1621,1,0.0317161,0.0363198,0.100915,0.00778792,0.0122202,0.0185868,0.0691762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
391,1,1,1,1,1,0,0,0,0,0,0,0,2,NA,FOCE_I,0:01:00,61.72,10.66,4668.50832244448,1.40178,4.16672,-0.0922304,0.189094,0.117183,0.05927,0.10646,1,0.0357068,0.0326773,0.0893526,0.00722375,0.0210819,0.0134949,0.0543098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
392,1,1,1,1,1,0,0,0,0,0,0,0,2.2,NA,FOCE_I,0:01:00,33.12,10.3,4683.94385018467,1.39564,4.19694,-0.0878466,0.190788,0.106376,0.1007,0.0385931,1,0.0355333,0.0403017,0.0717234,0.00834127,0.02032,0.018063,0.0496364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
393,1,1,1,1,1,0,0,0,0,0,0,0,2.4,NA,FOCE_I,0:01:00,35.31,13.28,4621.71018370882,1.40906,4.18189,-0.068064,0.181266,0.0623216,0.088459,0.0969059,1,0.0277144,0.0375499,0.102185,0.00820383,0.0114187,0.0160414,0.0469267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
394,1,1,1,1,1,0,0,0,0,0,1,0,2.2,NA,FOCE_I,0:01:00,42.8,10.34,4576.36165409298,1.45839,4.25124,-0.0909156,0.182306,0.0843533,0.0601262,0.0772404,1,0.0317548,0.0310805,0.091241,0.00772942,0.015389,0.0142321,0.0588094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
395,1,1,1,1,1,0,0,0,0,0,0,0,2.5,NA,FOCE_I,0:02:00,43,11.59,4688.20052028364,1.43795,4.20424,-0.141738,0.210327,0.107309,0.0802199,0.0737907,1,0.0343692,0.0352617,0.0818245,0.00834408,0.0203811,0.0164986,0.0599069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
396,1,1,1,1,1,0,0,0,0,0,0,0,2.2,NA,FOCE_I,0:01:00,32,13.95,4667.97795783695,1.36352,4.2731,0.0632686,0.203219,0.0858796,0.0821101,0.0688751,1,0.0333694,0.037422,0.100782,0.00742915,0.0130468,0.016408,0.0535836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
