"model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","CL","V","Ka","RSV","OMEGA(1,1)","OMEGA(2,2)","OMEGA(3,3)","SIGMA(1,1)","seCL","seV","seKa","seRSV","seOMEGA(1,1)","seOMEGA(2,2)","seOMEGA(3,3)","seSIGMA(1,1)","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_eta3(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8"
273,1,1,1,1,1,0,0,0,0,0,1,0,2.1,NA,FOCE_I,0:01:00,62.63,11.32,4572.72198539717,1.43991,4.26188,0.0357548,0.183092,0.088602,0.0890594,3.99695e-007,1,0.0317677,0.0377211,0.0664994,0.00716644,0.0153177,0.0146467,9.59647e-007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
274,1,1,1,1,1,0,0,0,0,0,0,0,2.4,NA,FOCE_I,0:01:00,44.61,10.53,4677.09302632523,1.42519,4.26381,-0.0236143,0.214233,0.0653307,0.110886,0.0549991,1,0.0296556,0.0374399,0.0845947,0.012636,0.0162228,0.0201896,0.0557911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
275,1,1,1,1,1,0,0,0,0,0,0,0,2.8,NA,FOCE_I,0:01:00,47.24,8.78,4570.40197537489,1.47534,4.23869,-0.177451,0.195812,0.0703358,0.0900613,3.71815e-008,1,0.0300483,0.0375381,0.0707665,0.00738916,0.0110059,0.0160137,2.86249e-008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
276,1,1,1,1,1,0,0,0,0,0,0,0,2.3,NA,FOCE_I,0:01:00,31.08,13.03,4573.98972801859,1.41441,4.24451,0.0476013,0.181507,0.0845921,0.0910839,0.0458419,1,0.0325528,0.0366048,0.0986426,0.00769099,0.0116444,0.0146499,0.071105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
277,1,1,1,1,1,0,0,0,0,0,0,0,2,NA,FOCE_I,0:01:00,38.95,10.13,4594.98101200416,1.43384,4.25016,-0.141113,0.191727,0.0930109,0.0725919,0.0365151,1,0.0333694,0.0357721,0.0906861,0.00804533,0.0146673,0.0146656,0.037215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
278,1,1,1,1,1,0,0,0,0,0,0,0,2.4,NA,FOCE_I,0:01:00,33.58,11.99,4614.17377234241,1.39767,4.22947,-0.014966,0.191837,0.0738439,0.0918704,0.150115,1,0.0310042,0.0356146,0.0977184,0.0075506,0.0126207,0.0187879,0.0723795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
279,1,1,1,1,1,0,0,0,0,0,0,0,2.2,NA,FOCE_I,0:02:00,43.24,15.88,4675.19202457563,1.43046,4.26506,0.0795118,0.193436,0.118732,0.117657,1.09761e-005,1,0.0377784,0.0378742,0.0800921,0.0082331,0.0215117,0.0172662,1.23147e-005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
280,1,1,1,1,1,0,0,0,0,0,0,0,2.2,NA,FOCE_I,0:01:00,73.06,11.33,4602.85799746604,1.42756,4.23708,0.0662287,0.182495,0.100738,0.0929314,0.120907,1,0.0343139,0.0351786,0.0868401,0.00777927,0.0143475,0.0148755,0.0544708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
281,1,1,1,1,1,0,0,0,0,0,0,0,2.1,NA,FOCE_I,0:01:00,30.6,13.98,4637.86451184846,1.42783,4.26265,-0.0837083,0.198524,0.0816178,0.0873352,0.0636765,1,0.0336563,0.0366828,0.0772908,0.00785752,0.0159222,0.0174902,0.0473867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
282,1,1,1,1,1,0,0,0,0,0,0,0,2.1,NA,FOCE_I,0:01:00,32.2,13.47,4566.86485777371,1.40216,4.27248,-0.0461899,0.180647,0.0913012,0.0942565,0.030116,1,0.0337457,0.0400668,0.0808781,0.00717525,0.0154139,0.0194887,0.02733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
