rep,id,logV1,logQ,logV2,logVm,logKm
1,1,3.6162041077929,1.87302250271215,3.96292946852497,6.43607453272989,5.61679734794228
2,1,3.60964322238505,1.71038063410878,3.78812909377234,6.84811030708643,6.27629966402206
3,1,3.79502263991354,1.28038920621183,3.89047294161543,6.33409517644424,5.47075872498908
4,1,3.56814481519061,1.55633250606942,3.94147102928132,6.54385875037889,5.82548418560255
5,1,3.67393763705282,1.19956044825825,3.61342710140383,6.73996807674185,5.89297039336273
1,2,4.45560282618166,0.973273572200621,3.40208928694015,7.18819993343819,5.51340313477971
2,2,4.45721419439025,0.845065953148947,3.76052204170885,7.24205007462171,5.57759946999773
3,2,4.45387473398916,0.784889902640721,3.77378919002937,7.06808335945996,5.29484186372406
4,2,4.44018048784668,0.973859183123048,3.79459244308884,6.77384927530563,4.87938474980185
5,2,4.51810819371969,0.709654268529526,3.71017689598948,7.09511797517719,5.36156303198503
1,3,4.01603126633809,1.19553948400977,4.08801097387932,6.78774747893217,5.41364985865747
2,3,4.04486153160712,1.76828774174852,4.05609540910577,6.90603828574207,5.58657155524303
3,3,4.22587187702208,1.01485267696169,3.92324949586801,6.74271287961693,5.37032649343087
4,3,4.16795307563501,1.46154020220989,4.13818730936528,6.76685628694571,5.32330682246142
5,3,4.04865026300311,1.1579862446292,4.07522548878215,6.91729623815763,5.64500126815403
1,4,3.78683769604013,0.801948789978732,4.1204826297879,6.60297709468959,5.77669322501576
2,4,3.73493848970629,1.0944389449333,3.94067481961438,6.61860965651374,4.56485052177894
3,4,3.52780590874365,1.50542007079794,3.90700871789018,6.94772040682479,5.9658325900818
4,4,3.884255756246,0.901782245013071,3.64086189694671,6.85055598749823,5.67014927844068
5,4,3.76724602518325,1.35698894190681,3.93484916492072,6.85327845124158,5.48801107421923
1,5,4.33060129236992,0.528471250204493,4.26417515614627,6.85746210070687,5.1123944842003
2,5,4.26580660082448,0.740978933601352,4.40561294045514,6.77878208827771,4.97614198986498
3,5,4.21090580888633,0.881868827821575,4.15197551845826,6.96693084203515,5.23732007614581
4,5,4.30803817138374,0.77975433571358,4.38220682886018,6.7706178379491,4.95631392942426
