rep,id,logka,logV,logCl
1,1,-0.0713977074427016,3.86642917011784,1.48646757981237
1,2,-0.230812798012605,4.52354668756417,1.68351659059596
1,3,-0.054955165486359,4.12749138923284,1.52512878654236
1,4,0.00356172118615811,4.45123762349801,1.13470183333063
1,5,0.355605305894876,4.1976637475616,1.39612298899618
1,6,-0.207449551569811,3.91098609794265,1.32624939355427
1,7,-0.557912890039506,4.44248627318714,1.73241325871236
1,8,0.242983487255151,3.60611948963322,1.30497050218539
1,9,-0.0305709128764367,4.09595029792835,1.2673501362956
1,10,0.00849110077989373,4.53094073957776,1.41526876935953
1,11,-0.0806692282728322,3.87384452770908,1.26703382433613
1,12,-0.263445314698374,4.24901393864017,0.945125239526865
1,13,0.0269090776411575,4.00734518985095,1.33571288635203
1,14,-0.0553884011566184,3.41127324696686,1.22111679375579
1,15,-0.217616699851719,4.41292941902533,1.2037967576582
1,16,-0.242291649431782,4.7053089958314,1.2350929540854
1,17,-0.0598199091070473,4.14844399120569,1.19029957499392
1,18,0.0677278481290796,4.4030454269619,1.7582686849228
1,19,-0.179502786708831,4.48555709294362,1.4946174206324
1,20,-0.559306956049935,3.77000948901864,1.51703627974409
1,21,-0.0764233635720278,4.06837100600743,1.99297533201995
1,22,-0.432637259599489,4.19984929567163,1.93470881272803
1,23,0.333043833370667,4.3619307051045,1.65729085149259
1,24,0.308632931937826,4.44733055052396,1.40293071257083
1,25,0.149834021408393,4.02153116368068,1.76107080288863
1,26,-0.183654951549954,4.2399357178551,1.0051740904949
1,27,0.166492928253238,4.17235097021597,1.84354423578646
1,28,-0.286937648035178,4.25438293968321,1.00798740588745
1,29,-0.204729201078397,4.05689005237568,1.6317476688865
1,30,-0.103598944505729,4.37075895905966,1.37700356773283
1,31,-0.642010617294367,3.88182063310992,1.36577477992135
1,32,0.664003744258923,3.91996851198205,1.73658589719744
1,33,-0.652199368414018,4.39610116313645,0.636948997900062
1,34,0.0368807759594384,3.94732894284125,1.10380808259128
1,35,-0.143930810224616,4.08026086075904,1.69270279714584
1,36,-0.462123965188563,4.64449527823689,1.83364445204054
1,37,-0.411669978385639,3.79416386366399,1.44430584293899
1,38,0.244686317048307,4.31052236768388,1.48900928602768
1,39,0.0324294389397276,4.72456471172437,1.80778878475653
