rep,id,logV,logVm,logKm
1,1,3.92534013544199,6.75869014994244,5.36444332887281
2,1,3.88972334085424,6.89327444427581,5.72065593891385
3,1,3.93986641074925,6.72276095601276,5.28462550503439
4,1,4.0174081249208,6.80055170278894,5.44591178422771
5,1,3.95876105162604,6.77173535611044,5.4382658556148
1,2,4.18490191734294,6.5213739649221,4.99886894533178
2,2,4.17679845196569,6.69048191240868,4.99311049796986
3,2,4.1544508575697,6.71524616996549,5.60369588010439
4,2,4.13637330058023,6.69777462923727,6.24220819052789
5,2,4.19266960366102,6.66433251579135,5.59603308000389
1,3,4.23635197682126,6.67505068893596,5.53433668274056
2,3,4.14961786392095,6.94165335649526,5.84361412673848
3,3,4.22592183387942,6.65992956386647,5.27287184127273
4,3,4.14850437670274,6.85083837949297,5.65881919374155
5,3,4.20227122386838,6.66070592540934,5.34646151869784
1,4,4.62621348487211,6.49565385217989,5.21640099251876
2,4,4.61166013615847,6.68309404153084,5.35040543995823
3,4,4.57846745582976,6.84777767276971,5.58451419895021
4,4,4.70650134024252,6.94478952401964,5.59664212571119
5,4,4.60896392285433,6.93198749760577,5.6125504398365
1,5,3.90672599787201,6.7876993700038,5.72969796613544
2,5,3.89315183821014,6.56728377544337,6.11460870917491
3,5,3.74631933362851,6.71253808997755,5.62703883189048
4,5,3.92085874789019,6.57637270250875,4.86891596733374
5,5,3.88369647190997,6.45014158795044,4.89427887310094
1,6,4.19556674542313,7.25106473236288,5.31952848975183
2,6,4.17058266913577,7.20923360681843,5.2425156389408
3,6,4.17054792745324,7.30476624570534,5.35752641096182
4,6,4.2296658009281,7.13867549140213,5.08383639493513
5,6,4.17854396651946,7.0467611925604,5.01172097399642
1,7,4.56688948008819,7.15436313469634,5.98053663232158
2,7,4.60386736046842,6.87921896068263,5.26977044434249
3,7,4.54397030352643,7.11648487002484,5.70824182836199
4,7,4.65059544362841,6.98746279403841,5.68646792961998
5,7,4.50636170125012,6.84750665297539,5.18851493950892
1,8,4.08313714404148,6.8841320385925,4.64099904214412
2,8,4.09149184157124,6.90849618138887,4.60347662396179
3,8,3.99993016185782,6.77492730842239,4.50257256547066
4,8,4.15853747659473,6.95076740174816,4.6477487784736
5,8,4.03028346401832,6.96279865726494,4.77002486837554
1,9,3.96274366507933,7.24376901921912,5.55378791682069
2,9,3.9933475571168,6.98191548277442,5.22771467214209
3,9,3.94307185347623,6.9960061240974,5.27270449971768
4,9,4.06712666634315,7.03568399770562,5.17585992548972
5,9,4.07165528387187,6.96149093755914,5.12812958092027
1,10,4.18404693535463,6.93590400552967,5.15556221904836
2,10,4.08822496417763,7.01826355128574,5.34925155417957
3,10,4.06982849785303,7.08201003893999,5.42540326985593
4,10,4.09969836694091,7.13230451224741,5.46370031009784
5,10,4.06337084898594,7.06593043265297,5.39840987272338
1,11,4.29221636527606,6.53454969474511,5.16728068899478
2,11,4.22525799953651,6.92289108831227,5.69987932327256
3,11,4.19292679829265,6.97508559609896,5.82191840281557
4,11,4.08496834066266,6.84389543621248,5.72638681839425
5,11,4.17545169223161,6.80543941410257,5.57424990149568
1,12,4.55675424449366,6.79747977570483,4.85678636325436
2,12,4.46137936289542,6.89024164161178,4.90846954190981
3,12,4.58244545627399,7.07221162352434,5.43813112702276
4,12,4.66069001618226,6.9504344859011,5.43874590668048
5,12,4.55304335000116,6.87876176696645,5.23897415721882
1,13,4.13315573883983,6.94779098847422,5.49298400901192
2,13,4.10418239135353,6.92403616992991,5.42354719894646
3,13,4.1043573208016,7.05163405065494,5.72695700803816
4,13,4.22342620060247,7.04461629345387,5.66484675153986
5,13,4.18199426289526,6.83876893567756,5.2819113090531
1,14,4.04085735866297,7.29518704367782,5.62569495388937
2,14,3.95785362378698,7.28203641762647,5.58652487175083
3,14,4.04267003113147,7.15233026617453,4.9382879830451
4,14,3.96000105157187,7.17162352688242,5.10960443328772
5,14,4.01261991614544,7.3242770469655,5.50029469949139
1,15,4.40209366203782,7.3607392752695,5.3691805919443
2,15,4.48172559903796,7.29786829966842,5.26289481522776
3,15,4.46517573227125,7.27722863665212,5.2174961597702
4,15,4.32196229863232,7.41565018234748,5.47958528124636
5,15,4.43144198746737,7.39242542686514,5.37155661294107
1,16,4.22307510237377,6.39941787410639,5.32485532698852
2,16,4.1821116178894,6.88632360874741,5.80693418595774
3,16,4.21267990813336,6.90272366297155,6.02966590448621
4,16,4.22588621593558,6.64910404693754,5.53635830220881
5,16,4.23463001178223,6.83324804725995,6.1527696704158
1,17,4.08877418675343,6.48299664857449,5.53767819942638
2,17,4.07402503360314,6.71223967285387,6.05670989714342
3,17,3.98548777480385,6.70421987485255,6.04632806749469
4,17,3.95821912881216,6.48230707836534,5.25823147670585
5,17,3.99318747440437,6.54531838479603,5.30926852786196
1,18,4.37387962174273,6.85030381867906,5.51489714877248
2,18,4.2777367673376,6.972357194818,5.5672150771126
3,18,4.34614757359019,6.80853687133732,5.5912824619801
4,18,4.3693254281456,6.88992784610326,5.80731005320995
5,18,4.30778886558116,6.66858293927591,5.02315244413099
