rep,id,eta_logV,eta_logVm,eta_logKm
1,1,-0.132004243108,-0.0384179999711181,-0.138172466943446
2,1,-0.124349014618283,-0.0221049696751426,-0.0260267468155941
3,1,-0.133479616947429,-0.0492552992805741,-0.0609828610032698
4,1,-0.128834745604365,-0.0419746389213903,-0.128549538265806
5,1,-0.102419984189625,-0.0858846342860201,-0.132753831772757
1,2,-0.223212883676582,-0.163315363165039,0.148909819260724
2,2,-0.1414077865324,-0.41487523802653,0.300156069008783
3,2,-0.196221124999873,-0.187490464881088,0.300420881389657
4,2,-0.195975320610162,-0.472195526552897,0.200160759658012
5,2,-0.203394949831008,-0.273792639406761,0.0442476741508882
1,3,-0.195636324614107,-0.100889520569141,-0.37023713827394
2,3,-0.155101800882529,-0.11996569947326,-0.443636391144171
3,3,-0.150569599516015,-0.118251708815512,-0.410797573307204
4,3,-0.133662660981808,-0.140373173455481,-0.484768235468894
5,3,-0.165616176497893,-0.138379419841595,-0.458372333418881
1,4,0.519396420971427,-0.0593229757668765,-0.377259518520699
2,4,0.629055683299107,-0.0448036660266405,0.108960997357938
3,4,0.414543998884788,0.159510278434952,0.107041962563556
4,4,0.59534424726079,-0.0189739704138263,0.178807966934987
5,4,0.45119307339431,0.261393479276043,0.357044422574822
1,5,0.250013326828498,0.223902649553652,-0.256995252712023
2,5,0.196239450150191,0.231287806099274,-0.291740815486298
3,5,0.224740995153463,0.202096958380209,-0.309565567546614
4,5,0.305538535759624,0.2476219532391,-0.167283397122824
5,5,0.199061739429562,0.269380650122931,-0.137849405428631
1,6,-0.598295583099141,-0.138535928213003,-0.176347907399388
2,6,-0.553212894587576,-0.171341119591088,-0.0753723629283917
3,6,-0.629923481197575,-0.0595238093016462,-0.0703616369381451
4,6,-0.507878109579473,-0.275227338371029,0.377154084135794
5,6,-0.490150779112893,-0.447687423883019,0.0929853822286438
1,7,0.0470920137074256,-0.0869227835867167,-0.192053925591965
2,7,-0.0639550748852947,0.161039839046463,0.153049270521167
3,7,0.0324327721417692,-0.193092419459893,-0.468922473177238
4,7,-0.0410089110960913,0.0376899774822069,-0.0242833527775706
5,7,-0.00735446024487561,-0.0781171911407103,-0.433700373639188
1,8,0.0855479164345962,-0.256289598271248,0.0222563058291833
2,8,0.115147537548816,-0.056331164411541,0.282520077831941
3,8,0.175666758699299,-0.0885475617745327,0.214438703672124
4,8,0.149607025907067,-0.0909113990998508,0.199997248463763
5,8,0.125055399531978,-0.120462957197629,0.144891422669715
1,9,-0.164069896527296,0.10088820091261,0.398426718767262
2,9,-0.183143683312898,0.0373055215164792,0.275857601015119
3,9,-0.130520891686605,0.00847210856610284,0.264693148202153
4,9,-0.0855143284612752,0.117769314345884,0.39936787910884
5,9,-0.216715035052014,0.011030772833005,0.346678599279958
1,10,0.641440388154465,-0.289373718750526,-0.0590241123913068
