rep,id,logV,logVm,logKm
1,1,4.12370768598144,6.86628372871159,5.3552769077565
2,1,4.13136291447116,6.88259675900757,5.46742262788435
3,1,4.12223231214201,6.85544642940214,5.43246651369668
4,1,4.12687718348508,6.86272708976132,5.36489983643414
5,1,4.15329194489982,6.81881709439669,5.36069554292719
1,2,4.03249904541286,6.74138636551767,5.64235919396067
2,2,4.11430414255704,6.48982649065618,5.79360544370873
3,2,4.05949080408957,6.71721126380163,5.79387025608961
4,2,4.05973660847928,6.43250620212982,5.69361013435796
5,2,4.05231697925844,6.63090908927595,5.53769704885084
1,3,4.06007560447533,6.80381220811357,5.12321223642601
2,3,4.10061012820691,6.78473602920945,5.04981298355578
3,3,4.10514232957342,6.7864500198672,5.08265180139274
4,3,4.12204926810763,6.76432855522723,5.00868113923105
5,3,4.09009575259155,6.76632230884112,5.03507704128107
1,4,4.77510835006087,6.84537875291584,5.11618985617925
2,4,4.88476761238855,6.85989806265607,5.60241037205789
3,4,4.67025592797423,7.06421200711767,5.60049133726351
4,4,4.85105617635023,6.88572775826889,5.67225734163494
5,4,4.70690500248375,7.16609520795876,5.85049379727477
1,5,4.50572525591794,7.12860437823637,5.23645412198792
2,5,4.45195137923964,7.13598953478199,5.20170855921365
3,5,4.48045292424291,7.10679868706292,5.18388380715333
4,5,4.56125046484907,7.15232368192182,5.32616597757712
5,5,4.454773668519,7.17408237880565,5.35559996927131
1,6,3.6574163459903,6.76616580046971,5.31710146730056
2,6,3.70249903450187,6.73336060909163,5.41807701177156
3,6,3.62578844789187,6.84517791938107,5.42308773776181
4,6,3.74783381950997,6.62947439031169,5.87060345883574
5,6,3.76556114997655,6.4570143047997,5.58643475692859
1,7,4.30280394279687,6.817778945096,5.30139544910798
2,7,4.19175685420415,7.06574156772918,5.64649864522111
3,7,4.28814470123121,6.71160930922282,5.02452690152271
4,7,4.21470301799335,6.94239170616492,5.46916602192238
5,7,4.24835746884457,6.826584537542,5.05974900106076
1,8,4.34125984552404,6.64841213041147,5.51570568052913
2,8,4.37085946663826,6.84837056427117,5.77596945253189
3,8,4.43137868778874,6.81615416690818,5.70788807837207
4,8,4.40531895499651,6.81379032958286,5.69344662316371
5,8,4.38076732862142,6.78423877148508,5.63834079736966
1,9,4.09164203256215,7.00558992959532,5.89187609346721
2,9,4.07256824577654,6.94200725019919,5.76930697571507
3,9,4.12519103740284,6.91317383724882,5.7581425229021
4,9,4.17019760062817,7.0224710430286,5.89281725380879
5,9,4.03899689403743,6.91573250151572,5.8401279739799
1,10,4.89715231724391,6.61532800993219,5.43442526230864
2,10,4.84707056173795,6.75071390392946,5.60769813285016
3,10,4.83770077751058,6.73051230658018,5.4751207223755
4,10,4.92914024373324,6.96545715805918,5.89081252134523
5,10,4.92180845498091,6.70278210225078,5.50203486744979
1,11,4.56049118193405,7.16871315642208,5.82115139616734
2,11,4.69800379138497,6.86541149661582,5.3286630205242
3,11,4.72054977151304,6.89814173540099,5.64604722306787
4,11,4.69136748625372,6.86664214568264,5.71807219188793
5,11,4.72457149297948,6.99625187004957,5.63876732885994
1,12,4.54330269063853,7.06702215592219,5.37006697325242
2,12,4.51287196208378,7.03915860066695,5.49962688540304
3,12,4.51239149960013,7.07431034556064,5.34686849557021
4,12,4.53252817035525,7.0593294411205,5.67487522965223
5,12,4.4259731824008,7.15467861762129,5.50361363438935
1,13,3.93894614135282,6.94476860597223,5.64090603528767
2,13,3.87663390671398,6.96958049961991,5.40834034214015
3,13,3.94073475473098,7.10829230775719,6.08765152660591
4,13,3.93722840964922,6.99634788115626,5.78419778705432
5,13,3.93791002561057,6.99378475338977,5.82543904769506
1,14,4.10577761191329,6.84769614802631,5.29045581885342
2,14,4.07564514450939,6.91482189114294,5.3939609736592
3,14,3.96778449432965,7.05554401968793,5.24511249820917
4,14,4.08358089030035,6.91488688969665,5.62940494368797
5,14,4.04745519002473,6.94465004856599,5.56152554516926
1,15,4.34338660223996,6.52999397774089,5.79555254546263
2,15,4.24956500849104,6.45979828756468,5.45744240885483
3,15,4.32335800356356,6.56998647426905,5.84606023773851
4,15,4.27837803196273,6.59528040719176,5.85872318079437
5,15,4.30835851067084,6.51880566483381,5.67585093989038
1,16,3.99394635877536,7.02082602525584,5.59377375908226
2,16,3.95743318216197,7.04876526259774,5.57572548713244
3,16,4.01691781155232,7.00563926013129,5.55189031320797
4,16,3.98404259070326,6.94130774769873,5.42477098300414
5,16,3.97111496093787,7.00309602459498,5.46086959084894
1,17,4.19154499308776,6.9708485525873,5.37723475989009
2,17,4.22187938420766,6.83679604880261,5.46628856066598
3,17,4.26654264441277,6.80486199901604,5.5004381069048
4,17,4.23490782658443,6.93740560332278,5.5932011079896
5,17,4.21427660551069,7.0735935591199,6.01728193124192
1,18,4.30478367090933,6.83637635840677,6.48581937060452
2,18,4.28798833793076,6.75491623293392,5.90901176837537
3,18,4.3297769298895,6.42786430517446,5.56748117654255
4,18,4.34567056075153,6.55794278092625,6.18987121235247
