parameter,value,se_sa,rse_sa
logV1_pop,4.30253029219063,0.0294494517682297,0.684468202854548
logQ_pop,0.594071771132263,0.131330913026318,22.1069102098573
logV2_pop,3.88947021919517,0.0578265750906393,1.48674682750508
logVm_pop,7.14239211962037,0.0353611225772085,0.495087947916923
logKm_pop,6.20018243851247,0.0791866814827517,1.27716695868307
omega_logV1,0.284925915435172,0.0212113347153545,7.4445087534274
omega_logQ,0.979862794527534,0.143256968332655,14.6201048894534
omega_logV2,0.386443999165962,0.0541439048639452,14.0108023363801
omega_logVm,0.236036094240399,0.0219177321304676,9.28575445251384
omega_logKm,0.594908877719334,0.0626080405009983,10.5239714594637
b,0.207753137548505,0.0023222492181478,1.11779260980144
