id,eta_logka_SAEM,eta_logV_SAEM,eta_logVm_SAEM,eta_logKm_SAEM,eta_logka_mean,eta_logV_mean,eta_logVm_mean,eta_logKm_mean,eta_logka_mode,eta_logV_mode,eta_logVm_mode,eta_logKm_mode,eta_logka_sd,eta_logV_sd,eta_logVm_sd,eta_logKm_sd
36,-0.413513,-0.349657,0.0292883,0.381139,-0.351108,-0.345994,-0.00752863,0.448619,-0.409826,-0.348614,0.048198,0.537131,0.343181,0.0976161,0.255389,0.551705
37,-0.0998791,0.113002,0.219862,-0.179664,-0.0944148,0.130487,0.0778811,-0.458041,-0.122826,0.110295,0.145198,-0.322223,0.279174,0.0648701,0.124627,0.25518
38,-0.102823,0.113905,-0.0672637,-0.0961734,-0.0997097,0.109164,0.0601761,0.0698022,-0.108851,0.10792,-0.0391721,-0.0599768,0.28865,0.0818155,0.254956,0.34588
39,0.13972,-0.401727,-0.0326764,-0.704714,0.236891,-0.343934,-0.152661,-0.905892,0.172396,-0.401344,0.0287409,-0.62495,0.159312,0.0603869,0.0800111,0.143326
40,0.147682,-0.465769,-0.0763847,-0.0542156,0.165151,-0.454246,-0.201597,-0.39804,0.164948,-0.45911,-0.240129,-0.485519,0.256815,0.0587137,0.12135,0.313836
41,-0.165823,0.129859,-0.309748,0.706214,-0.248498,0.129427,-0.293888,0.730416,-0.257322,0.11085,-0.216966,0.797629,0.366061,0.100105,0.218832,0.331099
42,-0.353547,0.209488,0.246503,0.421384,-0.345696,0.252856,0.169828,0.486213,-0.372826,0.222196,0.271621,0.543997,0.343766,0.0912177,0.213103,0.514999
43,0.0728241,0.0289656,-0.0407145,-0.546845,0.0785958,0.0371104,-0.0640087,-0.597167,0.0751312,0.0166508,-0.0318555,-0.530262,0.225571,0.0768631,0.261056,0.375226
44,-0.0692827,0.0650599,0.0246727,0.124311,-0.139342,0.0248831,0.107831,0.113537,-0.148096,0.0174755,0.180615,0.263643,0.337947,0.106373,0.210498,0.56276
45,0.502368,-0.567328,-0.182014,0.292447,0.525318,-0.573809,-0.219369,0.205343,0.582456,-0.573535,-0.216349,0.231316,0.331683,0.0801305,0.137952,0.340375
46,-0.170845,0.303371,-0.243648,0.126479,-0.225566,0.298346,-0.238349,0.0789348,-0.229631,0.272358,-0.234645,0.00541128,0.347414,0.0948848,0.215104,0.645163
47,0.00378764,-0.0294132,0.470141,-0.466366,0.0882977,0.0330056,0.376439,-0.650858,0.0762533,0.00802264,0.424523,-0.561943,0.190611,0.0630518,0.0643542,0.121062
48,0.154363,-0.258826,-0.226876,0.108417,0.228917,-0.243906,-0.191557,0.226226,0.214441,-0.273908,-0.184327,0.126442,0.3502,0.0915545,0.1519,0.574197
49,-0.121772,-0.286938,-0.0584301,0.139386,-0.137104,-0.294549,-0.0219203,0.273512,-0.156176,-0.302824,0.00930683,0.247281,0.370051,0.0876858,0.184576,0.628937
50,-0.195986,-0.364021,0.0654418,0.637369,-0.177965,-0.365845,0.0215653,0.546966,-0.218268,-0.386729,-0.0418725,0.418983,0.301168,0.0708179,0.136099,0.274908
51,0.190145,-0.0551824,-0.0098243,0.316495,0.200037,-0.0523908,-0.00877888,0.274432,0.1855,-0.0824081,0.0734117,0.280727,0.318282,0.0840562,0.190489,0.51187
52,0.335316,-0.18532,-0.305778,0.168832,0.301106,-0.166315,-0.323502,0.166924,0.312263,-0.220969,-0.303172,0.131719,0.369322,0.134709,0.168569,0.48621
53,0.0306503,-0.0784598,-0.010106,0.565785,0.0681571,-0.0748894,-0.0622309,0.458532,0.0190388,-0.0884285,-0.00502821,0.567423,0.305331,0.0850883,0.153239,0.417202
54,0.295228,-0.0321019,0.549752,-0.232706,0.296659,-0.022863,0.383519,-0.432432,0.317721,-0.00224623,0.316375,-0.530075,0.190877,0.0605201,0.0853906,0.12055
55,-0.227876,-0.0622047,-0.0407774,0.07864,-0.201351,-0.028388,-0.0609661,0.112265,-0.284758,-0.105924,-0.0171108,-0.00825641,0.342236,0.148589,0.139179,0.647207
56,-0.220717,-0.153077,-0.246074,-0.616267,-0.194503,-0.159077,-0.167421,-0.491269,-0.279055,-0.156175,-0.2961,-0.686702,0.255107,0.07493,0.162232,0.254533
57,-0.165873,-0.446067,-0.0967158,1.02279,-0.0803964,-0.44203,-0.0951211,1.02638,-0.182675,-0.488926,-0.206144,0.776628,0.286507,0.0841233,0.208832,0.39137
58,0.0431423,0.11045,0.113702,0.247553,0.114318,0.109132,0.131069,0.323471,0.0831778,0.0979675,0.127523,0.275895,0.305487,0.08695,0.149762,0.380398
59,0.277914,0.0420302,0.176125,-0.499803,0.266064,0.0585535,0.101151,-0.613204,0.312886,0.085045,-0.0250286,-0.796384,0.225874,0.0634548,0.184229,0.250798
60,0.207465,0.179357,-0.157067,0.150328,0.169045,0.183681,-0.154692,0.154106,0.16423,0.151962,-0.135255,0.0885331,0.338614,0.0950664,0.15813,0.500907
61,0.10481,0.383025,0.167866,-0.0743149,0.157698,0.397031,0.364148,0.162635,0.109629,0.388601,0.0624959,-0.22518,0.255214,0.070421,0.164628,0.205955
62,0.0660481,-0.263092,-0.172279,0.546551,-0.021552,-0.271913,-0.142974,0.597767,0.0118409,-0.274119,-0.0954543,0.658007,0.420569,0.0858029,0.227902,0.621194
63,-0.161196,0.376289,-0.0600238,-0.0215613,-0.246774,0.36859,-0.0298216,0.0147384,-0.227903,0.379786,-0.0383447,0.0246687,0.375328,0.100611,0.209748,0.647669
64,0.362643,-0.235408,0.24155,-0.750277,0.39397,-0.203359,0.20574,-0.83624,0.35244,-0.230961,0.232558,-0.771716,0.170371,0.0705307,0.0692881,0.157597
65,0.229989,0.0625529,0.263282,0.122488,0.236778,0.0533745,0.257703,-0.0532872,0.213794,0.0282191,0.335102,0.0904819,0.245901,0.0981941,0.160262,0.524852
66,-0.0451593,-0.106737,-0.258051,0.812464,-0.092859,-0.0964629,-0.187781,0.928214,-0.055743,-0.101583,-0.180118,0.912753,0.346871,0.0862653,0.194663,0.264448
67,0.0984748,0.237792,-0.197539,-0.308457,0.0915654,0.267236,-0.152369,-0.203175,0.0770645,0.22714,-0.18167,-0.28561,0.276566,0.086216,0.162362,0.382033
68,-0.150282,-0.0927646,-0.267225,0.557825,-0.179019,-0.115258,-0.335424,0.265123,-0.153944,-0.130992,-0.295664,0.268111,0.342103,0.0944744,0.151972,0.49332
69,-0.281204,0.33302,0.0680959,0.418408,-0.14386,0.322768,0.0363777,0.257942,-0.254409,0.303475,0.0637888,0.299219,0.376557,0.0941687,0.204195,0.540032
70,0.102294,0.294204,0.00562345,-0.690271,0.101269,0.30164,0.000408686,-0.708362,0.149058,0.298718,-0.0631403,-0.847374,0.235189,0.0617022,0.101885,0.221226
71,-0.140724,-0.126431,0.0860531,-0.489587,-0.161792,-0.120218,0.14615,-0.425388,-0.154069,-0.130666,0.0994676,-0.473314,0.158976,0.0642151,0.194921,0.267596
72,0.0732101,0.185695,0.00415141,0.00281281,0.0391051,0.154967,0.0276101,-0.226793,0.0725082,0.138314,0.100257,-0.156655,0.363752,0.10909,0.199908,0.650726
73,-0.0797586,-0.140575,-0.0432352,0.697757,-0.131167,-0.175138,-0.0687229,0.599405,-0.12072,-0.169788,-0.115683,0.540822,0.284914,0.0835539,0.2358,0.457282
74,-0.323818,-0.300409,0.203401,-0.348584,-0.244668,-0.222977,-0.0107816,-0.683479,-0.228891,-0.229883,0.0253606,-0.625215,0.196555,0.0957375,0.208836,0.327679
75,0.0897108,0.335571,0.033796,0.0166258,0.0740332,0.336629,0.080751,0.185801,0.0811802,0.310209,0.0973492,-0.0747596,0.341356,0.110864,0.255144,0.703421
76,-0.0697886,0.185393,0.210289,0.069848,-0.0542715,0.181827,0.206161,0.0100624,-0.0924207,0.167529,0.212191,0.0514393,0.263096,0.0852186,0.150551,0.50968
