id,importanceSampling
1,554.696
2,316.571
3,511.018
4,396.999
5,469.854
6,440.666
7,443.556
8,490.130
9,342.994
10,348.828
11,461.859
12,526.831
13,425.235
14,503.405
15,523.038
16,524.394
17,409.937
18,489.480
19,431.110
20,590.810
21,318.403
22,342.958
23,464.566
24,550.835
25,513.015
26,462.215
27,456.795
28,336.442
29,542.386
30,369.083
31,470.499
32,484.077
33,467.960
34,541.622
35,542.913
36,483.387
37,458.018
38,362.898
39,387.588
40,551.572
41,480.448
42,529.070
43,326.958
44,428.630
45,493.248
46,346.959
47,471.122
48,412.405
49,417.646
50,431.902
51,510.314
52,504.900
53,370.080
54,378.031
55,495.189
56,573.355
57,576.242
58,315.143
59,477.770
60,548.598
61,328.641
62,470.313
63,514.756
64,479.106
65,521.988
66,309.057
67,454.080
68,567.505
69,442.604
70,418.642
71,523.934
72,427.803
73,489.728
74,338.222
75,518.948
76,529.858
77,326.528
78,441.894
79,466.835
80,512.848
81,494.387
82,532.582
83,524.166
84,491.621
85,320.011
86,461.305
87,324.807
88,443.688
89,452.644
90,352.747
91,511.688
92,537.989
93,501.467
94,385.411
95,592.402
96,436.495
97,565.636
98,458.444
99,340.218
100,465.647
101,355.076
102,468.460
103,453.747
104,520.734
105,467.967
106,500.506
107,406.767
108,488.287
109,550.159
110,347.600
111,587.521
112,512.291
113,544.192
114,522.489
115,444.221
116,531.433
117,491.312
118,362.099
119,431.215
120,308.091
