rep,id,logV1,logQ,logV2,logVm,logKm
1,1,4.43671848241045,1.4324051916494,4.29323358287913,6.679039536812,5.61631202050433
2,1,4.59840725740172,1.44489053422145,3.78913008600947,6.83232754381171,5.75690099215826
3,1,4.58755069175211,1.10414963967216,3.85797852180379,6.77718060025486,5.48044652655356
4,1,4.49633342246096,1.56961817767411,4.10947818333989,6.68439999538778,5.56743528348777
5,1,4.52869388769079,1.73738198991509,4.13666182503504,6.67927490448515,5.97598567790548
1,2,4.51087880547557,1.88853181485347,3.63016478309493,7.24407407752833,5.13242717892252
2,2,4.42175454405792,1.87985015551419,3.97967956855067,7.17051203748065,5.37260037930156
3,2,4.50626710627924,1.43584325542181,4.23799015191524,6.61804582609142,4.74069745035176
4,2,4.50739625092146,1.51590668995416,3.24131859527472,7.4392337875642,5.65186900749686
5,2,4.48037868744068,1.58279662264556,3.43542919363297,7.29958655362493,5.22757034810292
1,3,4.42054249115147,1.07602784250781,4.29884762157209,6.65874409942406,4.93674735151503
2,3,4.43436420653183,1.1375866118032,3.95741920920438,7.06720356856838,5.67237176808022
3,3,4.38984336615266,1.36978811727245,4.10609414965996,7.00947915101547,5.62488360418629
4,3,4.2644473334858,1.6070687108228,4.27938359605393,7.01668153152003,5.66172307156921
5,3,4.34108478994668,1.61985075959598,4.23365577372502,6.94728082097912,5.83904362747636
1,4,4.47811942857722,1.33703624427377,4.0831772911567,6.75054204400304,5.73776357642287
2,4,4.33681533669701,1.54014890858872,3.83320967324184,6.96038405484647,5.68953147614363
3,4,4.40674944905038,1.22084278854742,4.03829266019382,6.92718063937062,5.88794583920865
4,4,4.47882627058071,1.05369688883882,3.63586869859337,7.01645160600634,5.93798479027729
5,4,4.46444050250968,1.31062810220586,3.5210962021035,6.93173404900261,5.67627504156379
1,5,4.11029024956933,1.05832032971769,4.23761865120638,7.28059915201658,6.22852359235202
2,5,4.17515197969351,0.821659503830283,4.69327161276967,7.1748841531197,6.26039724112357
3,5,4.03757856913063,0.98279692198366,4.54129427286772,7.38703853830292,6.41655322851964
4,5,4.05581114774408,1.57977380603543,4.00999801182559,7.58684841446351,6.42841575011008
5,5,4.1158391093726,1.31351355929496,4.37549494462419,7.3652525637725,6.32270957672834
1,6,3.90079745975971,0.947925282115969,4.11466639708916,7.17805275494513,5.92021072249823
2,6,3.81007761597963,1.00655416306057,4.27785918320963,7.1345634248712,5.79601945317947
3,6,3.85148474645133,1.03987394825207,4.26746302423205,6.99503166116969,5.53387560526486
4,6,3.87156231679837,1.03370511677716,4.11335042873601,7.13872872339432,5.82045502897109
5,6,3.85751231073984,0.973907833082198,4.41522421174812,7.28596054843733,6.20989156411272
1,7,4.1872710988053,1.32210169250492,4.01522760869508,7.49418476948759,5.98786620694044
2,7,4.15856183660537,1.24759903909829,4.09673016238436,7.30927575819026,5.80634272784225
3,7,4.15962148085848,1.09088462748291,3.89569906295675,7.35831119315439,5.86004187862904
4,7,4.21416998892516,1.02169011814518,3.9166315729289,7.12777905051189,5.52598949856075
5,7,4.1490058039675,1.09792259120035,3.91485017264086,7.23036834914557,5.69814337930886
1,8,4.49210749866829,1.387591284171,3.32156617904269,7.17334797915944,5.57271099288994
2,8,4.55092353973379,1.09316346870029,3.87925857110447,7.13206381098412,5.53055855481669
3,8,4.47244408260985,1.31013910395796,3.40794162403253,7.03629119325392,5.39970132322102
4,8,4.54054504196166,0.574145172838371,3.64401455523664,7.12702397638917,5.54621915464184
5,8,4.40219607003289,1.60733141303036,3.4973767397547,7.03845726271028,5.39116278109123
1,9,4.3055673083638,1.01100284304722,3.59147095718698,7.04945596144074,5.92168908344576
2,9,4.40139600421248,1.63729184586115,2.87653141893406,7.12624001575081,5.82579217812631
3,9,4.3471170646071,0.667377524964174,3.69123971780869,6.94698588471136,5.58154295877203
4,9,4.44315071778485,1.20945044109654,3.48660510660757,7.05830066116368,5.83736814059464
5,9,4.36751280441527,0.41159973556295,3.91563118889287,6.84494575044007,5.66880905120581
1,10,4.8695655146335,1.56596799608087,3.83184490537795,6.5279408220329,5.45888583905873
2,10,4.74259662497732,1.29728998988609,4.22054359776868,6.61485721577616,5.61699099399384
3,10,4.82897059018611,0.566693350886514,3.48197374637307,6.96968169803284,5.65316456149236
4,10,4.78033845987852,1.50328873981689,3.77278704461743,7.08204262075557,6.04229809538372
5,10,4.86519891367458,1.13215105185942,3.87841350389129,6.81141270594106,5.67499476686358
1,11,4.70643195618417,1.38820425320765,3.89822236767882,7.05623610277342,5.53608929963197
2,11,4.85582224174129,1.52497855613823,3.5995737556795,6.91538997704029,5.36690972256154
3,11,4.7791753697137,1.30526513463745,3.94371370206398,7.18170957370599,5.66344174601839
4,11,4.81905643911923,1.3962814927812,3.79636319865623,7.10129410293325,5.54169803857235
5,11,4.73426426101801,1.68987168080483,3.99704330428216,7.49689938054852,6.06378527304348
1,12,4.3315618775212,1.30913572220757,4.22886359426567,7.04625320927583,5.45161607635357
