parameter,value,se_sa,rse_sa
logV1_pop,4.28436900540395,0.0288188285326307,0.672650476564485
logQ_pop,0.401779576443587,0.0638498689092324,15.891765697602
logV2_pop,4.01268576200659,0.0694923501356293,1.73181640071608
logVm_pop,7.00324673947441,0.0399048573836915,0.56980510423493
logKm_pop,6.27347328572838,0.126346888004594,2.01398622820348
omega_logV1,0.282368400690314,0.0211447715888464,7.488363264853
omega_logQ,0.32303982155807,0.0545622819119049,16.8902649985202
omega_logV2,0.376799484079159,0.098022817659071,26.0145838306079
omega_logVm,0.216579927217318,0.0290572130298022,13.4163924621906
omega_logKm,0.878841558333551,0.101928444723534,11.5980456041257
b,0.202126540681741,0.00224070124427581,1.10856359423076
