id,importanceSampling
1,787.372
2,455.040
3,744.167
4,546.762
5,652.403
6,615.931
7,630.818
8,699.974
9,481.463
10,496.024
11,658.728
12,741.346
13,598.957
14,715.638
15,747.984
16,755.865
17,600.513
18,696.866
19,622.287
20,831.947
21,465.439
22,492.522
23,670.603
24,801.295
25,736.820
26,658.405
27,661.162
28,476.342
29,785.976
30,518.035
31,683.166
32,696.611
33,662.455
34,777.767
35,783.223
36,703.233
37,652.855
38,515.441
39,542.023
40,744.721
41,698.926
42,754.259
43,485.389
44,612.709
45,713.385
46,514.935
47,654.660
48,580.620
49,604.010
50,625.265
51,754.456
52,718.569
53,515.512
54,516.397
55,714.598
56,805.105
57,817.513
58,453.352
59,701.145
60,788.313
61,461.651
62,664.713
63,710.533
64,684.513
65,758.586
66,440.820
67,664.213
68,825.734
69,636.534
70,595.120
71,740.253
72,607.340
73,688.635
74,476.749
75,746.496
76,769.284
77,476.272
78,630.569
79,666.271
80,723.709
81,715.930
82,756.943
83,751.756
84,710.510
85,451.395
86,654.347
87,460.797
88,637.878
89,644.995
90,491.142
91,747.861
92,785.698
93,719.301
94,527.161
95,847.983
96,624.549
97,812.246
98,660.132
99,494.379
100,686.910
101,501.540
102,663.913
103,646.590
104,767.771
105,657.784
106,712.602
107,569.412
108,695.002
109,780.642
110,498.483
111,831.587
112,717.848
113,798.925
114,756.392
115,634.578
116,753.078
117,716.621
118,508.942
119,625.946
120,437.410
