rep,id,logV,logVm,logKm,eta_logV,eta_logVm,eta_logKm
1,1,4.04187379393057,6.61595299626322,5.32541104580148,-0.137808777324585,-0.296676064610089,-0.238810202585767
1,2,4.21957123510358,6.76374142134884,5.78194159354717,0.0398886638484237,-0.148887639524467,0.217720345159924
1,3,4.25012502922854,6.7579441249666,5.62570916409574,0.0704424579733809,-0.154684935906706,0.0614879157084935
1,4,4.60413383717586,7.01547050776034,5.65993677726257,0.424451265920707,0.102841446887028,0.0957155288753189
1,5,3.82105433024388,6.87684649188952,5.82873352142601,-0.358628241011277,-0.0357825689837847,0.264512273038762
1,6,4.21470783635528,7.45435164542071,5.57295146485599,0.0350252651001259,0.541722584547405,0.00873021646874061
1,7,4.55555248965086,6.98868370807142,5.5378664326939,0.375869918395703,0.0760546471981067,-0.0263548156933444
1,8,3.91947202112018,7.26537549925944,5.21967724639863,-0.260210550134974,0.352746438386133,-0.344544001988621
1,9,3.92373583593437,7.06043773877757,5.34157321651295,-0.255946735320785,0.147808677904265,-0.222648031874298
1,10,4.1745844429115,6.80825325193066,5.01544586111826,-0.00509812834365775,-0.10437580894265,-0.548775387268985
1,11,4.14128268940907,7.05397523645488,5.977797733487,-0.0383998818460851,0.141346175581575,0.413576485099747
1,12,4.56287846010477,6.98534459628172,5.23690747920692,0.383195888849617,0.0727155354084132,-0.32731376918033
1,13,4.13003883381241,7.17572773235062,6.01741470117614,-0.0496437374427465,0.263098671477311,0.453193452788886
1,14,3.97587067777385,7.33301273598734,5.52277495338551,-0.203811893481308,0.420383675114028,-0.0414462950017391
1,15,4.40519140851853,7.02259349298725,4.97971375938055,0.225508837263375,0.109964432113942,-0.584507489006699
1,16,4.25159776157862,6.81115398011046,5.38930381208555,0.0719151903234634,-0.10147508076285,-0.174917436301699
1,17,4.01863315773336,6.49380377989912,5.61867382298777,-0.161049413521801,-0.41882528097419,0.0544525746005213
1,18,4.34786014551545,6.93813986720381,5.66484473393509,0.168177574260288,0.0255108063305025,0.100623485547839
1,19,4.36288307311851,7.487126622342,5.53682426354637,0.183200501863351,0.574497561468687,-0.0273969848408839
1,20,4.13636553795898,7.04724554729257,5.0173051759061,-0.0433170332961774,0.134616486419256,-0.546916072481145
1,21,3.8600219869881,7.10367536563795,5.37653850211547,-0.319660584267062,0.191046304764646,-0.187682746271779
1,22,3.70213169581758,7.12691333908139,5.60916598270477,-0.477550875437581,0.214284278208081,0.0449447343175251
1,23,4.6381000342137,6.44430890720716,5.5551602045273,0.45841746295854,-0.468320153666153,-0.00906104385994499
1,24,3.94145339645616,7.1645333049966,5.54434484553499,-0.238229174798996,0.251904244123295,-0.01987640285226
