id,importanceSampling
1,593.372
2,624.162
3,630.551
4,497.771
5,572.097
6,490.821
7,359.481
8,355.984
9,526.533
10,559.408
11,359.286
12,486.224
13,658.362
14,571.627
15,381.724
16,670.790
17,644.050
18,337.538
19,496.017
20,594.201
21,500.869
22,577.258
23,401.953
24,662.708
25,366.980
26,596.236
27,670.951
28,481.293
29,618.300
30,496.141
31,383.630
32,661.056
33,589.296
34,547.457
35,496.650
36,493.303
37,608.435
38,393.234
39,430.070
40,618.953
41,393.587
42,346.281
43,558.457
44,552.775
45,526.696
46,553.522
47,682.269
48,653.286
49,362.201
50,578.631
51,406.747
52,635.426
53,378.385
54,549.897
55,625.982
56,576.541
57,641.040
58,620.319
59,556.548
60,367.553
61,551.137
62,390.641
63,515.645
64,488.848
65,621.127
66,434.193
67,615.078
68,521.396
69,612.074
70,675.477
71,539.532
72,321.563
73,330.781
74,590.729
75,664.858
76,488.844
77,512.100
78,595.243
79,626.529
80,406.154
81,584.967
82,497.460
83,297.634
84,655.214
85,642.518
86,338.314
87,484.034
88,610.164
89,404.688
90,604.936
91,577.713
92,535.095
93,656.219
94,422.020
95,538.295
96,627.275
97,411.718
98,581.058
99,492.315
100,317.776
101,621.603
102,661.897
103,502.532
104,598.180
105,542.389
106,630.490
107,397.507
108,529.362
109,645.851
110,572.519
111,554.629
112,436.254
113,496.979
114,522.767
115,335.529
116,602.739
117,655.165
118,608.026
119,671.542
120,336.843
