rep,id,logka,logV1,logCl,logV2,logQ
1,1,-0.0955906922442041,4.43420424088515,0.897063818784698,3.91614093742153,1.39178436572748
2,1,-0.295836687348154,4.52781789565245,0.934982477667501,3.795534033178,1.40965757288629
3,1,0.0142248660075724,4.32040986712395,0.904938543814371,3.97288297163729,0.801858047123051
4,1,-0.00659210754441424,4.31629994200286,0.931208263069578,3.93183755797159,0.939593983901646
5,1,-0.0256185744240786,4.33561276839966,0.942219097465695,3.92818098968502,1.9342175695735
1,2,0.658354252895245,4.39245784289311,1.34858644702233,4.29743594297505,1.61217331760539
2,2,0.646180393364998,4.36563549904788,1.31227150585473,3.85005414997201,1.77539465785309
3,2,0.63548184768633,4.53586449546541,1.33525369044693,3.99129665626074,1.49339027248149
4,2,0.457175682323338,4.42145946528373,1.31059498418225,3.83252414015081,1.78237956944998
5,2,0.39374496369426,4.17588219385318,1.32357158349264,4.43480587570988,1.6413074683384
1,3,-0.400844027527023,4.36020306254748,1.0913833659779,4.08743489103247,0.106223695051182
2,3,-0.311977069901307,4.28042446014179,1.18342343343853,4.19970425824228,1.4686151263844
3,3,-0.472584740408825,4.28950604715501,1.17051089237128,3.97002957293096,0.818810306624063
4,3,-0.0308004416204407,4.46660277331639,1.13191461806084,4.39568829721167,0.684141888829643
5,3,-0.578644796636072,4.1067782780848,1.16071641587044,4.2627359297127,1.13820213549177
1,4,0.11767657980226,3.98362851652073,1.19590179029126,3.73733445898614,2.78109435256787
2,4,0.299910212978089,4.295936573464,1.19039698524443,3.51383384128785,2.72664381842904
3,4,-0.161579447199861,4.18457995703927,1.12025711716487,3.25816332362449,1.41954808870525
4,4,-0.161812736709126,4.03005515673729,1.16774562006449,3.5816509855951,2.2380405132957
5,4,0.502084690828116,4.15210985453046,1.18599441442818,3.55774393525068,2.73896173666864
1,5,-0.0365428870174498,4.56578828162021,0.965735936563979,3.41127949387343,0.885709381263378
2,5,-0.463135194754792,4.59381147205953,1.01788355983831,3.68008065510194,1.60472371688025
3,5,-0.256638488129774,4.28386445151538,0.968184296631179,4.07086144669279,0.842055526153841
4,5,-0.502402774230448,4.41705700297699,0.981456594192428,3.90373484475519,1.37119718189826
5,5,-0.392239094817108,4.46354208982556,0.958562521051665,3.63311824854656,1.01729506555591
1,6,0.536045716706805,3.76464269986042,0.955965176615591,3.68184114523197,0.765054133064335
2,6,0.173240534750885,3.84019686179919,0.979378612844683,4.01997937616048,1.08106404285294
3,6,0.217666987833563,3.69825380919966,1.02461982316226,3.75115397399914,1.53901265961116
4,6,0.566844737274205,4.01951421869407,1.01012232933348,3.78747454734045,0.549550435068531
5,6,0.378735047307978,4.09045362881152,0.978767173124883,3.73342962636884,0.916760786998492
1,7,-0.132511513822758,4.08139614067079,1.30887240147584,4.16655835801902,1.83089694084246
2,7,-0.258416150559619,4.12396334854287,1.23879925740049,4.29211266613372,1.50714945826842
