rep,id,eta_logka,eta_logV1,eta_logCl,eta_logV2,eta_logQ
1,1,-0.0255086431530091,0.209878927949935,-0.42964387234417,0.122991325202994,0.0309106928432502
2,1,-0.225754638256959,0.30349258271723,-0.391725213461368,0.0023844209594637,0.0487839000020613
3,1,0.0843069150987674,0.0960845541887344,-0.421769147314497,0.179733359418749,-0.559015625761178
4,1,0.0634899415467808,0.0919746290676352,-0.395499428059291,0.138687945753049,-0.421279688982584
5,1,0.0444634746671165,0.111287455464435,-0.384488593663174,0.135031377466483,0.573343896689267
1,2,0.72843630198644,0.1681325299579,0.0218787558934578,0.504286330756511,0.251299644721165
2,2,0.716262442456194,0.141310186112668,-0.0144361852741347,0.0569045377534744,0.414520984968863
3,2,0.705563896777525,0.311539182530195,0.0085459993180674,0.198147044042202,0.13251659959726
4,2,0.527257731414533,0.197134152348516,-0.0161127069466121,0.039374527932272,0.421505896565746
5,2,0.463827012785456,-0.0484431190820297,-0.00313610763622226,0.641656263491338,0.280433795454175
1,3,-0.330761978435828,0.135877749612262,-0.235324325150972,0.294285278813939,-1.25464997783305
2,3,-0.241895020810112,0.0560991472065729,-0.143284257690338,0.406554646023752,0.10774145350017
3,3,-0.40250269131763,0.065180734219798,-0.156196798757591,0.176879960712432,-0.542063366260166
4,3,0.0392816074707544,0.242277460381171,-0.194793073068025,0.602538684993131,-0.676731784054586
5,3,-0.508562747544877,-0.117547034850422,-0.165991275258426,0.469586317494161,-0.222671537392464
1,4,0.187758628893455,-0.24069679641449,-0.13080590083761,-0.0558151532323972,1.42022067968364
2,4,0.369992262069284,0.0716112605287799,-0.136310705884434,-0.279315770930687,1.36577014554481
3,4,-0.0914973981086662,-0.0397453558959519,-0.206450573963996,-0.534986288594049,0.0586744158210213
4,4,-0.0917306876179308,-0.194270156197934,-0.158962071064375,-0.21149862662344,0.87716684041147
5,4,0.572166739919312,-0.0722154584047581,-0.140713276700694,-0.235405676967855,1.37808806378441
1,5,0.033539162073745,0.341462968684998,-0.360971754564889,-0.38187011834511,-0.47516429162085
2,5,-0.393053145663597,0.369486159124315,-0.308824131290563,-0.113068957116597,0.243850043996026
3,5,-0.18655643903858,0.0595391385801681,-0.358523394497689,0.277711834474255,-0.518818146730388
4,5,-0.432320725139254,0.192731690041782,-0.34525109693644,0.110585232536658,0.0103235090140271
5,5,-0.322157045725913,0.239216776890346,-0.368145170077203,-0.160031363671975,-0.343578607328319
1,6,0.606127765798001,-0.459682613074793,-0.370742514513278,-0.111308466986565,-0.595819539819894
2,6,0.243322583842081,-0.384128451136028,-0.347329078284186,0.226829763941938,-0.279809630031286
