id,importanceSampling
1,519.984
2,426.866
3,344.094
4,551.514
5,518.278
6,372.595
7,532.933
8,483.169
9,506.212
10,555.676
11,458.178
12,426.281
13,405.349
14,542.138
15,364.190
16,320.592
17,526.198
18,353.578
19,467.141
20,440.091
21,521.773
22,484.133
23,458.987
24,359.199
25,505.778
26,347.290
27,518.566
28,424.038
29,541.647
30,454.899
31,324.426
32,453.663
33,453.007
34,354.158
35,528.400
36,486.317
37,502.224
38,564.097
39,430.160
40,369.538
41,341.008
42,509.788
43,443.551
44,305.840
45,462.214
46,479.760
47,482.269
48,510.721
49,434.772
50,476.203
51,544.568
52,320.478
53,383.355
54,491.968
55,489.962
56,435.617
57,494.025
58,412.214
59,361.812
60,503.758
61,513.662
62,547.389
63,325.067
64,449.992
65,331.250
66,372.335
67,488.946
68,525.498
69,424.809
70,454.293
71,513.488
72,410.438
73,429.920
74,564.057
75,333.756
76,380.135
77,505.222
78,539.687
79,346.661
80,461.784
81,494.128
82,551.731
83,573.102
84,310.902
85,478.440
86,327.387
87,430.254
88,335.737
89,489.299
90,602.491
91,577.275
92,466.310
93,359.775
94,304.984
95,410.697
96,422.059
97,440.181
98,376.536
99,432.570
100,333.923
101,510.972
102,474.436
103,484.364
104,507.011
105,503.318
106,478.862
107,443.641
108,455.754
109,349.250
110,556.042
111,359.068
112,517.891
113,346.209
114,390.715
115,505.289
116,433.842
117,439.940
118,513.184
119,463.490
120,560.737
