rep,id,eta_logka,eta_logV1,eta_logCl,eta_logV2,eta_logQ
1,1,-0.0237594383018548,-0.142853169806949,-0.327963030724078,0.460811671167977,0.687213911205219
2,1,0.0515115830906762,-0.0838359279899912,-0.392662121485787,0.407307480097264,0.29580535062281
3,1,0.0767426960262368,-0.0307025803519426,-0.411583305784178,0.514459149131914,0.0986462313189889
4,1,0.198732566462376,-0.0913454307759264,-0.388519329358769,0.429663999624621,0.54396158288516
5,1,0.191987580341138,-0.0127482727333773,-0.418838733655024,0.575546843269089,0.337454639580397
1,2,0.714544721027872,0.209417706428282,-0.0342451620959168,0.0566956082533901,0.341884453592848
2,2,0.828018519601687,0.30059105819964,-0.00971568696116661,0.264341874032515,0.380784589678578
3,2,0.28919893100837,-0.130723939538508,-0.0491972100393823,0.371363206802189,0.730801248053495
4,2,0.211122526801459,-0.234036083003423,-0.0808518492576679,0.607010454324172,1.05760701776153
5,2,0.437793352098899,-0.0208127206833741,-0.0228944862879273,0.374781812176181,0.688803293388738
1,3,-0.389738469887165,-0.0110807210388858,-0.194965437786528,0.153409031894383,-0.393162583898487
2,3,-0.391194987938362,0.0779627435771111,-0.179322737830972,0.146251270369048,-0.565105663951047
3,3,-0.402300090528499,0.127293543140706,-0.276242225606549,0.787572820061916,-0.647816833164392
4,3,-0.486059955494228,0.0473593154271695,-0.145181655031013,0.410272775636516,-0.026865983376848
5,3,-0.707672872256021,-0.0442773836431832,-0.207864900790973,0.242770672338907,-0.401191016072829
1,4,0.321460896298221,-0.0118414192134658,-0.173457068519756,-0.279109007100438,0.902870707830703
2,4,0.101856659050802,-0.0192125679014315,-0.218288387841825,-0.641395248425972,0.407754972862361
3,4,-0.227066239532825,-0.330366198617326,-0.201660619379402,0.00818075095581455,1.09209760300137
4,4,0.194569771640163,-0.136085550677544,-0.175431820496825,-0.243815514356492,0.726627961976
5,4,0.0645179579506011,-0.0735940494479527,-0.229644297454768,-0.331129501382736,0.342052647828865
1,5,-0.0860582488167945,0.38740985886892,-0.33403600241615,-0.0484304630342525,-0.399642441441898
2,5,-0.276275180765752,0.280111278322339,-0.374505070462698,-0.125402060397102,-0.109872257802334
3,5,-0.254416667468519,0.303216713143004,-0.303019837198058,0.303829642665165,0.151503502348826
4,5,-0.280944469849565,0.284141010064153,-0.307666279370595,0.0219105540612719,0.062621501357589
5,5,-0.245223142119331,0.302157756887431,-0.307022652631488,-0.124198670324795,-0.625133656077977
1,6,-0.0774199152036689,-0.574353043370415,-0.320171187911401,0.170568810611941,0.0649924681025512
