parameter,value,se_sa,rse_sa
logka_pop,-0.0255875051254467,0.0335736349246782,131.211053051395
logV1_pop,4.23565578409421,0.0328919143409548,0.776548332007311
logQ_pop,1.41351246195569,0.0675003324230316,4.77536167807395
logV2_pop,3.95966928412912,0.0345003967120818,0.871294904611452
logVm_pop,6.87652257944708,0.0293583790627019,0.426936416241107
logKm_pop,5.53147547188587,0.0369820864241561,0.668575439087099
omega_logka,0.289945228484767,0.0271411015202613,9.36076846723732
omega_logV1,0.328116225963671,0.0232736631601695,7.09311558482525
omega_logQ,0.433813117687946,0.0624243770369729,14.3896932784491
omega_logV2,0.258856892622459,0.0298849169340275,11.5449569958388
omega_logVm,0.281889056092161,0.0248153313981825,8.80322625581792
omega_logKm,0.310396781015519,0.0342961410171623,11.0491290872786
b,0.200511711139078,0.00182116943651728,0.908260882205573
