rep,id,eta_logV,eta_logCl
1,1,-0.129313058765409,0.0176994839583971
2,1,-0.0976164885839059,0.0302577517266423
3,1,-0.107190396711214,0.00490972863011714
4,1,-0.123444436010144,0.0116605520765447
5,1,-0.0586019118295028,0.0635069815545269
1,2,-0.215239740183582,-0.350898024709058
2,2,-0.210492143411761,-0.314270185405783
3,2,-0.221422253022367,-0.306946189003559
4,2,-0.204508215293665,-0.311274626086551
5,2,-0.138522688746437,-0.237310410427124
1,3,0.0252352506687172,-0.0786532932511641
2,3,-0.0388304417836154,-0.0562020566959126
3,3,-0.00701311658876134,-0.0468510814043443
4,3,-0.0870414692988935,-0.0791966458593899
5,3,0.0064350488801174,-0.0651605708666678
1,4,0.139769194610369,-0.14764571962111
2,4,0.205468437053739,-0.16065723367292
3,4,0.169984823339585,-0.145537397833805
4,4,0.122032180452951,-0.193014881237911
5,4,0.18072229160055,-0.127614938171003
1,5,-0.202986751250904,-0.112187647528221
2,5,-0.182310937922226,-0.145563244425135
3,5,-0.159477870793134,-0.132589041996688
4,5,-0.282931743203235,-0.198581126741584
5,5,-0.158697814797092,-0.0945126694912615
1,6,-0.226506226903472,0.101020639723002
2,6,-0.197203166723759,0.105593665878818
3,6,-0.187780878575662,0.111173855448062
4,6,-0.271973189995746,0.0979770858912344
5,6,-0.193939838245733,0.129730955111546
1,7,-0.117371748310838,-0.00876352123974788
2,7,-0.083652675643608,-0.0246467886099812
3,7,-0.0440625305504023,-0.0275187713976274
4,7,-0.12242570983258,-0.0440644773749044
5,7,-0.085827685934748,-0.0245722233148827
1,8,0.360297797994777,-0.27803958707048
2,8,0.260691374359703,-0.371690159997993
3,8,0.24988308773525,-0.373780225232368
4,8,0.203265533282936,-0.355451639001036
5,8,0.159256046318952,-0.375415019698027
1,9,-0.239909484101241,0.428555718256913
2,9,-0.236879793827988,0.442104603640458
3,9,-0.242256584499971,0.407820141565949
4,9,-0.180788860453212,0.48613042443649
5,9,-0.20533839450649,0.451856160449929
1,10,0.125681246338764,0.592543556990241
2,10,0.182181857789977,0.631081886797738
3,10,0.113173016640774,0.560594170784951
4,10,0.0966228839682028,0.566251502083215
5,10,0.199584734635797,0.642314773405688
1,11,-0.100232531200239,0.0470159643257738
2,11,-0.0903129996743402,0.0463909107301112
3,11,-0.0659883423724491,0.107119627846692
4,11,-0.0791444144720636,0.0669139185923193
5,11,-0.0658320850533587,0.0641145155692837
1,12,-0.176138123300372,0.523947287126386
2,12,-0.191582616397451,0.517043570521233
3,12,-0.203830100984705,0.506231258872694
4,12,-0.247280376990201,0.463299787923543
5,12,-0.166862716695826,0.54435214370305
1,13,0.0117630904431916,0.10389829657756
2,13,0.0986579695371032,0.154184871535856
3,13,0.0770253841039091,0.158947591603419
4,13,0.0584314905168959,0.107989258026371
5,13,0.102359088413545,0.146795536909466
1,14,0.143372538115492,0.493419306969267
2,14,0.0783488301384923,0.433206370407379
3,14,0.125651907468171,0.468628364559319
4,14,0.122799945858032,0.470623791408885
5,14,0.0497163258802688,0.428956357749471
1,15,0.38347694419589,-0.133068554033043
2,15,0.279803327119882,-0.121365163713975
3,15,0.329310557615926,-0.115469807456316
4,15,0.34538286301553,-0.132632844685793
5,15,0.371584051148987,-0.128003996195763
1,16,-0.428460109059188,0.197591252535832
2,16,-0.393585215373807,0.225093170207033
3,16,-0.418019598578393,0.194082139576653
4,16,-0.451323719741271,0.178692473595776
5,16,-0.445910939860271,0.182298360826549
1,17,0.208993835228176,-0.0249194267027684
2,17,0.183632583051345,-0.0608663947516495
3,17,0.243164022125224,-0.0353515532421287
4,17,0.277924558807157,0.0135455735859257
5,17,0.26680507973684,0.00820574051769317
1,18,-0.0642438108205571,0.126698360523466
2,18,-0.0662085089146923,0.141732196150168
3,18,-0.0387604699236161,0.116687887721843
4,18,-0.00517168205939209,0.175522354436902
5,18,-0.0278770164339946,0.165224823190905
1,19,0.0832213156328573,-0.0028433138484165
2,19,0.0116808772635068,-0.0419232467561363
3,19,0.0436557101429114,-0.0245705537886854
4,19,0.118052446852882,0.0124395218351906
5,19,0.106646374400082,0.00946123188793701
1,20,0.178817953258559,-0.234848893773538
2,20,0.255206233479779,-0.189139242507895
3,20,0.316236436091959,-0.209775559962633
4,20,0.322535054311606,-0.172380362152882
5,20,0.269467256749692,-0.169737707940032
1,21,0.607176799797984,0.312781442974996
2,21,0.675440720956366,0.31770490697759
3,21,0.63220805694121,0.310001831830356
4,21,0.638660119963173,0.325613810531441
5,21,0.645318327031375,0.31261483618343
1,22,0.0569894528138187,-0.11176689036039
2,22,0.0719256138116312,-0.118480690445627
3,22,0.0772049728604501,-0.0991047171807518
4,22,0.0308192041790754,-0.128498465981368
5,22,0.0583822090912481,-0.105900326365212
1,23,-0.273445195907029,-0.521363738958993
2,23,-0.300325272947668,-0.495924136211411
3,23,-0.27312170221507,-0.51154651818605
4,23,-0.239401289589407,-0.540707008527275
5,23,-0.21161786836702,-0.480256825355312
1,24,-0.499338928511984,-0.181206096230966
2,24,-0.552715847534809,-0.236476193304269
3,24,-0.549492690268837,-0.23808280260075
4,24,-0.544283561923124,-0.223889526194114
5,24,-0.564389272988639,-0.237730438961312
1,25,0.077900941386464,0.103090351761655
2,25,0.0841392823996758,0.123258822462332
3,25,0.0907050763224892,0.0953603335698001
4,25,0.0973462567244801,0.113865043324291
5,25,0.0733046050878662,0.0864742371508835
1,26,-0.0193367496054553,-0.126579822705046
2,26,-0.00772295548182178,-0.152112007793198
3,26,-0.0124596325537675,-0.107668141610113
4,26,-0.0364587697294813,-0.112836351914992
5,26,-0.0109259648880672,-0.11002741270852
1,27,0.159958181026564,-0.186473768441807
2,27,0.138341643410509,-0.205684301494608
3,27,0.143145171772077,-0.159163554731601
4,27,0.108854739173838,-0.229953483280015
5,27,0.143775387122476,-0.18450460160803
1,28,-0.139535552324702,-0.182344847322631
2,28,-0.186563467745164,-0.197924943823722
3,28,-0.225177364274189,-0.213777396951938
4,28,-0.200098258043183,-0.186858000805067
5,28,-0.161933319560674,-0.148936055454254
1,29,-0.201636848452363,0.0181748863768108
2,29,-0.153800904164643,0.072151198729133
3,29,-0.183195107768773,0.0558110088151052
4,29,-0.138696364777565,0.0558275995793467
5,29,-0.160252643800318,0.0615972910846981
1,30,0.0923272489954327,0.110439520085129
2,30,0.152657847350634,0.113387394607032
3,30,0.145247762781519,0.114342467197399
4,30,0.132851113541776,0.0666105260591684
5,30,0.06259490730577,0.0683255268713833
1,31,-0.127032080899171,0.203925122907438
2,31,-0.113047633635323,0.207496561611971
3,31,-0.170451466078701,0.173314286456786
4,31,-0.100730710740748,0.21257095149437
5,31,-0.111474572482789,0.187326834356226
1,32,-0.113271329813021,-0.204542001169825
2,32,-0.019127780257028,-0.171137202418812
3,32,-0.00464299602307737,-0.157172696595742
4,32,-0.0840126480840617,-0.191701353345408
5,32,-0.110982697918415,-0.194915868480121
1,33,-0.38719853239988,-0.371068096750901
2,33,-0.34629938037287,-0.364531555930348
3,33,-0.357758064329387,-0.388909160854003
4,33,-0.389727162701916,-0.394478018967088
5,33,-0.342557590259227,-0.33306187938516
1,34,0.360432566547421,-0.22497830433663
2,34,0.342306532985947,-0.182233634083392
3,34,0.378977778900143,-0.197619297104237
4,34,0.425943276235176,-0.169014739358133
5,34,0.335964611564619,-0.190609478489375
1,35,0.499519852028314,-0.373721187058898
2,35,0.606388393141487,-0.410971911099514
3,35,0.499593522374753,-0.434901328565059
4,35,0.521495645297049,-0.402974281065798
5,35,0.514226352085912,-0.413888379623247
1,36,-0.391316404446207,-0.162352215528257
2,36,-0.365418701976983,-0.146712726485122
3,36,-0.355166892241351,-0.123008084411579
