id,importanceSampling
1,679.565
2,433.478
3,518.783
4,784.468
5,590.054
6,598.143
7,735.825
8,516.388
9,799.228
10,647.042
11,411.312
12,634.290
13,744.899
14,682.119
15,613.820
16,500.631
17,486.685
18,686.765
19,768.634
20,694.810
21,568.092
22,474.857
23,642.099
24,823.683
25,611.750
26,707.793
27,640.244
28,433.391
29,576.676
30,672.556
31,783.048
32,503.126
33,567.605
34,500.090
35,521.799
36,683.954
37,687.214
38,613.425
39,805.753
40,671.382
41,713.047
42,671.975
43,467.163
44,802.669
45,570.057
46,669.061
47,409.801
48,515.629
49,560.276
50,566.594
51,801.360
52,627.666
53,688.917
54,509.272
55,505.738
56,732.514
57,717.194
58,647.838
59,655.687
60,658.004
61,707.089
62,559.050
63,518.223
64,458.885
65,747.223
66,702.340
67,756.337
68,660.832
69,473.600
70,620.670
71,374.775
72,622.429
73,652.504
74,805.188
75,634.543
76,618.112
77,811.735
78,505.100
79,614.430
80,523.101
81,716.170
82,795.133
83,599.475
84,795.220
85,626.690
86,472.484
87,476.325
88,624.446
89,771.896
90,537.355
91,683.737
92,435.168
93,737.666
94,651.249
95,528.952
96,619.594
97,691.577
98,700.297
99,559.488
100,732.133
101,596.526
102,685.856
103,493.326
104,527.800
105,627.848
106,778.777
107,661.400
108,568.493
109,446.360
110,479.669
111,760.136
112,719.302
113,734.120
114,699.139
115,588.823
116,660.833
117,496.128
118,772.181
119,429.549
120,618.738
