rep,id,eta_logV1,eta_logQ,eta_logV2,eta_logVm,eta_logKm
1,1,0.140372683120674,0.278478676209653,0.370702509783219,-0.298460794464158,0.719013370848567
2,1,0.228540767430178,-0.074033070298736,0.169150085606226,-0.000511126695085545,0.625555536932076
3,1,0.288995271782817,0.0215877373161398,-0.126265464751371,-0.10673459879222,0.365371490256642
4,1,0.262805490082613,0.156697512427318,-0.304911758598373,-0.295366125362422,-0.405593818955558
5,1,0.32245534845208,0.082121031413489,0.101618286975095,-0.20448509407847,0.326182920754681
1,2,0.188452849699392,0.398682791739921,-0.15530085798053,0.370494723836397,0.129502517958719
2,2,0.279239048712437,0.206982261633357,-0.158909891958837,-0.0766142796388374,-0.403104082908873
3,2,0.194191160143188,0.454633987476018,-0.063392626254985,0.0644764672276202,-0.396559015296996
4,2,0.238875044292438,0.22406596551307,0.493287800379101,-0.380593501782522,-0.546972937345123
5,2,0.240164428912529,0.0183050684296631,-0.747773196311037,0.327392471478154,0.153073291814826
1,3,0.17463876800628,-0.114626321651588,0.16524601047179,-0.0530668862133436,-0.579349697452191
2,3,0.0698151114869711,-0.195192065851466,0.3776626838965,-0.428542108739135,-0.933373162556774
3,3,0.069628876801897,-0.101467858988049,-0.149863880937343,0.0499794342560404,0.0331841358845806
4,3,0.0894031700570503,0.25448701139179,-0.150566372274893,0.159047140578854,-0.130670508677773
5,3,0.0436395253382074,0.105094656777809,0.167826312524601,0.0532803445918777,0.119308386255063
1,4,0.134409040967793,-0.304575350796456,0.430490628841939,-0.309893393029094,-0.218819428908444
2,4,0.125758619482067,0.385043821564422,-0.0960576283791306,-0.323335692908049,-0.469710564365403
3,4,0.00601648126433324,0.276681118641093,0.212346809249198,-0.372637085266038,-0.228392347857905
4,4,0.0279635333753559,0.0687714433126493,-0.0950936514446664,0.0358732365690396,0.255617930390644
5,4,0.245569492219066,-0.481556824907508,0.122920779715595,0.138788045878497,0.394163301163134
1,5,-0.245004739135921,0.154262890435128,0.181872713394973,-0.0748915919117886,0.0890173614516387
2,5,-0.166187333371255,-0.225748593141516,0.175082575232138,0.0299504838179455,0.31869617821317
3,5,-0.16954489546603,0.0791172231809504,0.0157008931345676,0.196337100542012,0.199202576599946
4,5,-0.233302278482014,-0.108927970094375,0.485125652591785,0.248148225831949,0.632601590476287
5,5,-0.178185455340049,-0.19950719575913,0.227656023911929,-0.191839827860579,-0.187812542077793
1,6,-0.321221159536859,-0.44800970927781,-0.0413256226884,0.551852233481545,0.740910369442926
2,6,-0.412956209578086,-0.1453533693934,0.117443942177223,0.194260221822206,0.165064900005016
3,6,-0.441734076087225,-0.0980596842163621,0.265882186122645,-0.178887021041512,-0.277280426368228
4,6,-0.429319220178868,-0.344566032132022,0.0692435659604731,0.0958195034753935,0.0799932715265627
5,6,-0.44793835799985,-0.107933820959903,0.14711901017756,0.162615574981006,0.28094595818095
1,7,0.040732212465009,-0.565503859963389,0.345151817728148,0.265122697266942,0.222513037108942
2,7,-0.0154594840058817,-0.293080897500356,0.445911687590058,0.247484629056396,0.0895864020744849
3,7,-0.157801074931642,-0.0542240014969467,0.173896988045568,-0.0232936511033758,-0.116557134242982
4,7,0.000402703998285429,-0.231032028764018,0.461202871550462,0.265346344318537,0.238747524629821
5,7,-0.116283062273065,-0.139128093159573,0.722427143917112,-0.154821245979868,-0.272442878463405
1,8,0.372605938063597,-0.132073576007196,-0.457463435529506,-0.0647902933140773,-0.364446818305349
2,8,0.221946824569797,0.0297598776027692,-0.603926478521217,-0.266674438885874,-0.450724572157982
3,8,0.264840796250339,-0.0369148020418698,0.161584782283427,-0.222050824449158,-0.634302090500505
4,8,0.384726961078821,-0.140837490373984,-0.665481161964035,-0.181606256254853,-0.627635102754761
5,8,0.327669303652709,-0.447085785490231,-0.173275968548469,-0.124811617701775,-0.317231680208935
1,9,0.0536406142859281,-0.539273195413396,0.106112239582837,-0.29190125922422,-0.334664893292968
2,9,0.108211518795203,-0.12782097565945,-0.12905189613496,-0.391938267604476,-0.383267111465177
3,9,0.1239054738774,0.506693650392692,-0.986359657878901,0.113255649939892,0.258389167261765
4,9,0.180354965235298,-0.256355255017152,-0.19875483331953,0.0648986063684985,-0.0786394194354912
5,9,0.283392215658666,0.0528595302714905,-0.488078222761698,-0.202895259205751,-0.425816572713951
1,10,0.456998943840758,-0.214702092988555,0.0805664676502992,-0.0438957502509742,0.406021595943386
2,10,0.544015353923609,0.309254169424566,0.0123210530881613,-0.189061123547912,0.643397199116607
3,10,0.426734986448924,0.0916809800044868,0.135554189799023,-0.256625387397807,0.131166764810068
4,10,0.429076251436913,-0.241934161396925,-0.273857061127768,-0.183487452949257,-0.0161581269507537
5,10,0.434401883956571,0.335504099623221,-0.272946578205953,0.164522090106828,0.576038865206913
1,11,0.534046400117783,0.350067650411358,0.254384888453434,-0.262032925738252,-0.445432435967665
2,11,0.482284760166908,0.142787862807446,0.480581991567223,0.156583409426465,0.00810833527035723
3,11,0.584982622965764,0.00965396541089697,-0.40897641963141,-0.0469212919790546,-0.275621110853936
4,11,0.532336027962845,0.0565769400924008,-0.232384132127218,0.428473135997308,0.171632613166806
5,11,0.694247839111933,-0.130712362438933,0.123990166470068,0.0113099698872829,-0.17437095955178
1,12,0.109466971999084,0.225541523985511,-0.0918585802219101,0.0568674946448327,-0.16322522208179
2,12,0.150225254113273,0.0566114562247728,0.728981884247114,-0.00338492401399191,-0.230627602986796
3,12,0.0715179165287097,0.111225592678513,0.783394942904371,0.061088386421351,0.36562170709884
4,12,0.12449657285702,0.111938740240601,0.480153007037592,-0.0152892549755054,-0.260086028218173
5,12,0.146917645778547,-0.35286610045895,-0.461168770107417,0.27550579937084,0.15149858225816
1,13,-0.218828771401552,-0.148426722119546,0.142191872379096,0.0699593980791716,-0.828989192226238
2,13,-0.182350741113048,0.189476381243073,-0.126882469168189,0.421779893037821,-0.0847157939632588
3,13,-0.248905169442771,0.233785905008353,0.262470189395661,0.0582821661041095,-0.966428220833301
4,13,-0.19931539775372,0.0714240481393399,0.255143287275688,-0.0504857094423337,-0.79983997823436
5,13,-0.158063956163101,0.359882527527416,-0.0306083278032624,0.206641253423553,-0.149633095398655
1,14,0.0670671465327172,0.432069318948859,-0.0693478042467846,-0.158251055015817,-0.784471123777887
2,14,0.0641860780818743,0.248020168090308,-0.216890763165658,0.178254374191558,-0.032668878997698
3,14,0.0508246475884804,-0.0410801439132973,-0.644970982884254,0.145346960753547,0.130060551230696
4,14,0.0578139858905536,0.319499680077038,0.314806114818196,-0.195441939029284,-0.479872229248766
5,14,0.0611008069868963,0.408440228095507,-0.0471889432348663,-0.0199917164523339,-0.0635661046186642
1,15,0.195713505509194,-0.20435234090518,-0.831999974934826,-0.00480702536750566,0.0599170840671377
2,15,0.270104444362105,-0.536009228694793,-0.125325730087333,-0.203748560456388,-0.0151810896042335
3,15,0.301712510306131,-0.238119207935658,0.146978057651003,-0.101613056228203,-0.00338890189101507
4,15,0.325380968221452,-0.338614400905324,-0.121350856441192,-0.215933763827563,0.00189605065001032
5,15,0.364405589468372,-0.0531211371777108,-0.0742557844298549,-0.259696699977605,-0.000436019932560441
1,16,0.160205461939125,-0.136736784453377,-0.367239699818908,-0.496061512930537,0.137383632384038
2,16,0.0489042692521346,0.301837396544594,-0.810017137923535,-0.176115846789891,-0.293840528322672
3,16,0.196522635479208,0.0221138100548312,-0.606225530089033,-0.119316612295219,-0.198782931074023
4,16,0.0925268817362166,0.423076817813587,-0.228528355506056,-0.0965600308170096,0.889229185905182
5,16,0.0281184858122532,-0.143384622084782,-0.431826190861287,-0.291722342618261,-0.116196161165098
1,17,-0.191025751109901,0.183183304016849,0.542617222072436,0.523869153221471,-0.436310050319592
2,17,-0.0456406595652706,-0.122096517584474,0.297971534461535,0.55865236436494,-0.228764156010742
3,17,-0.0154207949491554,-0.00393360889994658,0.393706031147108,0.437405210471439,-0.412606413690215
4,17,-0.0881031098166636,0.278944702439,0.390824612284372,0.461748670132758,-0.366604793625703
5,17,-0.148059086925307,0.457575082893982,0.322569545667376,0.634243147734398,-0.165217576807975
1,18,0.131258590516837,0.0302232462097651,-0.230785560646379,0.346372418116598,-0.178618202372383
2,18,0.0732914287115268,-0.22277613514553,-0.33857450586488,0.143690995778371,-0.310358570540093
3,18,0.179091453978887,-0.369934561719429,-0.433703945210155,0.0835321762558833,-0.460185006354444
4,18,0.0599511860210884,-0.173780103631647,-0.0270305957924284,0.0950072580725091,-0.383221572320966
5,18,0.022018697436438,0.00560454846521842,-0.598648879278697,-0.0498892147093591,-0.576848860930045
1,19,0.931026935914113,-0.198012177669979,-0.0396413583601718,-0.556459249258773,-0.731847576341147
2,19,0.879330716113911,0.663785638228288,0.247645283017714,0.114805334156817,0.319556217920399
3,19,0.938124164687731,-0.0203481218346209,0.65039154028271,0.0870098499937514,0.334147709537193
4,19,0.914010836698482,0.0158202976454821,0.337833611329359,0.11020551268028,0.593629339124822
5,19,0.918064727443818,0.202435980228144,-0.0274454029822128,-0.199130312399661,-0.345140774365142
1,20,-0.458409847330972,-0.385514239855851,0.200123174363471,0.0578160666013688,-0.018906830415405
2,20,-0.393509279201804,-0.492306197454132,0.0956110214631781,-0.130822561287192,-0.555153357982225
3,20,-0.359547263458735,-0.484991754515907,0.167216685361086,-0.193376501144543,-0.0970098118336066
4,20,-0.416407815320427,-0.167016987160196,-0.254941904512421,-0.0952705578427311,-0.766152799978231
5,20,-0.415937011459376,-0.782276385158878,0.227549691505243,-0.36106920660744,-0.922002706294326
1,21,0.124011877207942,-0.0593092695318,0.0852755152889135,0.237611411539171,0.105105463046389
2,21,-0.072666828725222,0.228018556984864,-0.0563451825638402,0.092475439227928,-0.0697577752531007
3,21,0.20275839707887,-0.569507317544429,-0.00890193859983561,-0.150395084227728,-0.589912295102274
4,21,-0.000963612521063105,0.211197861103725,0.0992229770022018,-0.1173373667665,-0.406280091810654
5,21,0.0105528414035544,0.186940294893654,-0.297194826809714,0.135721661263337,-0.140997887640558
1,22,0.436418265067137,0.0448560395885791,-0.690728430874416,-0.207013946823075,0.564071321805106
2,22,0.434827560042135,0.0193775379182186,-0.364106626509538,-0.569635493775884,-0.153568707760595
3,22,0.404264302070412,0.0015260647067753,0.089227018263657,-0.290324317382329,0.270060594960482
4,22,0.435259882751603,-0.144951228952377,0.0696257513258974,-0.294623792449288,1.19594129090568
5,22,0.376837306169234,-0.113959199393151,-0.149901070129203,-0.450049977572273,0.0579627241527604
1,23,-0.172049612994682,0.249298159798638,-0.0616275789568285,-0.192985955870356,0.0712333639901523
2,23,0.0120313358779228,-0.00459359480467895,-0.371763680249127,-0.541669085452541,-0.528309517557167
3,23,-0.145732432297208,-0.0839451865451,0.026530953625494,-0.147106692111095,0.015551951012482
4,23,-0.199746417127513,0.268891667538148,-0.0462935346634235,0.168654390990912,0.288153798414267
5,23,-0.163476540479629,0.148871258725854,0.0278144073578192,-0.248662516204414,-0.129793191098383
1,24,-0.136671113400466,-0.144536529799899,0.110781104828279,0.053257560350934,-0.193702922545669
