rep,id,eta_logV,eta_logVm,eta_logKm
1,1,-0.0068804197803818,0.0907763904186425,0.00835592254056781
2,1,-0.0747783641583033,-0.0390679613577862,-0.0708057094878834
3,1,-0.0829798212031563,0.12038339328219,0.212091665924564
4,1,-0.07344549750332,-0.191109940104391,-0.438063903589546
5,1,-0.104604266365958,0.0542064554341237,0.0288718857046068
1,2,-0.24409847230013,-0.350404672536,0.257167361646268
2,2,-0.182638776402619,-0.441764712308106,0.0103326618773491
3,2,-0.185242787314637,-0.0627188362073512,0.670185628936855
4,2,-0.194550850176271,-0.281546457660888,0.340313321555526
5,2,-0.192434606193207,-0.411558090018589,-0.544974795166152
1,3,-0.180023644094064,0.171570976357487,-0.087895462159855
2,3,-0.184706114902138,0.266710075359482,-0.0376085257545796
3,3,-0.182431717485719,0.198054261476688,-0.0718389945714836
4,3,-0.193795158503577,0.12925064488519,-0.129218714218866
5,3,-0.337421174671764,0.114811944671513,-0.0372602277546705
1,4,0.569733447609183,0.143562037093529,-0.0358778455599155
2,4,0.569821402666008,0.341111545915523,0.194234812170164
3,4,0.462933217760235,0.284137129374714,0.0524857893122975
4,4,0.665536002223176,0.0924822979532074,0.291551603310127
5,4,0.504590164370106,0.130499640084497,0.249835062657032
1,5,0.0974602116917739,0.0892108022958477,-0.361772727469199
2,5,0.131304070262191,0.136354116914345,-0.308201178341867
3,5,0.135665493298729,0.155454980091833,-0.343085462959203
4,5,0.140102042394166,0.327804819470097,-0.0248955959530571
5,5,0.102684809019087,0.280746576586525,-0.137803775214047
1,6,-0.383590081619437,-0.521284011119438,0.352225691109203
2,6,-0.452448621891116,-0.204308534736143,0.111066528737019
3,6,-0.536687835004665,-0.259339097568746,0.377006340871594
4,6,-0.489800881233016,-0.342982602564533,-0.0766546035150034
5,6,-0.506823693144237,-0.165318656908305,-0.104281112740768
1,7,-0.0253005249303676,-0.0122117344292239,-0.272602699942614
2,7,0.0357368919223258,0.0168798949436859,-0.183868915962635
3,7,0.0170861891342014,0.159385061942963,0.205878001624183
4,7,-0.081285457946031,0.125803994304979,0.0961933881901113
5,7,0.0148363380555548,0.0118747918234427,0.242640939860471
1,8,0.101892983955584,-0.364017080923059,-0.145202295043156
2,8,0.0794402533962512,-0.242072701828725,-0.063690527588438
3,8,0.0368346203026515,-0.203442301560423,0.0937319922494384
4,8,0.12719344533876,-0.314120482161665,0.0798172171882767
5,8,0.090995373551719,-0.358316605337555,-0.0777145280060303
1,9,-0.0718072502785247,-0.016480228720569,0.10781773727028
2,9,-0.225592272283663,-0.191742062379876,0.0739051411076839
3,9,-0.160022510953702,-0.0423399507798634,0.124806824395886
4,9,-0.271570604410152,0.105373585676847,0.414818733442504
5,9,-0.25355867829036,0.269752663509159,0.545097831460555
1,10,0.689327946636526,0.115560538898754,0.425796661638671
2,10,0.677080728249142,-0.201089412404233,0.036680395499732
3,10,0.640429489764979,-0.0340321794523869,0.381676359056809
4,10,0.639908281466818,-0.438697743748985,-0.208144037098482
5,10,0.508834733092581,-0.209730758939741,0.110678925372091
1,11,0.385134976152128,-0.272196955977921,0.0252979618979425
2,11,0.494194789672105,0.0120527191233044,0.114938572820567
3,11,0.36645559176809,0.0108090063504583,-0.0970478990783645
4,11,0.413990256280202,-0.0339437614178763,-0.174885098645346
5,11,0.464800908184261,-0.0703502942364278,0.0425835721269976
1,12,0.298339634143824,0.159822605819925,0.108262461159177
2,12,0.222477062867398,0.340203754829148,0.0752477233457587
3,12,0.154570174367303,0.0199869018556296,-0.0664271868889208
4,12,0.234089730210989,-0.180221215513024,-0.568310451082816
5,12,0.205492037098449,0.100345695422227,0.346762845074651
1,13,-0.358560522595108,-0.117647029036448,-0.0612528389828181
2,13,-0.343614414524285,-0.132326957228402,-0.219072460570372
3,13,-0.403106181935236,0.0668676489410455,0.263441504445135
4,13,-0.330257727427766,-0.198311526875399,-0.115202597945256
5,13,-0.417986364136197,0.165833075863558,0.493797041328689
1,14,-0.119245278295005,-0.0883308329756058,0.0107600877679339
2,14,-0.213611331384822,0.0556653841302507,-0.24133949101764
3,14,-0.197194769048739,0.0120317768844945,-0.0483396267585552
4,14,-0.186985231786147,-0.0813547300284863,-0.237147471533345
5,14,-0.163224676013279,-0.100991783053321,-0.0390685718743263
