parameter,value,se_sa,rse_sa
logV1_pop,4.25448936826804,0.0273734817676225,0.643402283991744
logQ_pop,1.35979512339705,0.0531078764220343,3.90557926765909
logV2_pop,3.94390057841474,0.0454767613707293,1.15309096835826
logVm_pop,6.81085097865524,0.0421305518757802,0.618579851589979
logKm_pop,5.34965787229128,0.0538602757765283,1.00679851052717
omega_logV1,0.286730446844606,0.0192467313590563,6.71248260199135
omega_logQ,0.340454879217126,0.0545052079165315,16.0095246811754
omega_logV2,0.345551516499165,0.0436301109199747,12.626224697839
omega_logVm,0.283802990164632,0.0240533585592731,8.47537178706957
omega_logKm,0.267204328952188,0.0497778877590728,18.6291471976787
b,0.192748011239064,0.00320414408077537,1.66234871124107
