id,importanceSampling
1,245.062
2,172.038
3,212.186
4,202.523
5,176.685
6,218.382
7,255.326
8,130.856
9,190.762
10,188.622
11,140.328
12,242.862
13,130.967
14,246.894
15,193.959
16,234.291
17,189.714
18,206.742
19,237.315
20,207.212
21,238.145
22,190.717
23,139.216
24,155.847
25,251.273
26,217.474
27,233.761
28,237.356
29,182.494
30,142.384
31,205.472
32,139.671
33,168.902
34,224.854
35,245.711
36,141.238
37,169.152
38,199.902
39,141.860
40,207.741
41,157.714
42,203.568
43,199.456
44,146.917
45,183.373
46,283.872
47,244.412
48,206.568
49,153.467
50,243.093
51,191.956
52,228.669
53,196.796
54,198.066
55,138.390
56,186.312
57,218.622
58,222.099
59,199.849
60,181.285
61,239.058
62,205.642
63,153.036
64,134.399
65,184.474
66,204.619
67,177.721
68,125.922
69,144.710
70,243.935
71,212.300
72,236.632
73,131.812
74,244.922
75,175.074
76,229.100
77,239.092
78,232.924
79,215.121
80,138.676
81,225.054
82,143.924
83,174.393
84,239.381
85,231.674
86,183.013
87,218.729
88,142.362
89,204.517
90,222.576
91,197.608
92,158.209
93,192.675
94,242.024
95,263.054
96,161.290
97,208.198
98,214.711
99,137.609
100,197.877
101,270.386
102,224.853
103,154.953
104,237.357
105,219.766
106,145.936
107,205.185
108,259.601
109,183.935
110,196.294
111,254.753
112,150.775
113,141.539
114,208.290
115,209.230
116,267.430
117,185.462
118,229.821
119,177.314
120,141.509
