id,importanceSampling
1,747.958
2,615.549
3,488.457
4,799.496
5,722.261
6,524.452
7,783.312
8,670.319
9,707.587
10,793.129
11,664.709
12,600.864
13,576.168
14,779.239
15,504.822
16,456.211
17,754.895
18,493.262
19,665.140
20,617.618
21,748.309
22,666.923
23,657.989
24,504.175
25,722.472
26,498.198
27,751.538
28,593.673
29,769.738
30,636.227
31,470.058
32,652.460
33,646.425
34,509.811
35,760.902
36,699.320
37,724.732
38,802.117
39,604.245
40,510.843
41,473.575
42,744.536
43,642.010
44,437.547
45,657.925
46,671.771
47,697.123
48,761.976
49,624.305
50,688.320
51,783.589
52,454.528
53,518.130
54,699.020
55,699.485
56,619.897
57,712.135
58,589.043
59,499.621
60,709.054
61,708.727
62,779.090
63,459.832
64,647.561
65,458.917
66,526.688
67,696.050
68,744.974
69,640.071
70,635.497
71,737.441
72,592.846
73,606.919
74,812.670
75,464.310
76,557.312
77,723.213
78,762.391
79,500.207
80,663.732
81,707.779
82,777.229
83,806.134
84,447.037
85,679.119
86,546.169
87,615.273
88,489.521
89,705.704
90,862.011
91,829.708
92,666.717
93,513.731
94,432.071
95,578.702
96,605.304
97,627.152
98,536.502
99,612.344
100,472.709
101,730.750
102,673.649
103,701.541
104,731.675
105,734.118
106,690.231
107,636.426
108,633.419
109,505.470
110,796.442
111,496.434
112,738.048
113,493.773
114,540.853
115,725.439
116,610.719
117,635.269
118,738.665
119,653.704
120,801.723
