parameter,value,se_sa,rse_sa
logka_pop,-0.011698636740467,0.0350516200433167,299.621407356541
logV1_pop,4.23918905429094,0.0346655662947514,0.81774051241387
logQ_pop,1.39539075597117,0.0736094001676935,5.27518186950168
logV2_pop,3.97535620961774,0.0467391641654419,1.17572266989217
logVm_pop,6.98281852090167,0.0394231336168061,0.564573366740105
logKm_pop,5.70332818619382,0.0666814586892939,1.16916748453493
omega_logka,0.283482500174247,0.0296129481758223,10.446129181738
omega_logV1,0.335879275151605,0.0244623665087359,7.28308303562179
omega_logQ,0.442099276330596,0.0756950612690453,17.1217338099512
omega_logV2,0.289081085160649,0.0449282960587895,15.5417626282334
omega_logVm,0.197640616294929,0.0270140896730346,13.6682885225994
omega_logKm,0.404404962316037,0.0427314027697165,10.5664882361959
b,0.20093556679563,0.00343276157515948,1.70838922640855
