parameter,value,se_sa,rse_sa
logka_pop,-0.0203261445497723,0.055971077651866,275.364949387281
logV1_pop,4.28917940006727,0.0335973645893929,0.783305183944183
logQ_pop,0.734955650367489,0.0943680556891819,12.839966009105
logV2_pop,3.7342055890715,0.0662973995042875,1.77540839471488
logVm_pop,7.2611889873046,0.0376876116072214,0.519028105081883
logKm_pop,6.51949477294008,0.0908480299991362,1.39348267255634
omega_logka,0.382296636532108,0.0529699181114928,13.8557112591923
omega_logV1,0.303727950155377,0.0242546195491735,7.98563962808349
omega_logQ,0.351475638664878,0.0728523121010949,20.7275566459835
omega_logV2,0.354113465774171,0.0614717542291978,17.3593382264656
omega_logVm,0.229743907433973,0.0279170656365028,12.1513845343324
omega_logKm,0.563809720844093,0.0592102281214935,10.5018104393178
b,0.201642362915713,0.00225329522338494,1.11747114584589
