parameter,value,se_sa,rse_sa
logka_pop,-0.0701789243524594,0.0363162753903573,51.7481219973765
logV1_pop,4.21556299617305,0.0280029798058045,0.664276155550896
logCl_pop,1.34306078166805,0.0289618386312809,2.15640565390577
logV2_pop,3.8838388763329,0.034663493430439,0.892505959546088
logQ_pop,1.401732700563,0.073085213158823,5.21391939629208
omega_logka,0.33591989039265,0.0299623912722937,8.91950495615821
omega_logV1,0.26969779500924,0.0216764589217931,8.0373141059794
omega_logCl,0.315560384597311,0.0205517985869066,6.51279425113294
omega_logV2,0.296352249868016,0.0278389850318398,9.39388347624769
omega_logQ,0.573312361545093,0.0521351597220389,9.09367444677682
b,0.199434805405436,0.00181512686926636,0.910135452824467
