id,importanceSampling
1,543.971
2,382.569
3,472.149
4,428.348
5,433.681
6,443.936
7,508.945
8,286.758
9,421.362
10,402.501
11,344.414
12,524.806
13,283.396
14,575.325
15,398.883
16,505.720
17,435.206
18,450.149
19,561.759
20,470.697
21,535.389
22,442.762
23,324.726
24,352.162
25,554.816
26,471.856
27,498.540
28,543.105
29,369.409
30,337.823
31,407.286
32,339.048
33,381.926
34,508.700
35,551.232
36,342.191
37,396.656
38,431.368
39,370.809
40,446.597
41,341.751
42,454.554
43,447.862
44,346.387
45,416.379
46,596.438
47,523.942
48,466.559
49,367.898
50,523.416
51,416.929
52,507.866
53,460.304
54,428.601
55,309.628
56,411.575
57,514.787
58,484.555
59,454.439
60,429.290
61,517.041
62,451.228
63,320.492
64,303.474
65,444.366
66,451.892
67,426.098
68,282.096
69,354.930
70,533.767
71,455.346
72,534.920
73,294.738
74,514.244
75,419.569
76,511.385
77,541.232
78,514.612
79,446.511
80,310.410
81,483.887
82,331.251
83,402.800
84,497.009
85,502.641
86,446.657
87,462.618
88,306.958
89,416.875
90,484.476
91,415.893
92,325.610
93,456.311
94,538.341
95,542.601
96,375.968
97,446.840
98,434.078
99,326.940
100,424.539
101,550.342
102,486.003
103,405.446
104,497.508
105,500.201
106,343.450
107,491.931
108,587.080
109,396.544
110,460.889
111,560.268
112,332.302
113,354.666
114,444.854
115,495.537
116,537.815
117,439.205
118,563.309
119,409.361
120,317.145
