id,importanceSampling
1,833.368
2,894.585
3,702.375
4,528.729
5,955.463
6,571.058
7,748.897
8,421.639
9,627.402
10,485.284
11,681.883
12,779.494
13,798.063
14,912.968
15,457.756
16,902.778
17,863.151
18,779.444
19,557.990
20,590.671
21,472.151
22,963.734
23,876.313
24,496.419
25,969.727
26,882.433
27,599.959
28,637.392
29,654.279
30,802.373
31,469.874
32,757.272
33,942.073
34,837.001
35,637.688
36,901.965
37,581.568
38,516.368
39,817.778
40,505.387
41,500.879
42,659.383
43,785.160
44,874.057
45,569.646
46,931.852
47,808.501
48,662.470
49,965.900
50,514.722
51,821.626
52,835.459
53,644.055
54,798.386
55,546.511
56,703.391
57,936.581
58,577.208
59,591.658
60,640.561
61,651.624
62,945.840
63,783.915
64,780.518
65,527.051
66,844.948
67,679.957
68,529.772
69,914.188
70,933.039
71,773.793
72,707.195
73,837.040
74,516.682
75,497.680
76,671.555
77,664.391
78,789.434
79,888.203
80,1044.211
81,522.425
82,599.293
83,709.172
84,833.881
85,780.158
86,898.981
87,818.927
88,749.603
89,664.446
90,528.004
91,871.533
92,610.365
93,858.638
94,906.919
95,526.278
96,737.677
97,748.357
98,754.377
99,940.355
100,581.857
101,943.231
102,570.046
103,481.343
104,797.253
105,827.734
106,541.324
107,774.645
108,481.711
109,889.752
110,762.700
111,679.012
112,952.435
113,792.252
114,538.911
115,637.007
116,886.574
117,586.830
118,633.973
119,978.736
120,804.193
