rep,id,eta_logka,eta_logV,eta_logCl
1,1,0.21438219691288,-0.356689395325849,-0.164699846559915
1,2,-0.375792714867739,0.172871098160448,-0.341022250196766
1,3,0.423134315280531,0.0254901383409063,0.366088252191849
1,4,-0.496804946457702,0.2835581329463,-0.0841108055797228
1,5,-0.282868161449459,0.40312596610236,-0.0317689580591993
1,6,0.379750701338003,0.00712000300643467,0.0489715890060827
1,7,0.265224365730619,-0.106701925707593,-0.331640883947426
1,8,0.149089106522967,-0.157055963080616,-0.17437328307122
1,9,0.0525130156512433,0.876131203450615,-0.0687617870779895
1,10,-0.792015804216539,0.367983461074838,0.074040946528716
1,11,1.06459216076472,-0.255260176680781,0.32558597049828
1,12,0.242962435603171,0.377639397879075,0.445697360301466
1,13,-0.0409747144384201,-0.122956979287183,-0.679770548376285
1,14,-0.541601023455278,-0.234820441046139,0.274680593822483
1,15,0.145571325027294,-0.37885945502132,0.205128379203035
1,16,0.26637636309091,-0.23725130506727,0.374283975835468
1,17,0.191998383417158,-0.0864855349604019,0.616726919073979
1,18,0.0633163221276686,0.341616177446078,0.0160850469449525
1,19,-0.502716472361304,-0.43517151225279,0.396732959529564
1,20,0.412697484462365,0.0725548948419661,0.0184407742614305
1,21,-0.299487599842034,0.392202216405967,0.156491746610492
1,22,0.179445863635555,0.0872475665729393,0.413710831612584
1,23,0.632006280517464,-0.338716191288179,0.315080290765573
1,24,0.0995784711281187,0.337510608452747,0.277078060413255
1,25,-0.663794669187801,-0.548202529652709,-0.611183284451656
1,26,0.0983703988673221,0.353333271810187,-0.198240470260572
1,27,-0.0428920994508208,-0.0431710075612681,-0.0961583019739789
1,28,0.154464984584423,-0.160222152713757,-0.295210569415256
1,29,0.170929059322158,0.467573700691108,-0.343601622816834
1,30,0.719541355755063,0.00914296782259783,-0.0882564432788502
1,31,-0.665405752428153,0.0733620959585606,-0.00331944855338562
1,32,0.342307185979781,-0.140336310851858,-0.210730122889056
1,33,0.517222339902013,0.44348531997801,-0.135518421122611
1,34,0.50629871299855,0.251719111735135,0.314143848263467
1,35,-0.680512310343463,-0.266272006424369,-0.374707703438813
1,36,0.600996350379981,-0.167551876813251,0.411099333252774
1,37,-0.258539666659145,0.222057563644587,0.0892504205816624
1,38,-0.0838482256800409,-0.0123415739209811,-0.214209610498809
1,39,-0.606521832092853,0.285584283948563,-0.431392945796844
1,40,0.18069742931907,-0.445031846434722,-0.232754664898947
1,41,0.145257919968798,0.161665120440982,-0.0933334344785568
1,42,-0.205012881967494,-0.0798711683957913,-0.38163090820295
1,43,0.516589336151426,-0.417318596508116,-0.165969040123061
1,44,0.0990759335305404,0.558677699086529,-0.0385416957406908
1,45,-0.413689971713908,-0.00351629169119327,0.453272390297393
1,46,0.605417246843458,-0.179774361070235,0.243116674564977
1,47,0.486014672323711,-0.347035602775343,0.338422197561054
1,48,0.296454913489614,0.25772519491713,0.0401366372773218
1,49,-0.293241575983089,-0.227338116101173,-0.31524298272975
1,50,-0.205219876669801,0.303526948023279,0.103488367261089
1,51,-0.131058809322286,-0.0552026452223613,0.000287601410367877
1,52,0.236085484784403,-0.397107379398385,0.0966644976995064
1,53,-0.00988012891095778,0.00815625183335467,0.153005148017996
1,54,0.32324764968497,-0.161744110417545,0.241476726384722
1,55,0.656979977131689,-0.259534615108021,-0.295651690749191
1,56,0.182361116660103,-0.242430977599529,0.160415790500284
1,57,-0.0286752356494982,-0.49704507994548,0.021503338011029
1,58,-0.0315782809950709,0.450258557985492,0.426539017250741
1,59,0.319379497232265,0.0702346900112643,-0.00990664801425178
1,60,0.222212842346032,0.103663915841465,0.329458499139524
1,61,0.234763394764297,-0.080350484855245,0.0335516879886715
1,62,0.250046796689551,0.376119417257549,0.0185719493221048
1,63,-0.333429384813032,-0.557757451525971,-0.22792222977522
1,64,0.451667174167566,0.60847293011183,-0.256392116015834
1,65,-0.566289102022814,0.0271179748897534,0.371481022252964
1,66,0.836318697564798,0.338979822478246,-0.11648032669384
1,67,0.340999484275874,-0.632471139365369,0.45933385307825
1,68,-0.784360458906431,0.34347631395247,-0.0271245458556244
1,69,0.792703905662896,-0.595314701462483,-0.0724384595560377
1,70,0.269608755574083,-0.222182010220659,-0.530289406122439
1,71,-0.519161086713214,0.45343218490221,-0.38613512961391
1,72,-0.450232541585462,0.391877331643007,-0.0686644235901379
1,73,-0.756751999559525,-0.13817811941749,0.166403476963258
1,74,0.555410583049143,0.739937903364311,-0.450357557315874
1,75,0.0420705384893175,0.345135431747349,0.0203786522479987
1,76,0.447323941841886,0.224503966139744,0.040180079786035
1,77,-0.216075157257748,0.367114999515007,-0.141808385191074
1,78,0.0843209257707194,0.0654896141125487,0.201998080056561
1,79,0.55612522837761,0.0852446203556898,-0.327718883015314
1,80,0.468533056397219,0.402639576129896,0.289891554358489
1,81,-0.204937211867648,-0.110364352331941,-0.471266292397419
1,82,-0.199561541787778,0.102656443093559,0.428967825901327
1,83,-0.120779540457735,0.0827300171544012,0.182952958634726
1,84,-0.0214923196778697,0.272678477646433,-0.320908530925393
1,85,-0.498655254008792,0.690341878731044,0.360844253591586
1,86,-0.0527184519036965,-0.158761785846815,-0.216297996386729
1,87,0.962504019480629,0.397123248466348,-0.149169683889139
1,88,-0.490835515727183,-0.0397875078579251,0.133689092871933
