rep,id,eta_logka,eta_logV1,eta_logCl,eta_logV2,eta_logQ
1,1,-0.0375189419179227,-0.197530319054091,-0.377126424751964,0.127107188663226,0.0319242903372747
2,1,0.220705654129607,-0.0210868876208542,-0.426032693059423,0.239313477325197,-0.113397161346591
3,1,-0.0273167708368792,-0.236883843001239,-0.416314626213436,0.119004668697022,0.0132663733204237
4,1,0.225468894733978,0.007719725996087,-0.414804505356573,0.361102910134814,0.217105701982897
5,1,0.175848477393147,-0.168459530861247,-0.282045207139452,0.306036575336293,0.435210193800403
1,2,0.744093551990299,0.27951414381001,-0.184618548303188,0.176465781513847,0.030921877233112
2,2,0.390051181117211,-0.0758283803925696,-0.173732101096584,0.0833787320171647,0.592646616566722
3,2,0.583756863879417,-0.0193190715197329,-0.330238128038724,0.304117016844621,0.426569866705297
4,2,0.162033435786686,-0.226183262253137,-0.22263011118597,0.321884738971165,0.624866152006512
5,2,0.236143932855002,-0.161574850747176,-0.195480686591536,0.707216119732719,0.792155055150471
1,3,-0.350713633157015,0.130591474367394,-0.155903849043921,-0.261631413131819,0.388545357741987
2,3,-0.505081584290141,0.172253154743905,-0.316076414997879,0.43811832480053,-0.760354861182004
3,3,-0.569971137351279,-0.00657902459283502,-0.163024431822252,0.346756404011788,0.210137907023741
4,3,-0.666861496465447,-0.0200342129495407,-0.186963177769234,0.171597575385648,-0.152740833776317
5,3,-0.31252836910739,0.177516178081693,-0.166662161527815,-0.0847565908695069,-0.455325734979752
1,4,-0.130260188907352,-0.231615918116233,-0.359983018894732,-0.0812234788335405,0.14942389901601
2,4,-0.528000683321134,-0.47771432060975,-0.266627265332269,0.211154638826962,0.324287067960629
3,4,0.0368204581865756,-0.218136428890571,-0.237295421320971,-0.0426927239294773,0.485967477265107
4,4,-0.0442719380183014,-0.233392634522907,-0.463421151701603,0.104072381149605,-0.0349089732952854
5,4,0.0555161565257255,-0.12413416827212,-0.244514488180205,-0.492782568163488,0.17921028739876
1,5,-0.50456361549613,0.0857275244528966,-0.319801604001368,-0.296433652349327,0.675101483441081
2,5,-0.212321634698337,0.288925394509539,-0.118836558813509,0.0942557980459927,0.703131115497592
3,5,-0.488309092136589,0.052392296566484,-0.265066693865834,-0.00962356830932647,0.62076994716265
4,5,-0.145353612729915,0.320325608187767,-0.307368417133727,-0.0231310649517336,-0.293373232087725
5,5,0.021105582917291,0.530763473420916,-0.242432094795202,-0.818202541368845,-0.371912406900992
1,6,-0.622361711942997,-0.847211065761293,-0.288898023544483,-0.17192614965589,-0.0123198042168425
2,6,0.264483982402741,-0.143812214218392,-0.289164243158708,0.101022398644239,-0.666310596228316
3,6,0.129119526653199,-0.267457953453946,-0.276456514371586,-0.0556886232617695,-0.223498846619477
4,6,-0.295965150352518,-0.623331206691191,-0.233550730250554,0.200479380484246,0.274605597454781
5,6,0.160897685215641,-0.444235093413426,-0.303787118814809,0.011932355180872,-0.013059428325605
1,7,-0.621527500158099,-0.2907204275541,-0.193056955862708,-0.074832683581018,-0.24320421991919
2,7,-0.62460676119794,-0.386854496336931,-0.278154920196351,0.26961718495499,-0.327818473491663
3,7,-0.490152907242428,-0.151990736043247,-0.265172457759209,-0.041434023193742,-0.513202007391476
4,7,-0.342632088154217,-0.185752471102828,-0.253098934987423,0.0619060808737158,-0.453772085569219
5,7,-0.402802517321205,-0.21017856521089,-0.209753409030565,-0.0747536891864231,-0.579529310615856
1,8,0.477344970955593,-0.250922442584865,-0.269456871631557,-0.172748304435861,0.617966659499846
