id,importanceSampling
1,154.747
2,190.875
3,259.408
4,247.695
5,139.319
6,198.098
7,250.602
8,223.068
9,175.560
10,194.544
11,244.152
12,212.640
13,284.255
14,118.998
15,221.023
16,148.998
17,234.666
18,158.895
19,179.899
20,255.012
21,137.249
22,226.163
23,143.893
24,233.943
25,192.099
26,254.730
27,222.923
28,160.332
29,261.207
30,186.701
31,189.552
32,148.890
33,232.569
34,235.578
35,221.018
36,254.378
37,160.719
38,157.369
39,153.544
40,192.410
41,164.947
42,222.204
43,144.653
44,247.133
45,219.435
46,213.584
47,156.844
48,237.067
49,267.881
50,190.714
51,244.523
52,200.907
53,218.164
54,132.688
55,222.032
56,149.843
57,207.697
58,217.771
59,151.416
60,219.491
61,137.396
62,248.694
63,235.187
64,159.077
65,249.095
66,181.790
67,185.783
68,240.464
69,211.256
70,171.132
71,153.510
72,244.624
73,199.142
74,153.698
75,254.311
76,211.213
77,198.832
78,163.084
79,267.039
80,182.879
81,175.188
82,138.911
83,233.016
84,146.546
85,267.773
86,253.010
87,181.913
88,212.649
89,243.561
90,122.430
91,179.637
92,231.893
93,140.229
94,264.363
95,207.420
96,177.424
97,190.428
98,136.260
99,240.637
100,251.297
101,195.235
102,126.553
103,203.374
104,206.480
105,188.767
106,241.639
107,214.240
108,197.012
109,250.253
110,141.778
111,146.928
112,176.183
113,168.924
114,215.232
115,225.350
116,184.604
117,251.751
118,240.902
119,178.528
120,189.357
