id,importanceSampling
1,743.210
2,977.709
3,507.771
4,790.763
5,682.169
6,1017.154
7,842.489
8,546.932
9,559.183
10,532.775
11,810.886
12,933.251
13,873.340
14,963.873
15,779.445
16,733.334
17,848.341
18,863.162
19,584.785
20,800.853
21,1009.376
22,571.010
23,963.869
24,752.427
25,950.768
26,442.268
27,722.954
28,930.513
29,507.570
30,770.658
31,867.908
32,820.596
33,860.564
34,867.815
35,496.515
36,945.064
37,483.934
38,684.761
39,671.472
40,823.925
41,568.944
42,920.716
43,548.821
44,674.198
45,895.653
46,808.131
47,775.735
48,774.279
49,855.360
50,767.718
51,725.815
52,925.945
53,472.340
54,1007.923
55,530.303
56,940.142
57,922.227
58,806.324
59,495.953
60,735.854
61,864.190
62,977.978
63,779.425
64,617.162
65,990.567
66,900.910
67,515.079
68,881.520
69,513.070
70,752.961
71,732.254
72,853.199
73,782.550
74,842.874
75,532.308
76,961.928
77,682.315
78,936.262
79,565.355
80,837.099
81,729.789
82,516.560
83,451.228
84,622.694
85,988.473
86,772.173
87,1029.809
88,865.969
89,974.844
90,830.144
91,418.023
92,718.879
93,1008.859
94,485.092
95,794.804
96,853.534
97,980.712
98,558.766
99,575.002
100,712.847
101,541.058
102,900.943
103,942.628
104,808.362
105,714.681
106,531.261
107,840.730
108,900.841
109,889.822
110,955.225
111,776.054
112,572.768
113,974.891
114,983.254
115,828.818
116,736.432
117,473.745
118,567.477
119,879.218
120,775.886
