logV1_pop,1,-0.13714,-0.00016857,-0.043296,-0.023309,-0.0063309,-0.05554,0.056248,-0.014452,0.016981,0.046417
logQ_pop,-0.13714,1,-0.15422,0.11624,-0.0091216,0.017255,0.22003,-0.11243,0.056084,-0.10854,-0.033614
logV2_pop,-0.00016857,-0.15422,1,-0.26471,-0.054251,-0.0020713,0.026539,-0.004309,0.099653,0.12553,0.05681
logVm_pop,-0.043296,0.11624,-0.26471,1,0.59214,-0.0040907,0.17128,-0.1403,-0.20617,-0.01075,-0.020281
logKm_pop,-0.023309,-0.0091216,-0.054251,0.59214,1,-0.0047413,0.17108,-0.074858,-0.097396,0.014954,-0.016493
omega_logV1,-0.0063309,0.017255,-0.0020713,-0.0040907,-0.0047413,1,-0.00025923,-0.0083199,0.012502,0.001796,-0.010327
omega_logQ,-0.05554,0.22003,0.026539,0.17128,0.17108,-0.00025923,1,-0.21672,0.18342,-0.13326,-0.079378
omega_logV2,0.056248,-0.11243,-0.004309,-0.1403,-0.074858,-0.0083199,-0.21672,1,-0.10954,0.029156,-0.070596
omega_logVm,-0.014452,0.056084,0.099653,-0.20617,-0.097396,0.012502,0.18342,-0.10954,1,-0.070781,-0.021727
omega_logKm,0.016981,-0.10854,0.12553,-0.01075,0.014954,0.001796,-0.13326,0.029156,-0.070781,1,0.0046548
b,0.046417,-0.033614,0.05681,-0.020281,-0.016493,-0.010327,-0.079378,-0.070596,-0.021727,0.0046548,1
